"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[i] (m/s)"
-1.24834,20.321041107177734
-1.26108,20.321041107177734
-1.27382,20.321041107177734
-1.2865600000000001,20.321041107177734
-1.2993000000000001,20.321041107177734
-1.31204,20.321041107177734
-1.32478,20.321041107177734
-1.33752,20.321041107177734
-1.35026,20.321041107177734
-1.363,20.321041107177734
-1.37574,20.321041107177734
-1.38848,20.297136306762695
-1.40122,20.297136306762695
-1.4139599999999999,20.297136306762695
-1.4267,20.297136306762695
-1.43944,20.297136306762695
-1.4521799999999998,20.297136306762695
-1.4649199999999998,20.297136306762695
-1.47766,20.297136306762695
-1.4904,20.297136306762695
-1.50314,20.297136306762695
-1.5158800000000001,20.297136306762695
-1.52862,20.248397827148438
-1.54136,20.248397827148438
-1.5541,20.248397827148438
-1.56684,20.248397827148438
-1.57958,20.248397827148438
-1.59232,20.248397827148438
-1.60506,20.254602432250977
-1.6178,20.254602432250977
-1.6305399999999999,20.254602432250977
-1.6432799999999999,20.254602432250977
-1.6560199999999998,20.254602432250977
-1.66876,20.254602432250977
-1.6815,20.254602432250977
-1.69424,20.232559204101562
-1.7069800000000002,20.229036331176758
-1.7197200000000001,20.229036331176758
-1.73246,20.229036331176758
-1.7452,20.229036331176758
-1.75794,20.229036331176758
-1.77068,20.229036331176758
-1.78342,20.229036331176758
-1.79616,20.229036331176758
-1.8089,20.229036331176758
-1.82164,20.229036331176758
-1.83438,20.229036331176758
-1.84712,20.21026611328125
-1.85986,20.21026611328125
-1.8726,20.217517852783203
-1.88534,20.217517852783203
-1.89808,20.217517852783203
-1.91082,20.217517852783203
-1.92356,20.210641860961914
-1.9363,20.217517852783203
-1.9490399999999999,20.217517852783203
-1.9617799999999999,20.217517852783203
-1.97452,20.203405380249023
-1.98726,20.203405380249023
-2.0,20.203405380249023
-0.726,18.13873863220215
-0.73874,18.203163146972656
-0.7514799999999999,18.203163146972656
-0.76422,17.163393020629883
-0.77696,17.163393020629883
-0.7897,17.163393020629883
-0.8024399999999999,17.163393020629883
-0.81518,18.1590633392334
-0.82792,18.1590633392334
-0.84066,19.028444290161133
-0.8533999999999999,19.028444290161133
-0.86614,19.028444290161133
-0.87888,20.214601516723633
-0.89162,19.353635787963867
-0.90436,19.353635787963867
-0.9171,19.962087631225586
-0.92984,19.962087631225586
-0.94258,20.265380859375
-0.95532,19.984554290771484
-0.9680599999999999,19.984554290771484
-0.9808,19.984554290771484
-0.99354,19.984554290771484
-1.00628,20.30070686340332
-1.01902,20.30070686340332
-1.03176,20.30070686340332
-1.0445,20.30070686340332
-1.05724,20.30070686340332
-1.06998,20.414031982421875
-1.0827200000000001,20.414031982421875
-1.0954599999999999,20.414031982421875
-1.1082,20.414031982421875
-1.12094,20.34119415283203
-1.13368,20.34119415283203
-1.14642,20.34119415283203
-1.15916,20.34119415283203
-1.1719,20.34119415283203
-1.18464,20.34119415283203
-1.1973799999999999,20.34119415283203
-1.2101199999999999,20.34119415283203
-1.22286,20.34119415283203
-1.2356,20.34119415283203
