SIM,Tipo,Configurazione,CL,Cd,Path
incomprimibile,RESULT_LUCA,be153-076_be123-076,-0.979156,0.223097,incomprimibile/RESULT_LUCA/noNose/be153-076_be123-076/results.txt
incomprimibile,RESULT_LUCA,s1223_s1210,-1.08049,0.248071,incomprimibile/RESULT_LUCA/noNose/s1223_s1210/results.txt
incomprimibile,RESULT_LUCA,be153-076_goe431,-0.979476,0.22413,incomprimibile/RESULT_LUCA/noNose/be153-076_goe431/results.txt
incomprimibile,RESULT_LUCA,naca4412_eppler61,-1.368807,0.177598,incomprimibile/RESULT_LUCA/noNose/naca4412_eppler61/results.txt
incomprimibile,RESULT_LUCA,be153-076_s1210,-1.020343,0.235505,incomprimibile/RESULT_LUCA/noNose/be153-076_s1210/results.txt
incomprimibile,RESULT_LUCA,naca4412_be123-076,-1.320518,0.182784,incomprimibile/RESULT_LUCA/noNose/naca4412_be123-076/results.txt
incomprimibile,RESULT_LUCA,s1223_be092-075,-1.078501,0.240538,incomprimibile/RESULT_LUCA/noNose/s1223_be092-075/results.txt
incomprimibile,RESULT_LUCA,s1223_goe431,-1.063827,0.24268,incomprimibile/RESULT_LUCA/noNose/s1223_goe431/results.txt
incomprimibile,RESULT_LUCA,be153-076_be092-075,-0.999305,0.227667,incomprimibile/RESULT_LUCA/noNose/be153-076_be092-075/results.txt
incomprimibile,RESULT_LUCA,naca4412_wortmannfx082-512,-1.265712,0.166009,incomprimibile/RESULT_LUCA/noNose/naca4412_wortmannfx082-512/results.txt
incomprimibile,RESULT_LUCA,naca4412_be092-075,-1.333973,0.0,incomprimibile/RESULT_LUCA/noNose/naca4412_be092-075/results.txt
incomprimibile,RESULT_LUCA,s1223_be123-076,-1.05769,0.241167,incomprimibile/RESULT_LUCA/noNose/s1223_be123-076/results.txt
incomprimibile,RESULT_LUCA,be153-076_eppler61,-1.04948,0.227001,incomprimibile/RESULT_LUCA/noNose/be153-076_eppler61/results.txt
incomprimibile,RESULT_LUCA,s1223_wortmannfx082-512,-1.021622,0.230195,incomprimibile/RESULT_LUCA/noNose/s1223_wortmannfx082-512/results.txt
incomprimibile,RESULT_LUCA,s1223_eppler61,-1.111048,0.241172,incomprimibile/RESULT_LUCA/noNose/s1223_eppler61/results.txt
incomprimibile,RESULT_LUCA,naca4412_goe431,-2.377692,0.278343,incomprimibile/RESULT_LUCA/noNose/naca4412_goe431/results.txt
incomprimibile,RESULT_LUCA,naca4412_s1210,-1.358925,0.189118,incomprimibile/RESULT_LUCA/noNose/naca4412_s1210/results.txt
incomprimibile,RESULT_LUCA,be153-076_be123-076,-2.09426,0.363884,incomprimibile/RESULT_LUCA/withNose/be153-076_be123-076/results.txt
incomprimibile,RESULT_LUCA,s1223_s1210,-2.294564,0.367935,incomprimibile/RESULT_LUCA/withNose/s1223_s1210/results.txt
incomprimibile,RESULT_LUCA,be153-076_goe431,-2.055137,0.365361,incomprimibile/RESULT_LUCA/withNose/be153-076_goe431/results.txt
incomprimibile,RESULT_LUCA,naca4412_eppler61,-2.476482,0.256611,incomprimibile/RESULT_LUCA/withNose/naca4412_eppler61/results.txt
incomprimibile,RESULT_LUCA,be153-076_s1210,-2.054082,0.36439,incomprimibile/RESULT_LUCA/withNose/be153-076_s1210/results.txt
incomprimibile,RESULT_LUCA,naca4412_be123-076,-2.47598,0.275084,incomprimibile/RESULT_LUCA/withNose/naca4412_be123-076/results.txt
incomprimibile,RESULT_LUCA,s1223_be092-075,-2.31719,0.359914,incomprimibile/RESULT_LUCA/withNose/s1223_be092-075/results.txt
incomprimibile,RESULT_LUCA,s1223_goe431,-2.304504,0.367132,incomprimibile/RESULT_LUCA/withNose/s1223_goe431/results.txt
incomprimibile,RESULT_LUCA,be153-076_be092-075,-2.038804,0.350885,incomprimibile/RESULT_LUCA/withNose/be153-076_be092-075/results.txt
incomprimibile,RESULT_LUCA,naca4412_wortmannfx082-512,-2.372053,0.249199,incomprimibile/RESULT_LUCA/withNose/naca4412_wortmannfx082-512/results.txt
incomprimibile,RESULT_LUCA,naca4412_be092-075,-2.103592,0.260638,incomprimibile/RESULT_LUCA/withNose/naca4412_be092-075/results.txt
incomprimibile,RESULT_LUCA,s1223_be123-076,-2.28369,0.365334,incomprimibile/RESULT_LUCA/withNose/s1223_be123-076/results.txt
incomprimibile,RESULT_LUCA,be153-076_eppler61,-2.01772,0.340548,incomprimibile/RESULT_LUCA/withNose/be153-076_eppler61/results.txt
