Results_Name,VSPAERO_Wrapper
Results_Timestamp,1745834237
Results_Date,4,28,2025
Results_Time,11,57,17
Analysis_Duration_Sec,1.829100000000000170e-02
ResultsVec,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_Polar,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,CpSlice_Wrapper
Results_Name,VSPAERO_History
Results_Timestamp,1745834235
Results_Date,4,28,2025
Results_Time,11,57,15
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,5.550602384999999729e-03,7.250553770000000252e-03,7.248684136000000354e-03,7.326311605000000032e-03,7.445708185999999791e-03
CDo,1.501618871799999949e-02,1.662825767000000038e-02,1.663037223400000084e-02,1.665657382799999933e-02,1.665312143599999989e-02
CDt,6.641805623999999866e-03,9.182723469000000568e-03,9.028362065000000020e-03,8.954197613000000264e-03,9.307916649999999417e-03
CDtot,2.056679110199999966e-02,2.387881144000000150e-02,2.387905636899999989e-02,2.398288543299999936e-02,2.409882962199999881e-02
CDtott,2.165799434200000109e-02,2.581098113899999921e-02,2.565873429799999869e-02,2.561077144200000003e-02,2.596103808600000104e-02
CFx,2.056679110199999966e-02,2.387881144000000150e-02,2.387905636899999989e-02,2.398288543299999936e-02,2.409882962199999881e-02
CFxi,5.550602384999999729e-03,7.250553770000000252e-03,7.248684136000000354e-03,7.326311605000000032e-03,7.445708185999999791e-03
CFxo,1.501618871799999949e-02,1.662825767000000038e-02,1.663037223400000084e-02,1.665657382799999933e-02,1.665312143599999989e-02
CFy,-6.160137099999999808e-04,-8.257553699999999693e-05,-4.263166299999999922e-05,7.329675000000000258e-06,-6.669270000000000268e-07
CFyi,-6.073000410000000153e-04,-9.259466500000000059e-05,-4.833745499999999950e-05,6.759526999999999936e-06,-7.358420000000000056e-07
CFyo,-8.713668999999999462e-06,1.001912800000000027e-05,5.705792000000000275e-06,5.701480000000000044e-07,6.891500000000000531e-08
CFz,-6.962508344999999987e-03,-1.285215244000000034e-02,-1.064922034300000084e-02,-9.027987922000000123e-03,-9.459283203999999806e-03
CFzi,-5.723908451999999702e-03,-1.180280566999999947e-02,-9.590738809000000364e-03,-7.966785046999999911e-03,-8.403349657000000472e-03
CFzo,-1.238599894000000064e-03,-1.049346770000000005e-03,-1.058481534000000040e-03,-1.061202874999999995e-03,-1.055933546999999985e-03
CL,-6.962508344999999987e-03,-1.285215244000000034e-02,-1.064922034300000084e-02,-9.027987922000000123e-03,-9.459283203999999806e-03
CLi,-5.723908451999999702e-03,-1.180280566999999947e-02,-9.590738809000000364e-03,-7.966785046999999911e-03,-8.403349657000000472e-03
CLo,-1.238599894000000064e-03,-1.049346770000000005e-03,-1.058481534000000040e-03,-1.061202874999999995e-03,-1.055933546999999985e-03
CMx,1.351935628400000033e-02,8.076568579999999532e-04,9.772571200000000472e-05,-1.034626909999999966e-04,-4.639453300000000136e-05
CMxi,1.355820036200000057e-02,8.100670109999999913e-04,9.899802400000000217e-05,-1.033344250000000063e-04,-4.646743400000000136e-05
CMxo,-3.884407800000000286e-05,-2.410152999999999996e-06,-1.272311999999999991e-06,-1.282659999999999920e-07,7.290099999999999879e-08
CMy,1.158211227929999976e-01,1.218015749280000060e-01,1.199275260649999980e-01,1.194192925029999991e-01,1.195720635310000002e-01
CMyi,1.107713798879999961e-01,1.163148783769999972e-01,1.144368946579999990e-01,1.139195976020000028e-01,1.140755147989999940e-01
CMyo,5.049742904999999712e-03,5.486696549999999645e-03,5.490631406999999832e-03,5.499694900999999719e-03,5.496548732000000083e-03
CMz,-3.441865570000000115e-04,-2.796363119999999906e-04,1.415126750000000096e-04,3.826510099999999663e-05,4.298191000000000163e-06
CMzi,-1.963101039999999868e-04,-2.548590970000000127e-04,1.589146359999999965e-04,3.734919200000000295e-05,4.689243000000000057e-06
CMzo,-1.478764529999999976e-04,-2.477721500000000160e-05,-1.740196100000000040e-05,9.159090000000000258e-07,-3.910520000000000000e-07
CS,-6.160137099999999808e-04,-8.257553699999999693e-05,-4.263166299999999922e-05,7.329675000000000258e-06,-6.669270000000000268e-07
CSi,-6.073000410000000153e-04,-9.259466500000000059e-05,-4.833745499999999950e-05,6.759526999999999936e-06,-7.358420000000000056e-07
