"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[i] (m/s)"
-1.98,19.940227508544922
-2.04,19.940818786621094
-2.0999999999999996,19.940061569213867
-2.16,19.940814971923828
-2.2199999999999998,19.945796966552734
-2.2800000000000002,19.94651222229004
-2.34,19.95415687561035
-2.4000000000000004,19.96355438232422
-2.46,19.966777801513672
-2.52,19.97042465209961
-2.58,19.98066520690918
-2.64,19.98458480834961
-2.7,19.989164352416992
-2.7600000000000002,20.000736236572266
-2.82,20.006513595581055
-2.88,20.012367248535156
-2.94,20.024221420288086
-3.0,20.02914810180664
-3.06,20.036855697631836
-3.12,20.048755645751953
-3.18,20.052024841308594
-3.24,20.064632415771484
-3.3000000000000003,20.06254768371582
-3.3600000000000003,20.07558822631836
-3.42,20.08856773376465
-3.4799999999999995,20.10114097595215
-3.54,20.098987579345703
-3.5999999999999996,20.111194610595703
-3.66,20.114412307739258
-3.7199999999999998,20.12554168701172
-3.7800000000000002,20.13643455505371
-3.84,20.142541885375977
-3.9000000000000004,20.14923095703125
-3.96,20.1614933013916
-4.0200000000000005,20.165733337402344
-4.08,20.171886444091797
-4.14,20.182939529418945
-4.199999999999999,20.18892478942871
-4.26,20.199811935424805
-4.32,20.2055606842041
-4.38,20.20921516418457
-4.4399999999999995,20.221158981323242
-4.5,20.226045608520508
-4.5600000000000005,20.228586196899414
-4.62,20.234888076782227
-4.68,20.24082374572754
-4.74,20.249536514282227
-4.800000000000001,20.256196975708008
-4.86,20.261411666870117
-4.92,20.267332077026367
-4.9799999999999995,20.26768684387207
-5.04,20.274837493896484
-5.1,20.27805519104004
-5.16,20.28567886352539
-5.22,20.284828186035156
-5.28,20.29380226135254
-5.34,20.3040771484375
-5.4,20.301883697509766
-5.46,20.300628662109375
-5.5200000000000005,20.306808471679688
-5.58,20.31328773498535
-5.64,20.31599998474121
-5.699999999999999,20.314212799072266
-5.76,20.31399154663086
-5.82,20.321252822875977
-5.88,20.323698043823242
-5.9399999999999995,20.318546295166016
-6.0,20.314674377441406
0.0,19.468177795410156
-0.06,19.3709659576416
-0.12,19.24967384338379
-0.18,19.211423873901367
-0.24,19.160018920898438
-0.30000000000000004,19.083837509155273
-0.36,19.02916717529297
-0.42000000000000004,18.95446014404297
-0.48,18.864879608154297
-0.54,18.591733932495117
-0.6000000000000001,18.414411544799805
-0.66,18.24024772644043
-0.72,17.49443817138672
-0.78,16.030588150024414
-0.8400000000000001,15.231409072875977
-0.8999999999999999,14.79847240447998
-0.96,15.55855655670166
-1.02,17.469755172729492
-1.08,19.652088165283203
-1.1400000000000001,19.994359970092773
-1.2000000000000002,19.99264144897461
-1.26,19.977025985717773
-1.32,19.971874237060547
-1.3800000000000001,19.960073471069336
-1.44,19.9516658782959
-1.5,19.952869415283203
-1.56,19.94610023498535
-1.62,19.93643569946289
-1.6800000000000002,19.938095092773438
-1.7399999999999998,19.936986923217773
-1.7999999999999998,19.93282127380371
-1.8599999999999999,19.93356704711914
-1.92,19.931074142456055
