"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[i] (m/s)"
0.0,19.887868881225586
-0.06,19.875572204589844
-0.12,19.8736515045166
-0.18,19.8649845123291
-0.24,19.821632385253906
-0.30000000000000004,19.771818161010742
-0.36,19.431903839111328
-0.42000000000000004,18.572303771972656
-0.48,16.554649353027344
-0.54,15.282509803771973
-0.6000000000000001,14.716819763183594
-0.66,15.084233283996582
-0.72,17.32159423828125
-0.78,19.5977725982666
-0.8400000000000001,19.931978225708008
-0.8999999999999999,19.97918128967285
-0.96,19.971233367919922
-1.02,19.96845817565918
-1.08,19.96549415588379
-1.1400000000000001,19.967897415161133
-1.2000000000000002,19.965700149536133
-1.26,19.964696884155273
-1.32,19.964134216308594
-1.3800000000000001,19.96910858154297
-1.44,19.96985626220703
-1.5,19.974510192871094
-1.56,19.97409439086914
-1.62,19.970355987548828
-1.6800000000000002,19.971088409423828
-1.7399999999999998,19.972728729248047
-1.7999999999999998,19.971370697021484
-1.8599999999999999,19.970497131347656
-1.92,19.972200393676758
-1.98,19.973133087158203
-2.04,19.976953506469727
-2.0999999999999996,19.974397659301758
-2.16,19.978984832763672
-2.2199999999999998,19.985057830810547
-2.2800000000000002,19.98284339904785
-2.34,19.989887237548828
-2.4000000000000004,19.992538452148438
-2.46,19.995840072631836
-2.52,19.99935531616211
-2.58,20.003164291381836
-2.64,20.00704002380371
-2.7,20.010475158691406
-2.7600000000000002,20.018163681030273
-2.82,20.020227432250977
-2.88,20.029035568237305
-2.94,20.03143882751465
-3.0,20.033872604370117
-3.06,20.04303550720215
-3.12,20.045825958251953
-3.18,20.048458099365234
-3.24,20.05752182006836
-3.3000000000000003,20.060319900512695
-3.3600000000000003,20.06777572631836
-3.42,20.0740909576416
-3.4799999999999995,20.07970428466797
-3.54,20.081008911132812
-3.5999999999999996,20.090572357177734
-3.66,20.095285415649414
-3.7199999999999998,20.099435806274414
-3.7800000000000002,20.103771209716797
-3.84,20.10805892944336
-3.9000000000000004,20.11646842956543
-3.96,20.12037467956543
-4.0200000000000005,20.12376594543457
-4.08,20.128459930419922
-4.14,20.134233474731445
-4.199999999999999,20.14059829711914
-4.26,20.146589279174805
-4.32,20.15016746520996
-4.38,20.15505027770996
-4.4399999999999995,20.15778350830078
-4.5,20.158946990966797
-4.5600000000000005,20.16567611694336
-4.62,20.16867446899414
-4.68,20.171804428100586
-4.74,20.176795959472656
-4.800000000000001,20.17889404296875
-4.86,20.1873836517334
-4.92,20.18975257873535
-4.9799999999999995,20.190929412841797
-5.04,20.193143844604492
-5.1,20.194190979003906
-5.16,20.20198631286621
-5.22,20.202842712402344
-5.28,20.204030990600586
-5.34,20.211055755615234
-5.4,20.211788177490234
-5.46,20.212900161743164
-5.5200000000000005,20.213361740112305
-5.58,20.214189529418945
-5.64,20.220571517944336
-5.699999999999999,20.220760345458984
-5.76,20.220056533813477
-5.82,20.218923568725586
-5.88,20.21715545654297
-5.9399999999999995,20.219501495361328
-6.0,20.216203689575195
