"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[i] (m/s)"
-1.44,20.041765213012695
-1.5,20.030550003051758
-1.56,20.009994506835938
-1.62,19.999156951904297
-1.6800000000000002,19.992752075195312
-1.7399999999999998,19.994205474853516
-1.7999999999999998,19.98944091796875
-1.8599999999999999,19.991466522216797
-1.92,19.990009307861328
-1.98,19.989646911621094
-2.04,19.992414474487305
-2.0999999999999996,19.99298095703125
-2.16,19.99135971069336
-2.2199999999999998,19.997591018676758
-2.2800000000000002,19.999780654907227
-2.34,19.99929428100586
-2.4000000000000004,20.007509231567383
-2.46,20.005760192871094
-2.52,20.01372528076172
-2.58,20.0134334564209
-2.64,20.021631240844727
-2.7,20.024688720703125
-2.7600000000000002,20.028636932373047
-2.82,20.039077758789062
-2.88,20.0419979095459
-2.94,20.044462203979492
-3.0,20.053558349609375
-3.06,20.056171417236328
-3.12,20.06264305114746
-3.18,20.069889068603516
-3.24,20.0804443359375
-3.3000000000000003,20.0808162689209
-3.3600000000000003,20.091035842895508
-3.42,20.098066329956055
-3.4799999999999995,20.10256576538086
-3.54,20.109338760375977
-3.5999999999999996,20.110353469848633
-3.66,20.113391876220703
-3.7199999999999998,20.112590789794922
-3.7800000000000002,20.117300033569336
-3.84,20.12957191467285
-3.9000000000000004,20.13743019104004
-3.96,20.139739990234375
-4.0200000000000005,20.146421432495117
-4.08,20.15560531616211
-4.14,20.155851364135742
-4.199999999999999,20.165817260742188
-4.26,20.173931121826172
-4.32,20.177032470703125
-4.38,20.18543243408203
-4.4399999999999995,20.188735961914062
-4.5,20.191909790039062
-4.5600000000000005,20.198528289794922
-4.62,20.20639419555664
-4.68,20.20176887512207
-4.74,20.214754104614258
-4.800000000000001,20.213483810424805
-4.86,20.218666076660156
-4.92,20.216976165771484
-4.9799999999999995,20.22948455810547
-5.04,20.23308753967285
-5.1,20.23029899597168
-5.16,20.242353439331055
-5.22,20.244556427001953
-5.28,20.248083114624023
-5.34,20.249460220336914
-5.4,20.252450942993164
-5.46,20.255653381347656
-5.5200000000000005,20.261075973510742
-5.58,20.26199722290039
-5.64,20.268360137939453
-5.699999999999999,20.269577026367188
-5.76,20.2703914642334
-5.82,20.266332626342773
-5.88,20.265281677246094
-5.9399999999999995,20.266361236572266
-6.0,20.26235008239746
0.0,19.929468154907227
-0.06,19.887378692626953
-0.12,19.820409774780273
-0.18,19.782039642333984
-0.24,19.727163314819336
-0.30000000000000004,19.657732009887695
-0.36,19.5615234375
-0.42000000000000004,19.483396530151367
-0.48,19.42729949951172
-0.54,19.391557693481445
-0.6000000000000001,19.367523193359375
-0.66,19.338308334350586
-0.72,18.93619728088379
-0.78,17.104230880737305
-0.8400000000000001,15.258997917175293
-0.8999999999999999,14.355022430419922
-0.96,15.690485000610352
-1.02,17.866405487060547
-1.08,19.7685604095459
-1.1400000000000001,20.08291244506836
-1.2000000000000002,20.082740783691406
-1.26,20.073503494262695
-1.32,20.06471061706543
-1.3800000000000001,20.05190658569336
