"Iteration","Cd Monitor: Cd Monitor"
1.0,99.29657827357451
2.0,55.13145765223787
3.0,15.797599772258122
4.0,2.9182274394919454
5.0,1.9036700755422697
6.0,0.6039226987091878
7.0,-1.078993172155935
8.0,-1.3004993185001628
9.0,-1.3241610861810884
10.0,-0.3036874630077965
11.0,1.2547307415224433
12.0,1.838657890726271
13.0,2.068209716983575
14.0,2.7189188714281136
15.0,2.7041159483890023
16.0,2.625062123903592
17.0,2.3119660274263767
18.0,2.155911408417552
19.0,2.104855343989665
20.0,1.7777051540165947
21.0,1.7411403946667365
22.0,1.7127924696302708
23.0,1.6187737883154427
24.0,1.6146087019630433
25.0,1.6217765736808565
26.0,1.6734375570696758
27.0,1.6872474203394452
28.0,1.6973769448529419
29.0,1.7176704252954924
30.0,1.7451622495166585
31.0,1.7547613570648195
32.0,1.765081441315511
33.0,1.7688584699827483
34.0,1.7673812863123586
35.0,1.7588005461668785
36.0,1.7468821393054321
37.0,1.7287568702161054
38.0,1.7175615926529624
39.0,1.7073497215007873
40.0,1.68382316771468
41.0,1.6681884390526949
42.0,1.6575034939953945
43.0,1.6474623603011223
44.0,1.6380129360309754
45.0,1.6311471972363145
46.0,1.6249100722733618
47.0,1.620585460804955
48.0,1.6161611141571874
49.0,1.6156430726569337
50.0,1.6169468786844374
51.0,1.6217354851738657
52.0,1.6244942629538597
53.0,1.6264777368741064
54.0,1.627778405247384
55.0,1.6283998862854292
56.0,1.6271057165646894
57.0,1.6246009881238546
58.0,1.620663332162258
59.0,1.6153411853358288
60.0,1.6073241441232655
61.0,1.6014125680527413
62.0,1.5936076346871912
63.0,1.587487296905186
64.0,1.580381890099247
65.0,1.574963779652168
66.0,1.5671372657145601
67.0,1.563628155175739
68.0,1.5603100211479843
69.0,1.5595667331337608
70.0,1.5614369717812013
71.0,1.5660554987829578
72.0,1.572518821976671
73.0,1.5798313812974434
74.0,1.5850701247133163
75.0,1.5922947424406229
76.0,1.5964597099434739
77.0,1.6018580974007537
78.0,1.6048819434282255
79.0,1.6070282679559262
80.0,1.607243081844565
81.0,1.6047973025496736
82.0,1.6000189422661792
83.0,1.5966772541992877
84.0,1.5910405590553574
85.0,1.5856094374821448
86.0,1.5839512798599258
87.0,1.585181139214111
88.0,1.588803595545067
89.0,1.595194913413018
90.0,1.6112322063403892
91.0,1.622458995165199
92.0,1.662218964680066
93.0,1.6742346066965725
94.0,1.7306635966044206
95.0,1.7392625716698529
96.0,1.7623151273306756
97.0,1.7791364817002508
98.0,1.8089138439652923
99.0,1.8183969106419706
100.0,1.854234009278281
101.0,1.8595317436880319
102.0,1.8844175268672954
103.0,1.8906700651647768
104.0,1.9145778728076506
105.0,1.9199919437621158
106.0,1.9270496941341684
107.0,1.9332356263270254
108.0,1.933394987019876
109.0,1.92956778147228
110.0,1.9193495669981824
111.0,1.9048899230203638
112.0,1.8785643774131349
113.0,1.8480327129358918
114.0,1.8147486246107702
115.0,1.7569854760668826
116.0,1.743210776358789
117.0,1.7190452215899201
118.0,1.6979159435771334
119.0,1.6865898372017853
120.0,1.6700131677663266
121.0,1.6606234236144874
122.0,1.6470921008704051
123.0,1.6382924811869009
124.0,1.6300000245466648
125.0,1.6194931263633419
126.0,1.6143101696515603
127.0,1.6109804850600706
128.0,1.6096494307150222
129.0,1.6102880440313936
130.0,1.612808321097844
131.0,1.6156606326593053
132.0,1.6186315186924738
133.0,1.6217186219815596
134.0,1.6240642125249651
135.0,1.6261877777705307
136.0,1.6262230746092103
137.0,1.6251926689412672
138.0,1.623298655054816
139.0,1.619758050462146
140.0,1.614978716855906
141.0,1.6062165515561484
142.0,1.600888413079189
143.0,1.5939701175725767
144.0,1.5814354593304243
145.0,1.574313719437547
146.0,1.5606473844134263
147.0,1.5530041158085934
148.0,1.5393535291121827
149.0,1.531811513150937
150.0,1.5212303920042236
151.0,1.513706798648667
152.0,1.5044049262829318
153.0,1.4973294836449114
154.0,1.4884214899693382
155.0,1.4816002027797366
156.0,1.474361211178172
157.0,1.4668798324399484
158.0,1.459338954304713
159.0,1.4516072211556437
160.0,1.4439542034640231
161.0,1.436446039089699
162.0,1.429792017719682
163.0,1.4236823782676253
164.0,1.4182513968550714
165.0,1.4138250641900492
166.0,1.4106630189229636
167.0,1.40876235374778
168.0,1.4080922393054462
169.0,1.4086716317197119
170.0,1.410431368652621
171.0,1.4131727392063511
172.0,1.4165952830525912
173.0,1.421063205987908
174.0,1.4273110752446918
175.0,1.4323926458415346
176.0,1.4377462663092915
177.0,1.4384877466513513
178.0,1.4397472463099839
179.0,1.4396061597863476
180.0,1.4381638465104771
181.0,1.436230001086709
182.0,1.4342086346057477
183.0,1.4316595248328046
184.0,1.4295659090061588
185.0,1.4272569751283481
186.0,1.4253126815411996
187.0,1.423055280479968
188.0,1.421278350751502
189.0,1.4195776114311023
190.0,1.4180222942241356
191.0,1.4169887780511463
192.0,1.4160786699176287
193.0,1.4152556448364284
194.0,1.4158855425966865
195.0,1.4150382854949621
196.0,1.4155544491660337
197.0,1.414757557454009
198.0,1.4152575450873937
199.0,1.4142409407714165
200.0,1.4145009848088181
201.0,1.413170206858978
202.0,1.4122141008906177
203.0,1.4106853211327783
204.0,1.4084459662849944
205.0,1.40683077770649
206.0,1.4050460485872127
207.0,1.4028447533095754
208.0,1.4009795323342882
209.0,1.3991924073847946
210.0,1.3973506676618908
211.0,1.3952082837514157
212.0,1.3934217468052825
213.0,1.391206872430906
214.0,1.3876241006212162
215.0,1.3853737631617038
216.0,1.3823292814647468
217.0,1.3794990038800037
