"Iteration","Cl Monitor: Cl Monitor"
1.0,78.24138872619044
2.0,49.27160612308789
3.0,14.738038271201756
4.0,1.951528690518324
5.0,1.2871068670999775
6.0,0.3088910121033606
7.0,-1.2437284406081168
8.0,-1.400638786655197
9.0,-1.4020026229597398
10.0,-0.3781542831334378
11.0,1.0838916910769696
12.0,1.7564181398703123
13.0,2.0502321133076236
14.0,2.865873913567703
15.0,2.888885303776476
16.0,2.8806000286924407
17.0,2.664918743732294
18.0,2.5111944444476357
19.0,2.45136308550141
20.0,2.0335981131604792
21.0,1.992039790611721
22.0,1.9565733228655466
23.0,1.8112849511336668
24.0,1.8053169531866247
25.0,1.8209369311244643
26.0,1.8863887123357217
27.0,1.9038433203895084
28.0,1.9249766532127897
29.0,1.9721223991292904
30.0,2.0179695475174144
31.0,2.036243426652422
32.0,2.0635724590667404
33.0,2.073875546805471
34.0,2.0793772591378694
35.0,2.0821889348388796
36.0,2.0768125460285742
37.0,2.0635405908256357
38.0,2.0526282049379114
39.0,2.0428121547357425
40.0,2.0223840787418625
41.0,2.00794573615418
42.0,1.998510762879344
43.0,1.9901536483616302
44.0,1.9833609492651314
45.0,1.9790339447649439
46.0,1.9757233598811832
47.0,1.9744766175380275
48.0,1.9748004060169266
49.0,1.9762356164976724
50.0,1.980446275819754
51.0,1.9891873998300864
52.0,1.9956133131477671
53.0,2.0010816383203975
54.0,2.0063005703192354
55.0,2.013402088252824
56.0,2.01750142695807
57.0,2.0207424025048715
58.0,2.0230699678980852
59.0,2.024112988458663
60.0,2.0241034675597436
61.0,2.0234395362863906
62.0,2.021834417412353
63.0,2.0200458251972266
64.0,2.017925575951754
65.0,2.016184316707706
66.0,2.0139262699321723
67.0,2.0131241585371407
68.0,2.0133378726463627
69.0,2.014552432316463
70.0,2.018212941498915
71.0,2.0240029063810256
72.0,2.0311211413384584
73.0,2.039114544004434
74.0,2.045469546546388
75.0,2.053823458618846
76.0,2.059766624190724
77.0,2.067530171062264
78.0,2.072985746226318
79.0,2.0783729182031823
80.0,2.0836146187793028
81.0,2.08625525736669
82.0,2.090691788279742
83.0,2.0920185930079644
84.0,2.093080412298299
85.0,2.095446934384344
86.0,2.099027088758452
87.0,2.1048421876340306
88.0,2.112367207202628
89.0,2.1226284447211943
90.0,2.142805330011124
91.0,2.1562996190549573
92.0,2.1971925783467388
93.0,2.212048232221271
94.0,2.2695824337003367
95.0,2.2822035569149315
96.0,2.3120254989532127
97.0,2.3336092001095907
98.0,2.3665087055643776
99.0,2.379439952651632
100.0,2.417985054852558
101.0,2.4258007298928446
102.0,2.456458549442765
103.0,2.4651136394655477
104.0,2.496024302257876
105.0,2.5045661263234567
106.0,2.516908125238012
107.0,2.5309980587433953
108.0,2.5381087180887083
109.0,2.543660644375866
110.0,2.5440874306062944
111.0,2.5394802401512746
112.0,2.527562325114533
113.0,2.5104684645962116
114.0,2.489246205307494
115.0,2.446701339823638
116.0,2.4357049310109433
117.0,2.4158483809768097
118.0,2.397073454026245
119.0,2.38851426841318
120.0,2.3766516564635785
121.0,2.371360955495272
122.0,2.3655886437274014
123.0,2.363406873684611
124.0,2.3630211052546968
125.0,2.3639997649110835
126.0,2.36648005489417
127.0,2.3707755230012695
128.0,2.3765119744003735
129.0,2.383521817884884
130.0,2.3918130851458033
131.0,2.4002367853046187
132.0,2.408647247522156
133.0,2.4173259031148002
134.0,2.425523722030241
135.0,2.435368761486801
136.0,2.441646841625242
137.0,2.451149005624729
138.0,2.4548318873553447
139.0,2.457900449327213
140.0,2.4603122159239588
141.0,2.4628015702067048
142.0,2.4634630547782885
143.0,2.4640256913550926
144.0,2.4642107263361157
145.0,2.463954214590578
146.0,2.463098677483228
