"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "HF"       ,      "maxHF"     ,      "Temp"      
          0,           0,           0,      -3.894129467,      -17.92664637,      -21.34418537,      -1.034533135,      -3.944795138,       1.140284318,      -4.131391275,      -2.045596894,          13,      -6.247704891,               5,       -6.89062945,                6,      -6.979809732,    0.001140630883,      0.1038965785,                11,                11,                11,      0.2172377767,       1.460124677,      -1.310495625,                 0,                 0,                 0,      -2.785817069,       1.460124677,      -1.310495625,                 0,     -0.8975230986,  -3.524287684e-05,    0.004898013141,                 0
          0,           0,           1,      -4.077970938,      -3.877346743,      -4.026041784,      -1.218374608,      -4.417951681,      0.6742805044,      -4.487746057,      0.1987723067,         100,      -5.312055496,               5,      -6.394164449,                5,      -7.162725068,      0.0011529175,      0.1044101208,              12.1,              12.1,              12.1,      0.2172377767,       1.334019659,      -1.326205761,                 0,                 0,                 0,      -2.679119575,       1.334019659,      -1.326205761,                 0,     -0.9941425914,   -3.23067171e-06,   0.0003926578071,                 0
          0,           0,           2,      -4.266679364,      -4.042220307,       -4.08231484,      -1.407083034,      -4.820265479,      0.2806687231,      -4.597195723,      0.3158976517,         100,      -5.382131994,               5,      -6.033290658,                4,      -6.040113875,    0.001097006074,     0.09847823054,             13.31,             13.31,             13.31,      0.2172377767,       1.117282415,      -1.222611655,                 0,                 0,                 0,      -2.344185782,       1.117282415,      -1.222611655,                 0,      -1.094272709,  -3.336757963e-06,   0.0003227275349,                 0
          0,           0,           3,      -4.421745543,      -4.138456507,      -4.111409699,      -1.562149212,      -5.136848143,    -0.02725575523,      -4.784213263,      0.3626409136,         100,      -5.384465988,               6,      -6.841945609,                4,      -6.117689606,    0.001061446986,     0.09464790504,            14.641,            14.641,            14.641,      0.2172377767,       1.016993592,      -1.270708553,                 0,                 0,                 0,       -2.26637926,       1.016993592,      -1.270708553,                 0,      -1.249475476,  -1.768003473e-06,   0.0002522665837,                 0
          0,           0,           4,      -4.512104469,      -4.189881695,      -4.139430922,      -1.652508138,      -5.380640209,     -0.2639935781,      -4.925982859,      0.3869897586,         100,      -5.494126587,               6,      -6.592785517,                4,      -6.170934367,    0.001083112341,     0.09623899173,           16.1051,           16.1051,           16.1051,      0.2172377767,       1.048071198,       -1.52315676,                 0,                 0,                 0,      -2.530423221,       1.048071198,       -1.52315676,                 0,      -1.453295122,  -1.312724777e-06,   0.0002128506991,                 0
          0,           0,           5,       -4.56797077,      -4.214341444,      -4.154692212,      -1.708374437,      -5.575778804,     -0.4541526053,      -4.993273439,      0.4091491733,         100,      -5.497523848,               6,      -6.375388207,                4,      -6.210326426,    0.001135122701,       0.100645167,          17.71561,          17.71561,          17.71561,      0.2172377767,       1.151372511,      -1.861056382,                 0,                 0,                 0,      -2.955485312,       1.151372511,      -1.861056382,                 0,      -1.616380766,   -2.05402947e-06,   0.0001620813391,                 0
          0,           0,           6,      -4.607050588,      -4.225345117,      -4.158164908,      -1.747454257,      -5.738520606,     -0.6135500519,      -5.019462079,      0.4358005546,         100,      -5.236924537,               6,      -6.164285659,                4,       -6.23522076,    0.001222622406,      0.1083062467,         19.487171,         19.487171,         19.487171,      0.2172377767,       1.283887695,       -2.18149616,                 0,                 0,                 0,      -3.386686324,       1.283887695,       -2.18149616,                 0,      -1.699133162,  -2.183160495e-06,   0.0001226210186,                 0
          0,           0,           7,      -4.637620512,      -4.229547469,      -4.155520732,      -1.778024183,      -5.880995121,     -0.7533482094,      -5.019837284,      0.4782110092,         100,       -5.46825876,               7,      -6.796079373,                4,      -6.258911467,    0.001340968436,      0.1187754004,        21.4358881,        21.4358881,        21.4358881,      0.2172377767,       1.426922252,      -2.486593468,                 0,                 0,                 0,      -3.806829853,       1.426922252,      -2.486593468,                 0,      -1.742627157,  -2.169721078e-06,   9.727244916e-05,                 0
          0,           0,           8,      -4.659935063,      -4.229951499,      -4.153531163,      -1.800338731,      -6.009312363,     -0.8803287068,      -5.007981751,      0.5892647246,         100,       -5.22920159,               7,      -6.569853007,                4,      -6.339985524,    0.001479172917,      0.1310320782,       23.57947691,       23.57947691,       23.57947691,      0.2172377767,       1.568990686,      -2.825102659,                 0,                 0,                 0,      -4.257797151,       1.568990686,      -2.825102659,                 0,      -1.800585997,  -1.604362868e-06,   8.292691855e-05,                 0
          0,           0,           9,       -4.67433003,      -4.227700066,      -4.152760054,        -1.8147337,      -6.123650385,     -0.9981487071,      -4.983704092,      0.6099878441,         100,      -5.233259815,               7,      -6.370340577,                4,      -6.315496259,    0.001619397913,      0.1434253402,        25.9374246,        25.9374246,        25.9374246,      0.2172377767,       1.700197991,      -3.224256801,                 0,                 0,                 0,      -4.762794722,       1.700197991,      -3.224256801,                 0,      -1.896400783,  -1.789834779e-06,   7.305373371e-05,                 0
