0.0000   0.0001
0.0009	 -0.0008
0.0125   -0.0112
0.0250   -0.0163
0.0500   -0.0181
0.0750   -0.0159
0.1000   -0.0124
0.1500   -0.0045
0.2000   0.0033
0.3000   0.0182
0.4000   0.0333
0.5000   0.0468
0.6000   0.0572
0.7000   0.0648
0.8000   0.0657
0.9000   0.0496
0.9500   0.0309
1.0000   0.0010
1.0000   0.0020
0.9500   0.0389
0.9000   0.0700
0.8000   0.1198
0.7000   0.1576
0.6000   0.1858
0.5000   0.2029
0.4000   0.2072
0.3000   0.1993
0.2000   0.1781
0.1500   0.1602
0.1000   0.1348
0.0750   0.1181
0.0500   0.0974
0.0250   0.0702
0.0125   0.0517
0.0020	 0.0300
0.0000   0.0001
