"Iteration","Cl Monitor: Cl Monitor"
1.0,79.67190027725403
2.0,48.26285538325283
3.0,11.17513579948175
4.0,6.710668733808887
5.0,0.09096992808532746
6.0,-0.3543488098476159
7.0,-0.8453293149543916
8.0,-0.9697607597739859
9.0,-0.9975513403089178
10.0,-0.6244813299508504
11.0,0.4840585617373677
12.0,1.5247434104268054
13.0,2.045086002691256
14.0,2.1163674351448236
15.0,2.5858240080631267
16.0,2.730813438373014
17.0,2.6963133902788115
18.0,2.332623262646911
19.0,2.2179949143171904
20.0,1.8767553899613394
21.0,1.8391939001540778
22.0,1.6546418367973452
23.0,1.6454945910724823
24.0,1.647302955260678
25.0,1.712899231694751
26.0,1.7233423526208889
27.0,1.7374481340593924
28.0,1.7553092472476686
29.0,1.7921506206267022
30.0,1.8097281771637108
31.0,1.8270426431851603
32.0,1.8572885082232402
33.0,1.8711175689316948
34.0,1.8951256275993256
35.0,1.9051262710583847
36.0,1.920676630104316
37.0,1.9294008106119416
38.0,1.9304861296627303
39.0,1.9271145037574704
40.0,1.9181853607404638
41.0,1.8998318464519002
42.0,1.8754968051851653
43.0,1.859402261367931
44.0,1.8281048706432896
45.0,1.8122588499482035
46.0,1.7849367375380465
47.0,1.7734546332241203
48.0,1.7647654072742032
49.0,1.7589477792592034
50.0,1.7531157352440796
51.0,1.7517877718565553
52.0,1.7536052086705018
53.0,1.7574159420767872
54.0,1.762216105937135
55.0,1.7676030003097758
56.0,1.7789095444826746
57.0,1.784847029005816
58.0,1.791584299590664
59.0,1.79924794490635
60.0,1.8065397912898105
61.0,1.8141528906093556
62.0,1.8234922299533947
63.0,1.829561644652365
64.0,1.8347906636439242
65.0,1.8390226818564925
66.0,1.8417132719710985
67.0,1.8433246073881415
68.0,1.8435719001589583
69.0,1.843383032741341
70.0,1.8421585932340652
71.0,1.8408996358234715
72.0,1.839791237942617
73.0,1.8386390811054247
74.0,1.8373964509324534
75.0,1.835792689669671
76.0,1.8345469774663778
77.0,1.8334515051364502
78.0,1.8331030676927285
79.0,1.833581742438721
80.0,1.8352041414528983
81.0,1.8393372757015145
82.0,1.84482560026578
83.0,1.8525731387438722
84.0,1.861706541252
85.0,1.8781790123357862
86.0,1.8883068393746483
87.0,1.9001170834317507
88.0,1.9223786984625721
89.0,1.9579618911711256
90.0,1.9706308112563593
91.0,2.0028170762938373
92.0,2.0153764231960323
93.0,2.0473283765004178
94.0,2.0589837254772516
95.0,2.088911606697016
96.0,2.0983892673443725
97.0,2.1324681183896876
98.0,2.139545687305787
99.0,2.163654818382412
100.0,2.1709407502330023
101.0,2.185936289938819
102.0,2.1995760012619767
103.0,2.206306485007983
104.0,2.217457782373189
105.0,2.2227036642463904
106.0,2.2303236979635495
107.0,2.2331675679782483
108.0,2.235740532011306
109.0,2.235371994447906
110.0,2.2320157612222835
111.0,2.2252441480906366
112.0,2.2213909556068274
113.0,2.2126576280582717
114.0,2.2075846084008024
115.0,2.2001030266701904
116.0,2.1925575814190355
117.0,2.1853777799712986
118.0,2.1787553262707346
119.0,2.1745064837481385
120.0,2.1697016008111722
121.0,2.167255373310712
122.0,2.165348900008241
123.0,2.165112848160736
124.0,2.166199391745164
125.0,2.1681077927227617
126.0,2.1707750960692196
127.0,2.173702808436635
128.0,2.1781201608644944
129.0,2.181246404112688
130.0,2.1853017265329635
131.0,2.1879905903379955
132.0,2.1913183750323055
133.0,2.1932300622836034
134.0,2.1952910770124614
135.0,2.1976532715594925
136.0,2.1993545330513933
137.0,2.2016972069044862
138.0,2.2031958063311077
139.0,2.2050863072794455
140.0,2.20682649536887
141.0,2.208544516655202
142.0,2.209946087874241
143.0,2.2111847560887314
144.0,2.21245990579014
145.0,2.2133062711892437
146.0,2.2142943101499792
147.0,2.215932322846504
148.0,2.2167457260912578
149.0,2.2192186283732203
150.0,2.221307577148094
151.0,2.2264156778065844
152.0,2.2298455049755534
153.0,2.2378075250652767
154.0,2.2425134904298636
155.0,2.2528369390850562
156.0,2.2582915067646825
157.0,2.268921633828701
158.0,2.2740222929390326
159.0,2.2833052253848383
160.0,2.287443543339534
161.0,2.292790944016615
162.0,2.296058555282702
163.0,2.299790985146099
164.0,2.302036291703906
165.0,2.304579141665844
166.0,2.3060253941061597
167.0,2.3078317979709766
168.0,2.3090374885106915
169.0,2.310585621160926
170.0,2.3122959189397077
171.0,2.3148216311581997
172.0,2.3185378202562053
173.0,2.3215711290171206
174.0,2.3267782718703165
175.0,2.3298342414318403
176.0,2.3371617288457798
177.0,2.341186294443592
178.0,2.3496898602914453
179.0,2.3541674152026375
180.0,2.359565141909713
181.0,2.3697759047263984
182.0,2.374613816524902
183.0,2.3801323780455914
184.0,2.389658071643759
185.0,2.3943194752077384
186.0,2.402685571092991
187.0,2.409942297426386
188.0,2.4162800210948854
189.0,2.4243713082152873
190.0,2.4282447788783204
191.0,2.431797222605274
192.0,2.4350768254296904
193.0,2.4383281266725985
194.0,2.4404912604840834
195.0,2.444290083040828
196.0,2.4481963555987867
197.0,2.4526115994278923
198.0,2.4588978144682536
199.0,2.46227145901254
200.0,2.4680594008032797
201.0,2.4761792645617438
202.0,2.4800771491677227
203.0,2.4876153425731427
204.0,2.4911552346837897
205.0,2.496333667971914
206.0,2.500580669282411
207.0,2.504308177657671
208.0,2.5071270501458702
209.0,2.509171302522795
210.0,2.5103293405004328
211.0,2.51188553649897
212.0,2.5126647558571533
213.0,2.513643972260848
214.0,2.5142384718084916
215.0,2.515064748967042
216.0,2.5163678024903695
217.0,2.5172957624220067
218.0,2.5186214838007097
219.0,2.5208313898271864
220.0,2.522404204623555
221.0,2.525213446213409
222.0,2.528098382489998
223.0,2.531303140620919
224.0,2.5361141191889494
225.0,2.538632552160319
226.0,2.545187768180754
227.0,2.5464977137002007
228.0,2.5498805517896335
229.0,2.5516493407254117
230.0,2.5550201359416462
231.0,2.5569249739392608
232.0,2.5591288762923194
233.0,2.5614605219099587
234.0,2.563990001798818
235.0,2.566411212999577
236.0,2.568269955621606
237.0,2.571482364227948
238.0,2.57430638924623
239.0,2.575752623292196
240.0,2.579442044074667
241.0,2.581002855859696
242.0,2.5839493066227894
243.0,2.58592935012114
244.0,2.5894238678128807
245.0,2.59167607565668
246.0,2.5940954468831223
247.0,2.5980288778416187
248.0,2.6002188174522467
249.0,2.6056301211425033
250.0,2.6073402175918785
251.0,2.609445387299709
252.0,2.6140516805375342
253.0,2.6156281361881626
254.0,2.6185642740027277
255.0,2.622257207333903
256.0,2.623614660263452
257.0,2.6269803946694124
258.0,2.6294495454416102
259.0,2.6305401252013922
260.0,2.633212774683552
261.0,2.635321988118436
262.0,2.6367822256393483
263.0,2.6385798608394433
264.0,2.641043994107957
265.0,2.6426137563825334
266.0,2.645231313062899
267.0,2.647595476201741
268.0,2.6492446346029292
269.0,2.6518755129909932
270.0,2.654400049181996
271.0,2.6556589894454175
272.0,2.660021629496444
273.0,2.6610735967913586
274.0,2.6636155152012853
