"Iteration","Cd Monitor: Cd Monitor"
1.0,104.15860850126732
2.0,58.65813982730031
3.0,14.16258976832973
4.0,2.9271786176770878
5.0,2.031954344020186
6.0,-0.04011109624598037
7.0,-0.9420040045443512
8.0,-1.0766440412535205
9.0,0.05425340873653878
10.0,1.3950918278468407
11.0,1.4587021699106233
12.0,2.4830623187029945
13.0,2.9611574266867047
14.0,2.9440652978486685
15.0,2.830016935846134
16.0,2.765747693741565
17.0,2.5269365698316593
18.0,2.472548618152224
19.0,2.147875786185526
20.0,2.090164293716558
21.0,1.7958427665558807
22.0,1.7806741076294939
23.0,1.7923355449600578
24.0,1.7904136934489665
25.0,1.7854119751593485
26.0,1.780670341479133
27.0,1.7792145843510494
28.0,1.7807271436039318
29.0,1.7816194898434004
30.0,1.7862615070892778
31.0,1.7926443521532232
32.0,1.7921707084430576
33.0,1.7909937414530435
34.0,1.793076003586575
35.0,1.7889613348775
36.0,1.7883834915608865
37.0,1.7829794760910018
38.0,1.775625583111067
39.0,1.7653002217264466
40.0,1.7491920021264984
41.0,1.7361963116391619
42.0,1.7212452415652228
43.0,1.7053469143636324
44.0,1.6902684828152323
45.0,1.6754398794884628
46.0,1.657473479496532
47.0,1.647187826422757
48.0,1.631841603304754
49.0,1.6215297319483182
50.0,1.615341449657494
51.0,1.6056951932948431
52.0,1.601921134709952
53.0,1.6000636806294477
54.0,1.5997740125241486
55.0,1.6005611103153519
56.0,1.6013476153445543
57.0,1.6007399608271469
58.0,1.5983068529373332
59.0,1.5924991603020886
60.0,1.5848814380009462
61.0,1.5760104969512092
62.0,1.5675163260907539
63.0,1.5612551010206017
64.0,1.5574382186768252
65.0,1.5559691760184537
66.0,1.5556586962137393
67.0,1.5559739579646812
68.0,1.5567412405106829
69.0,1.558235779990016
70.0,1.5608711514942482
71.0,1.564572068896069
72.0,1.5681553217868511
73.0,1.5717302067880397
74.0,1.575164715642082
75.0,1.5792720164404088
76.0,1.5805565831223263
77.0,1.5798244964026005
78.0,1.5774130305035279
79.0,1.573743608463563
80.0,1.5677188802433144
81.0,1.560914868828406
82.0,1.5534093205626096
83.0,1.544599341661195
84.0,1.533892414444089
85.0,1.5235974007338424
86.0,1.5140830347519005
87.0,1.50441454355565
88.0,1.4989750096743415
89.0,1.4965738675438878
90.0,1.4965629801975733
91.0,1.4991844537149701
92.0,1.5085664474760636
93.0,1.515180153924216
94.0,1.530948846995277
95.0,1.5476988325330807
96.0,1.5645734131573075
97.0,1.582695197457333
98.0,1.6127036202817253
99.0,1.6222159016089153
100.0,1.6489734177441486
101.0,1.656330773558712
102.0,1.6808447535739952
103.0,1.68775285193373
104.0,1.717483341463957
105.0,1.7242209366463108
106.0,1.75174490142707
107.0,1.7582647136284133
108.0,1.7730273827507936
109.0,1.7875029563647056
110.0,1.7940226235824348
111.0,1.8015100869278686
112.0,1.807637162738544
113.0,1.8104040838065547
114.0,1.81112448541099
115.0,1.8087721648106032
116.0,1.8022749298240819
117.0,1.793905823311079
118.0,1.7738833128904827
119.0,1.7611651366052299
120.0,1.7337226811786561
121.0,1.718984929063767
122.0,1.6923667041055435
123.0,1.6794878107307865
124.0,1.6547682733455702
125.0,1.6434544973892382
126.0,1.6246989741806503
127.0,1.6151746917564087
128.0,1.6065610959416667
129.0,1.598547054888724
130.0,1.5910599425772993
131.0,1.5838997403185457
132.0,1.5771379290286405
133.0,1.5704089913401365
134.0,1.5634314569731427
135.0,1.5568116284338689
136.0,1.5496933362541023
137.0,1.5429371811419426
138.0,1.5364587885739258
139.0,1.5301602659115228
140.0,1.524023598113394
141.0,1.5183458763192272
142.0,1.512626004043217
143.0,1.5069820258316555
144.0,1.501205026312269
145.0,1.495067278965168
146.0,1.4884427501643127
147.0,1.4814241555937915
148.0,1.4739951912296172
149.0,1.466588476229369
150.0,1.4594996020187097
151.0,1.4524670262566708
152.0,1.4464292468322248
153.0,1.4409140038137838
154.0,1.4363023732324494
155.0,1.4322728723510445
156.0,1.4288175225580564
157.0,1.425937328012273
158.0,1.4236106734889669
159.0,1.4216164669580202
160.0,1.4197426085226084
161.0,1.4180557883371219
162.0,1.416451303580702
163.0,1.4150447677292135
164.0,1.4137350909717035
165.0,1.4124665074838345
166.0,1.4112553930834701
167.0,1.4100170373701273
168.0,1.4090279445812257
169.0,1.4072119659787483
170.0,1.405083434162834
171.0,1.4021003229388362
172.0,1.3995260024041392
173.0,1.3962674654261733
174.0,1.3923796144544847
175.0,1.38801301914161
176.0,1.3831304330233152
177.0,1.3776749936217978
178.0,1.3718076164073636
179.0,1.3657904963555298
180.0,1.3566967294639591
181.0,1.3522755391123507
182.0,1.3476715580317533
183.0,1.3432443914065995
184.0,1.3382677232066644
185.0,1.3349519956976033
186.0,1.3308935678575675
187.0,1.3289162419743081
188.0,1.3271245266828038
189.0,1.3254473134700109
190.0,1.3240080630705195
191.0,1.322949764270304
192.0,1.3231286543518923
193.0,1.3242043667062866
194.0,1.3254463891367765
195.0,1.3263557101891637
196.0,1.3269273587172017
197.0,1.3282683606294092
198.0,1.327370891454014
199.0,1.325909215224478
200.0,1.3249510191636087
201.0,1.3241033535603568
202.0,1.322759511597632
203.0,1.3210935366961474
204.0,1.3188856164092055
205.0,1.3172787263922614
206.0,1.315279745272271
207.0,1.3142115777733039
208.0,1.3127542190616226
209.0,1.3105442386211643
210.0,1.308824615165854
211.0,1.3062590830664593
212.0,1.3040597977180317
213.0,1.300841811106571
214.0,1.2962858453918458
215.0,1.292329281596631
216.0,1.285658386830774
217.0,1.2815123836096145
