     Alpha       T1_Re0.400_M0.00_N9.0    
          0.1         0.7379193  
          0.2         0.7327742  
          0.3         0.7280376  
          0.4         0.7225165  
          0.5         0.7178673  
          0.6         0.7128048  
          0.7         0.7071108  
          0.8         0.7020087  
          0.9         0.6964409  
            1         0.6908508  
          1.1         0.6859074  
          1.2         0.6801416  
          1.3         0.6747798  
          1.4         0.6696944  
          1.5         0.6640021  
          1.6         0.6588243  
          1.7         0.6536743  
          1.8          0.648229  
          1.9          0.643343  
            2         0.6384099  
          2.1         0.6332479  
          2.2         0.6285518  
          2.3         0.6239579  
          2.4         0.6190277  
          2.5          0.614482  
          2.6         0.6104506  
          2.7         0.6058647  
          2.8         0.6014919  
          2.9         0.5975776  
            3         0.5937409  
          3.1         0.5895582  
          3.2         0.5856553  
          3.3         0.5821486  
          3.4         0.5787606  
          3.5         0.5749637  
          3.6         0.5713102  
          3.7         0.5679982  
          3.8         0.5649966  
          3.9         0.5617241  
            4         0.5583129  
          4.1         0.5550591  
          4.2         0.5520711  
          4.3          0.549266  
          4.4         0.5462646  
          4.5         0.5431101  
          4.6         0.5400406  
          4.7         0.5371351  
          4.8         0.5343929  
          4.9         0.5316623  
            5         0.5279236  
          5.1         0.5227233  
          5.2         0.5168996  
          5.3         0.5094517  
          5.4         0.5020877  
          5.5         0.4942463  
          5.6         0.4866155  
          5.7         0.4787412  
          5.8         0.4712221  
          5.9         0.4640864  
            6         0.4574591  
          6.1         0.4514396  
          6.2         0.4442407  
          6.3         0.4371512  
          6.4         0.4287411  
          6.5         0.4197299  
          6.6         0.4082972  
          6.7         0.3944941  
          6.8         0.3773285  
          6.9         0.3554664  
            7         0.3256171  
          7.1         0.2856107  
          7.2         0.2361918  
          7.3         0.1815707  
          7.4         0.1300087  
          7.5        0.08937207  
          7.6        0.06488808  
          7.7        0.05189147  
          7.8          0.044565  
          7.9        0.03992806  
            8        0.03663368  
          8.1        0.03413495  
          8.2        0.03206971  
          8.3        0.03037891  
          8.4        0.02904314  
          8.5        0.02772099  
          8.6        0.02654666  
          8.7         0.0255095  
          8.8        0.02460868  
          8.9        0.02375702  
            9        0.02286377  
          9.1         0.0220595  
          9.2        0.02139758  
          9.3        0.02085368  
          9.4        0.02037028  
          9.5        0.01996034  
          9.6        0.01960791  
          9.7        0.01922098  
          9.8        0.01882308  
          9.9        0.01843285  
           10        0.01806153  

