"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[i] (m/s)"
0.0,20.244937896728516
-0.06,19.98480224609375
-0.12,19.905241012573242
-0.18,19.854915618896484
-0.24,19.830753326416016
-0.30000000000000004,19.78697395324707
-0.36,19.681495666503906
-0.42000000000000004,19.622032165527344
-0.48,19.63799476623535
-0.54,19.73927116394043
-0.6000000000000001,19.841373443603516
-0.66,19.918460845947266
-0.72,19.965810775756836
-0.78,20.02821922302246
-0.8400000000000001,19.888280868530273
-0.8999999999999999,18.979320526123047
-0.96,17.561717987060547
-1.02,16.383312225341797
-1.08,16.082265853881836
-1.1400000000000001,16.665117263793945
-1.2000000000000002,17.60927963256836
-1.26,18.3874568939209
-1.32,18.927413940429688
-1.3800000000000001,19.231107711791992
-1.44,19.358617782592773
-1.5,19.43465805053711
-1.56,19.426673889160156
-1.62,19.352365493774414
-1.6800000000000002,19.331079483032227
-1.7399999999999998,19.34927749633789
-1.7999999999999998,19.364192962646484
-1.8599999999999999,19.39211082458496
-1.92,19.430418014526367
-1.98,19.45480728149414
-2.04,19.469406127929688
-2.0999999999999996,19.482009887695312
-2.16,19.489748001098633
-2.2199999999999998,19.49534034729004
-2.2800000000000002,19.51594352722168
-2.34,19.543848037719727
-2.4000000000000004,19.576305389404297
-2.46,19.607866287231445
-2.52,19.646142959594727
-2.58,19.67611312866211
-2.64,19.7176570892334
-2.7,19.743484497070312
-2.7600000000000002,19.762529373168945
-2.82,19.80023193359375
-2.88,19.81962776184082
-2.94,19.834293365478516
-3.0,19.858970642089844
-3.06,19.88937759399414
-3.12,19.914827346801758
-3.18,19.93515968322754
-3.24,19.94988441467285
-3.3000000000000003,19.969682693481445
-3.3600000000000003,19.99724769592285
-3.42,20.013139724731445
-3.4799999999999995,20.027267456054688
-3.54,20.03786277770996
-3.5999999999999996,20.028940200805664
-3.66,20.0051212310791
-3.7199999999999998,20.015779495239258
-3.7800000000000002,20.03721046447754
-3.84,20.05953598022461
-3.9000000000000004,20.076416015625
-3.96,20.104568481445312
-4.0200000000000005,20.12097930908203
-4.08,20.12065887451172
-4.14,20.12382698059082
-4.199999999999999,20.119550704956055
-4.26,20.1312198638916
-4.32,20.147085189819336
-4.38,20.15268325805664
-4.4399999999999995,20.1644287109375
-4.5,20.165496826171875
-4.5600000000000005,20.152286529541016
-4.62,20.125839233398438
-4.68,20.10986328125
-4.74,20.110124588012695
-4.800000000000001,20.128299713134766
-4.86,20.14519500732422
-4.92,20.157583236694336
-4.9799999999999995,20.16469383239746
-5.04,20.173471450805664
-5.1,20.187673568725586
-5.16,20.187280654907227
-5.22,20.19979476928711
-5.28,20.195383071899414
-5.34,20.20427703857422
-5.4,20.20914649963379
-5.46,20.206649780273438
-5.5200000000000005,20.207216262817383
-5.58,20.2176513671875
-5.64,20.232559204101562
-5.699999999999999,20.231327056884766
-5.76,20.24006462097168
-5.82,20.24199104309082
-5.88,20.246143341064453
-5.9399999999999995,20.238576889038086
-6.0,20.234682083129883
