"Iteration","CpT_both Monitor: CpT_both Monitor"
1.0,3.8456877567478895
2.0,3.016613070953845
3.0,0.9884039952798012
4.0,0.4075905864546944
5.0,-0.6731499619402801
6.0,-0.694905509644567
7.0,-0.7155095116090606
8.0,-0.8476344136030592
9.0,-1.254609623869465
10.0,-1.2453045727387544
11.0,-1.1496901244231816
12.0,-1.1068041800559798
13.0,-0.38730210653645736
14.0,-0.34954203232826064
15.0,-0.15189213785744574
16.0,-0.13594462358099446
17.0,-0.11824285933779326
18.0,-0.12398362050112144
19.0,-0.2275667943780743
20.0,-0.24515570384157015
21.0,-0.4268482318544934
22.0,-0.43566148738247024
23.0,-0.43928043914826054
24.0,-0.4388472751601036
25.0,-0.43466104606580386
26.0,-0.4363956136802645
27.0,-0.4275506764525993
28.0,-0.41879091554825737
29.0,-0.3954819560561167
30.0,-0.3829858262821166
31.0,-0.36880500505530406
32.0,-0.35275182867884525
33.0,-0.3237532630046909
34.0,-0.31195391136616846
35.0,-0.3003528344731498
36.0,-0.28986769685923935
37.0,-0.2807962496109711
38.0,-0.2744391187411647
39.0,-0.2681745306329783
40.0,-0.26800523171099677
41.0,-0.26985534553506757
42.0,-0.27309420467884943
43.0,-0.2773982247140301
44.0,-0.282133912957053
45.0,-0.29319947163889226
46.0,-0.3000038924140258
47.0,-0.3143314144373119
48.0,-0.32751879290505803
49.0,-0.33373546635461776
50.0,-0.3383324829162069
51.0,-0.3415658667921631
52.0,-0.34352371989743974
53.0,-0.3441636932718078
54.0,-0.3436391935756381
55.0,-0.34221104011274084
56.0,-0.33981697550877304
57.0,-0.3366000383793857
58.0,-0.3324766164432856
59.0,-0.3276596652252897
60.0,-0.32184266694438957
61.0,-0.30987104506291735
62.0,-0.3032978291799618
63.0,-0.2963740249862645
64.0,-0.289309961939549
65.0,-0.27730116811987987
66.0,-0.2706841933724536
67.0,-0.26643745318555956
68.0,-0.2631033244208058
69.0,-0.259881271851989
70.0,-0.25774931889918856
71.0,-0.256054615727397
72.0,-0.2557172159968354
73.0,-0.25637105841121155
74.0,-0.25774190244560313
75.0,-0.2601137345461359
76.0,-0.2627883524123358
77.0,-0.2652698484737117
78.0,-0.2682069304461971
79.0,-0.26960948486212216
80.0,-0.2703712831239496
81.0,-0.2696258046765988
82.0,-0.26635805779877075
83.0,-0.262201017495345
84.0,-0.25755510703142104
85.0,-0.2504066542565196
86.0,-0.24804493854819204
87.0,-0.23987535379546118
88.0,-0.23902643793659184
89.0,-0.23823730117405742
90.0,-0.23807667371049646
91.0,-0.23986432394561144
92.0,-0.24448554612504278
93.0,-0.24589580048100299
94.0,-0.2503934131746754
95.0,-0.2532250605241174
96.0,-0.25985755537004895
97.0,-0.26398451207327184
98.0,-0.27133309141073303
99.0,-0.27532949518367295
100.0,-0.28286873322865325
101.0,-0.2867493465823704
102.0,-0.2940347490626419
103.0,-0.2977133279281607
104.0,-0.30423838560863214
105.0,-0.3101279019481739
106.0,-0.3129912094625377
107.0,-0.31565596550828784
108.0,-0.3169808440595248
109.0,-0.31827639116358275
110.0,-0.3187622565194082
111.0,-0.3188721024806188
112.0,-0.318585580655023
113.0,-0.31768151237106584
114.0,-0.3160895140831476
115.0,-0.31491380313874756
116.0,-0.31351258363330503
117.0,-0.3118748745842334
118.0,-0.31014729406148034
119.0,-0.3085782995332191
120.0,-0.30715753760666553
121.0,-0.3060015204257639
122.0,-0.30524736104553846
123.0,-0.30466655220369593
124.0,-0.30459233118053297
125.0,-0.30490241091147363
126.0,-0.3057152187770368
127.0,-0.3068354561694057
128.0,-0.3082254881538222
129.0,-0.3098997145565588
130.0,-0.3117260260641927
131.0,-0.31366718826170314
132.0,-0.31568565439277774
133.0,-0.3177956666429814
134.0,-0.3199164704510282
135.0,-0.3220887910755559
136.0,-0.32417718431544146
137.0,-0.3262326896127833
138.0,-0.327971384925829
139.0,-0.3295844471781435
140.0,-0.33071747451734385
141.0,-0.3313521192967752
142.0,-0.3317803348638982
143.0,-0.3318256389366275
144.0,-0.3315151916473568
145.0,-0.3308776140042321
146.0,-0.33007869006231916
147.0,-0.3290939001059068
148.0,-0.32740439032907687
149.0,-0.3262493744115644
150.0,-0.32527873382477274
151.0,-0.32456972949820995
152.0,-0.3240182899095593
153.0,-0.32363265746850733
154.0,-0.32373925604091125
155.0,-0.32424183336137147
156.0,-0.3251179876518199
157.0,-0.3264858092292733
158.0,-0.3281672332087286
159.0,-0.3302188558613944
160.0,-0.3325294695021448
161.0,-0.33497740737767506
162.0,-0.3374550491173121
163.0,-0.3399748226121848
164.0,-0.34321550033267983
165.0,-0.3453462600134472
166.0,-0.3484302772786006
167.0,-0.3497272182500882
168.0,-0.3516688024433898
169.0,-0.35232542568527897
170.0,-0.35271152684730633
171.0,-0.35254994023739
172.0,-0.35187709433940706
173.0,-0.35097624239644926
174.0,-0.3497825826576111
175.0,-0.3485882858161806
176.0,-0.34784464658056036
177.0,-0.3472363510736768
178.0,-0.3468840959521134
179.0,-0.34679290870197393
