Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
WingGeom,0.664413,0.664413,0.005552,0.005552
WingGeom,0.304343,0.304343,0.001165,0.001165
Totals,0.968756,0.968756,0.006717,0.006717

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
WingGeom_S_Surf0,0.332206,0.332206
WingGeom_S_Surf1,0.332206,0.332206
WingGeom_S_Surf0,0.152171,0.152171
WingGeom_S_Surf1,0.152171,0.152171
