     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.5753945  
          0.1         0.5860931  
          0.2         0.5968076  
          0.3         0.6076075  
          0.4         0.6182034  
          0.5         0.6289997  
          0.6         0.6395599  
          0.7         0.6502384  
          0.8         0.6608404  
          0.9         0.6714282  
            1         0.6820339  
          1.1           0.69256  
          1.2         0.7031425  
          1.3          0.713639  
          1.4         0.7241723  
          1.5         0.7346461  
          1.6         0.7451098  
          1.7         0.7555769  
          1.8         0.7659951  
          1.9          0.776453  
            2         0.7868363  
          2.1         0.7972576  
          2.2         0.8076189  
          2.3         0.8180027  
          2.4         0.8283806  
          2.5         0.8387014  
          2.6         0.8491031  
          2.7         0.8593641  
          2.8         0.8698065  
          2.9         0.8801033  
            3         0.8904635  
          3.1         0.9008338  
          3.3         0.9215413  
          3.4         0.9318552  
          3.5         0.9421561  
          3.6         0.9526125  
          3.7         0.9628334  
          3.8         0.9728846  
            4         0.9919427  
          4.1          1.001391  
          4.2          1.010837  
          4.3           1.02012  
          4.4          1.029342  
          4.5           1.03856  
          4.6          1.047665  
          4.7          1.056715  
          4.8           1.06572  
          4.9          1.074588  
            5          1.082596  
          5.1          1.088715  
          5.2          1.090076  
          5.3          1.088188  
          5.4          1.090371  
          5.5          1.097655  
          5.6          1.105662  
          5.7          1.113396  
          5.8          1.122047  
          5.9          1.130174  
            6          1.136502  
          6.1          1.144807  
          6.2          1.152552  
          6.3          1.160024  
          6.4           1.16603  
          6.5          1.171881  
          6.6          1.180332  
          6.7          1.187666  
          6.8          1.194498  
          6.9          1.201076  
            7          1.207017  
          7.1          1.211571  
          7.2          1.214785  
          7.3          1.222638  
          7.4          1.230126  
          7.5          1.237611  
          7.6          1.245364  
          7.7          1.253574  
          7.8          1.262359  
          7.9          1.271755  
            8           1.28137  
          8.1           1.29038  
          8.2          1.298702  
          8.3          1.306436  
          8.4          1.313909  
          8.5          1.322831  
          8.6           1.33117  
          8.7          1.337995  
          8.8           1.34396  
           10         0.9302181  

