     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.8216303  
          0.1         0.8164699  
          0.2          0.811214  
          0.3         0.8063491  
          0.4         0.8005689  
          0.5         0.7956826  
          0.6         0.7896962  
          0.7         0.7842724  
          0.8         0.7784397  
          0.9         0.7725026  
            1         0.7667195  
          1.1         0.7603901  
          1.2         0.7546291  
          1.3         0.7480143  
          1.4         0.7421921  
          1.5         0.7353073  
          1.6         0.7291622  
          1.7         0.7222589  
          1.8         0.7158751  
          1.9         0.7091343  
            2         0.7025025  
          2.1         0.6958333  
          2.2         0.6889902  
          2.3         0.6825271  
          2.4         0.6756841  
          2.5         0.6694818  
          2.6         0.6625403  
          2.7         0.6564428  
          2.8         0.6498403  
          2.9         0.6436103  
            3         0.6375952  
          3.1         0.6313136  
          3.3         0.6198144  
          3.4         0.6140829  
          3.5         0.6089233  
          3.6         0.6032397  
          3.7          0.597611  
          3.8         0.5897819  
            4         0.5674123  
          4.1         0.5549465  
          4.2         0.5433143  
          4.3         0.5311457  
          4.4         0.5172246  
          4.5         0.5023532  
          4.6         0.4868018  
          4.7         0.4707225  
          4.8          0.454194  
          4.9         0.4340527  
            5         0.4048355  
          5.1         0.3490341  
          5.2         0.2464566  
          5.3         0.1138554  
          5.4        0.04639711  
          5.5         0.0352097  
          5.6        0.03015088  
          5.7        0.02665158  
          5.8        0.02452586  
          5.9        0.02278869  
            6        0.02142767  
          6.1        0.02043362  
          6.2        0.01945672  
          6.3        0.01855308  
          6.4        0.01766088  
          6.5        0.01688511  
          6.6        0.01602845  
          6.7        0.01535829  
          6.8         0.0148564  
          6.9        0.01440826  
            7        0.01400829  
          7.1        0.01365045  
          7.2        0.01334049  
          7.3        0.01314282  
          7.4        0.01293569  
          7.5         0.0127482  
          7.6        0.01260373  
          7.7        0.01251493  
          7.8        0.01249099  
          7.9        0.01254602  
            8         0.0125643  
          8.1        0.01238998  
          8.2        0.01203418  
          8.3        0.01159694  
          8.4        0.01123783  
          8.5         0.0114433  
          8.6        0.01191675  
          8.7        0.01239266  
          8.8        0.01288891  
           10        0.01300824  

