"Iteration","Cl Monitor: Cl Monitor"
1.0,56.71377537763418
2.0,31.82734050805591
3.0,7.38612221124442
4.0,1.95914538434923
5.0,1.372807448776239
6.0,0.17482068438983808
7.0,0.09505150800243636
8.0,0.05503708113899589
9.0,0.1615879737381905
10.0,0.681327455153303
11.0,1.213224089151002
12.0,1.254159373712871
13.0,1.6168453384676675
14.0,1.632245581418472
15.0,1.6666469854894166
16.0,1.641804490578406
17.0,1.5359269835069693
18.0,1.5050003534638858
19.0,1.2900298493348652
20.0,1.2713274296442638
21.0,1.2560249404644621
22.0,1.1709897782815364
23.0,1.1691730409426941
24.0,1.1735812974525957
25.0,1.1826199635877026
26.0,1.2090585573616102
27.0,1.2392865207483448
28.0,1.2541907905914484
29.0,1.2819997636214115
30.0,1.29439734100537
31.0,1.3141141013304933
32.0,1.3214684042503753
33.0,1.3260640590216348
34.0,1.3281331879159555
35.0,1.3283436140810865
36.0,1.3267401065572624
37.0,1.3226981179150306
38.0,1.3185588016246272
39.0,1.3159289663042038
40.0,1.3132168952742456
41.0,1.3104104879634675
42.0,1.307455890911761
43.0,1.3046213623075873
44.0,1.3019215186126205
45.0,1.2992623941327746
46.0,1.296163066814378
47.0,1.2954346012094606
48.0,1.2957707020176865
49.0,1.2987845935524567
50.0,1.3002350217145013
51.0,1.3023993988933136
52.0,1.3049221243065325
53.0,1.3070751202194015
54.0,1.3091267775846265
55.0,1.3106478084693265
56.0,1.311953565968126
57.0,1.3128621939121183
58.0,1.3140283897070462
59.0,1.3153361324289716
60.0,1.3166658017393649
61.0,1.318365018620089
62.0,1.3199540291854008
63.0,1.3214594443685381
64.0,1.323106308238411
65.0,1.324500234933091
66.0,1.3283271147598763
67.0,1.3304372925564933
68.0,1.3347285891451361
69.0,1.337937684726742
70.0,1.3425936220811385
71.0,1.3462177658936931
72.0,1.3515236001367423
73.0,1.3563936367692684
74.0,1.3611680362152698
75.0,1.365989112702
76.0,1.3708729539334983
77.0,1.3783817610716025
78.0,1.3828404193575352
79.0,1.387834500095527
80.0,1.396648630091403
81.0,1.4058347093536112
82.0,1.4151274994401233
83.0,1.425515937585001
84.0,1.4374032429443067
85.0,1.456121456105127
86.0,1.4633084654243769
87.0,1.484236511042147
88.0,1.4981090633805985
89.0,1.5120333161698
90.0,1.5256357964701814
91.0,1.5344507996117136
92.0,1.5515725262227327
93.0,1.556038687179815
94.0,1.5651823307055914
95.0,1.5742322788408145
96.0,1.5788505308145462
97.0,1.5872767925557705
98.0,1.5911577385835676
99.0,1.5974578534046882
100.0,1.6007007837251204
101.0,1.6033939292442843
102.0,1.6042122288431337
103.0,1.6033618774199256
104.0,1.599708471803473
105.0,1.5941577487955816
106.0,1.587072377589234
107.0,1.5817960850445096
108.0,1.5761811600856228
109.0,1.5710669258797343
110.0,1.5664314329457216
111.0,1.5639145697622603
112.0,1.5618071140878378
113.0,1.5615022698637797
114.0,1.5626877205273741
115.0,1.5639616779514172
116.0,1.5673145672501076
117.0,1.571647120373491
118.0,1.5766500775633576
119.0,1.5822513447469104
120.0,1.5883555948011356
121.0,1.5924900342558745
122.0,1.5990262462696663
123.0,1.6054394399995253
124.0,1.6111413951516635
125.0,1.6144472424254923
126.0,1.621239692089375
127.0,1.6234118072785568
128.0,1.6276686125655873
129.0,1.629199898443984
130.0,1.631585108640962
131.0,1.6336744957191232
132.0,1.6354509152505048
133.0,1.6369438670743128
134.0,1.6383691291727223
135.0,1.63971778294368
136.0,1.6408574908853544
137.0,1.642084187678613
138.0,1.644014730280575
139.0,1.6449413530330859
140.0,1.6473820465097255
141.0,1.6496793483544008
142.0,1.651495401150153
143.0,1.653348328439395
144.0,1.655949923879364
145.0,1.6577098692602243
146.0,1.6596547626600187
147.0,1.6610386779267352
148.0,1.6642929361016616
149.0,1.6664872682547893
150.0,1.6697601076767152
151.0,1.6712580257780887
152.0,1.6730337991533595
153.0,1.6773608966404072
154.0,1.6790212345531963
155.0,1.6830535489749148
156.0,1.6866367047883952
157.0,1.6902608859908324
158.0,1.6919637553417377
159.0,1.6962860972490583
160.0,1.6999339352114704
161.0,1.7016491942605803
162.0,1.7060785585563383
163.0,1.7078758865323758
164.0,1.7126935303818585
165.0,1.7146653903235354
166.0,1.719932587113096
167.0,1.7222068485822335
168.0,1.7280403183179283
169.0,1.7305414013946872
170.0,1.7370160161696884
171.0,1.7396549453249173
172.0,1.74589644053543
173.0,1.7484020997468106
174.0,1.7548183501028694
175.0,1.7607548312361785
176.0,1.7630693907397068
177.0,1.7685320750094682
178.0,1.7731747739994177
179.0,1.775878416017286
180.0,1.7797797296839457
181.0,1.7820812940631794
182.0,1.7854292854711302
183.0,1.787475944025127
184.0,1.7904907805354815
185.0,1.7932587687345274
186.0,1.7960180980188771
187.0,1.7980185856515716
188.0,1.8012951354974596
189.0,1.8045363568543196
190.0,1.8078526690161438
191.0,1.81119561802766
192.0,1.8145439252828708
193.0,1.8181135953464254
194.0,1.8217815247846303
195.0,1.8254248624237568
196.0,1.8290229011320436
197.0,1.8328076644407372
198.0,1.8362833254179087
199.0,1.8395120923658062
200.0,1.84278742871168
201.0,1.8459187749221146
202.0,1.8489523138111807
203.0,1.851859110795514
204.0,1.85473844004331
205.0,1.8561267264119228
206.0,1.8596826485224447
207.0,1.8629139564225081
208.0,1.865818230082209
209.0,1.8678780771812835
210.0,1.8712556299875152
211.0,1.8726523852205545
212.0,1.87636064486827
213.0,1.8778761775234944
214.0,1.881736525687856
215.0,1.883285761825605
216.0,1.8872272589721353
217.0,1.888833570843399
218.0,1.8925019566709742
219.0,1.89396398513748
220.0,1.8975674983139372
221.0,1.8988543334104353
222.0,1.9012669465562637
223.0,1.9044181698915463
224.0,1.9055943956070696
225.0,1.9085849149898737
226.0,1.910951988482014
227.0,1.9119915456986607
228.0,1.91624929245273
229.0,1.916848302942705
230.0,1.9177981125610752
231.0,1.9196947427472841
232.0,1.922449378288893
233.0,1.923505011601142
234.0,1.9256966832171316
235.0,1.9272080011107295
236.0,1.9314703069575014
237.0,1.93277857785903
238.0,1.934542501650945
239.0,1.9379237217726053
240.0,1.9398638096887844
241.0,1.9433696790838801
242.0,1.9453434261761886
243.0,1.9490343936133059
244.0,1.9523327369549237
245.0,1.955390687798132
246.0,1.9595415827651428
247.0,1.9610848162658838
248.0,1.9636699007904672
249.0,1.9660207168923658
250.0,1.9690949539000226
251.0,1.9702569902404634
252.0,1.973055819421817
253.0,1.9741120398310867
254.0,1.9766904122448121
255.0,1.977653873687735
256.0,1.9801312855602031
257.0,1.9820285085457299
258.0,1.9829533222426146
259.0,1.985399944014443
260.0,1.9873567538380594
261.0,1.9894203981498666
262.0,1.9905196970144612
263.0,1.993405113284956
264.0,1.9958219015227672
265.0,1.9970599373697353
266.0,2.000129248889285
267.0,2.002900547257286
268.0,2.00423009983623
269.0,2.007741827405029
270.0,2.0091273700076027
271.0,2.0151019767879204
272.0,2.0159901451878497
273.0,2.0172181803294635
274.0,2.0201241334319366
275.0,2.0213023571062325
276.0,2.024375088462306
277.0,2.0268415700532736
278.0,2.027961067746006
279.0,2.032311193335833
280.0,2.0329737076035643
281.0,2.0344129382958323
282.0,2.0366250079346964
283.0,2.0385460142303793
284.0,2.039546184893094
285.0,2.042158203809173
286.0,2.0442520068642835
287.0,2.0462687748662414
288.0,2.047257867885871
289.0,2.05150336470219
290.0,2.052170344747678
291.0,2.0542597601900683
292.0,2.0552617262422763
293.0,2.059580139184057
294.0,2.060252563164903
295.0,2.0624296011090184
296.0,2.064522203052441
297.0,2.066612630341737
298.0,2.068761552724597
299.0,2.0708957498016014
300.0,2.0730453406284934
301.0,2.075143302538783
302.0,2.0771704201304635
303.0,2.079210788375014
304.0,2.081190394849472
305.0,2.0831278894740697
306.0,2.085068958139582
307.0,2.087001477397681
308.0,2.0889552824074338
309.0,2.0899206834284336
310.0,2.094024642087733
311.0,2.0946139954630127
312.0,2.096203990500931
313.0,2.098662834352503
314.0,2.0997009192329354
315.0,2.1034283227703003
316.0,2.1042581621544967
317.0,2.106956052159805
318.0,2.108014145200496
319.0,2.1111456344601924
320.0,2.1135279829592344
321.0,2.1146196364374683
322.0,2.1176351554996256
323.0,2.1198975114511156
324.0,2.1209679031689403
325.0,2.123927586194871
326.0,2.1254519290904015
327.0,2.128028433043677
328.0,2.1290303624179905
329.0,2.131996226733514
330.0,2.133590943305368
331.0,2.1362241220043625
332.0,2.137194421033987
333.0,2.14013123387444
334.0,2.1411402268912143
335.0,2.1441906065286447
336.0,2.1452356344452665
337.0,2.1482437128721035
338.0,2.149336730558779
339.0,2.1515074089845934
340.0,2.1536218458868435
341.0,2.156462799741018
342.0,2.1582082503967124
343.0,2.160015242700439
344.0,2.1619184598403933
345.0,2.1638928425392248
346.0,2.165775405033267
347.0,2.1676216866706235
348.0,2.1694669706702427
349.0,2.171242026024961
350.0,2.1729966817388693
351.0,2.1747355258676264
352.0,2.176447208381126
353.0,2.1780631265639836
354.0,2.1796362462492445
355.0,2.1811909618234044
356.0,2.1827100769396806
357.0,2.1842038012507614
358.0,2.185671566227948
359.0,2.1871149815438127
360.0,2.1884846745280133
361.0,2.189885798950734
362.0,2.191362777631101
363.0,2.192820323956266
364.0,2.1942933224400423
365.0,2.195765259981475
366.0,2.197327393619011
367.0,2.198893973191639
368.0,2.2004537121329446
369.0,2.2030852418500633
370.0,2.204096997988211
371.0,2.2053164431475523
372.0,2.206641785583703
373.0,2.2080197032023663
374.0,2.209416646735364
375.0,2.2108862097519215
376.0,2.2122609292674076
377.0,2.2135830300905615
378.0,2.214903820350352
379.0,2.217088325970557
380.0,2.2179411686759867
381.0,2.2189986580232546
382.0,2.220162134225201
383.0,2.221396781333085
384.0,2.2226834819518895
385.0,2.224249431093508
386.0,2.2252816944087104
387.0,2.2263796075585525
388.0,2.227983066866019
389.0,2.229057298193563
390.0,2.230540046117386
391.0,2.231535954675345
392.0,2.232886703350519
393.0,2.2337690821032004
394.0,2.23514809876965
395.0,2.236053584627623
396.0,2.237340252177765
397.0,2.2382224318511423
398.0,2.2393797303049845
399.0,2.240286330225682
400.0,2.241087048337166
401.0,2.2422030924634684
402.0,2.2429732715267368
403.0,2.2440351383877752
404.0,2.245018121634994
