"Iteration","Cd Monitor: Cd Monitor"
1.0,121.61845942177949
2.0,69.50131978109732
3.0,14.99351157340446
4.0,2.741707944238256
5.0,1.1285819654182632
6.0,-0.34602418910576443
7.0,-1.2726815249671852
8.0,-1.8877202521473928
9.0,-1.7680316110692122
10.0,1.3413307106497065
11.0,1.6282803415943683
12.0,2.301924890976108
13.0,3.0011885820290405
14.0,2.9994867820609037
15.0,2.801175407396472
16.0,2.702845254595462
17.0,2.252056693163655
18.0,2.185156425050921
19.0,1.9370842282613152
20.0,1.8883392187161168
21.0,1.632528959491349
22.0,1.6124884047778236
23.0,1.6007568146090598
24.0,1.6059936888410005
25.0,1.6244229360382716
26.0,1.6517138536832472
27.0,1.7167922176569392
28.0,1.7500257635784016
29.0,1.9401972853239273
30.0,1.9575458937728074
31.0,1.9618593521502015
32.0,1.9586659063277811
33.0,1.9435064244822706
34.0,1.9153744091310165
35.0,1.8783659705977516
36.0,1.8362557357434366
37.0,1.790121094886451
38.0,1.7425940430964229
39.0,1.6934365568983245
40.0,1.6661916522381706
41.0,1.6372135431290125
42.0,1.6121897703310126
43.0,1.590825487769519
44.0,1.5742989896635127
45.0,1.5516354467302516
46.0,1.5445912289071595
47.0,1.5424907928794567
48.0,1.5444568090735384
49.0,1.5467168312309385
50.0,1.552617377537561
51.0,1.5615475832336667
52.0,1.5720535097818036
53.0,1.583733726936312
54.0,1.5940761242485333
55.0,1.6021097840616267
56.0,1.6087757316162048
57.0,1.6124175363018838
58.0,1.6151190051520519
59.0,1.6143002544638763
60.0,1.6111311076647503
61.0,1.6052413534556162
62.0,1.596809270768059
63.0,1.5866346084041583
64.0,1.5740655849895713
65.0,1.560921021368535
66.0,1.547994514255645
67.0,1.5358528918328938
68.0,1.5248884767254107
69.0,1.5159422037086083
70.0,1.5082929538491001
71.0,1.5030598264936843
72.0,1.4996461697830983
73.0,1.4978996335544172
74.0,1.4972078364593733
75.0,1.4994376330924906
76.0,1.501533272715571
77.0,1.5033791092155482
78.0,1.5039971137404609
79.0,1.5038551528209412
80.0,1.5030773892055551
81.0,1.5005057120523408
82.0,1.4965720289146378
83.0,1.4899968116034623
84.0,1.4841560112734113
85.0,1.4801247910751487
86.0,1.4754701245758162
87.0,1.4720741640804285
88.0,1.467402861481739
89.0,1.4649070222291303
90.0,1.4614750597707613
91.0,1.4596043145915376
92.0,1.4605050910575066
93.0,1.4608291423438902
94.0,1.4668346408554047
95.0,1.476614957837818
96.0,1.4996842803082344
97.0,1.5096325133691586
98.0,1.557361426904356
99.0,1.5685960847654572
100.0,1.6046023722770513
101.0,1.6310516122279486
102.0,1.662854492730903
103.0,1.6997446054762038
104.0,1.740785080109155
105.0,1.7623462478205834
106.0,1.8246951511547431
107.0,1.8315683197527908
108.0,1.8378228272153607
109.0,1.8429763178071266
110.0,1.8454903755585144
111.0,1.8451891339465756
112.0,1.842892638424538
113.0,1.8393261306871314
114.0,1.8339408664689578
115.0,1.8270789631685944
116.0,1.8174545695707327
117.0,1.80135934416078
118.0,1.7867431100026472
119.0,1.7626307052046608
120.0,1.7473020625211597
121.0,1.7169216803455882
122.0,1.6995226012847893
123.0,1.6660308751015809
124.0,1.6475889373415837
125.0,1.6165462076562418
126.0,1.6011332913617615
127.0,1.573315964532054
128.0,1.5598270458050463
129.0,1.5353695157852993
130.0,1.5238919731969838
131.0,1.5134969190727994
132.0,1.5039621261991525
133.0,1.4966112338079123
134.0,1.4905633410396915
135.0,1.4851549175637975
136.0,1.4805259957143524
137.0,1.4766630328502328
138.0,1.4728764610019
139.0,1.469455029265229
140.0,1.466069963375559
141.0,1.4629140978853696
142.0,1.460008716313874
143.0,1.4574782663532468
144.0,1.4552983730744364
145.0,1.4530736794936565
146.0,1.4504182105208465
147.0,1.4486584844437176
148.0,1.4465902127309502
149.0,1.4441861508910416
150.0,1.4409390142811045
151.0,1.4370007053448473
152.0,1.432503097617009
153.0,1.4273100211857679
154.0,1.4219386413870285
155.0,1.4167178344616103
156.0,1.4114332880887408
157.0,1.4061139399321398
158.0,1.400870820911915
159.0,1.3954584194277542
160.0,1.3896228861984041
161.0,1.3831340550745614
162.0,1.376198032406795
163.0,1.3691042132304292
164.0,1.3622541073663716
165.0,1.355481249755169
166.0,1.3494073802293507
167.0,1.3411617885848073
168.0,1.3377991210347389
169.0,1.3351118667340087
170.0,1.3331381562237272
171.0,1.3326353014281818
172.0,1.3331114403241298
173.0,1.333963031543888
174.0,1.336546810781775
175.0,1.338211940352195
176.0,1.3414298318165385
177.0,1.3428169618883938
178.0,1.3456294455465754
179.0,1.3462979384757374
