"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[i] (m/s)"
-1.92,19.61925506591797
-1.98,19.60465431213379
-2.04,19.709863662719727
-2.0999999999999996,19.69513511657715
-2.16,19.703828811645508
-2.2199999999999998,19.820781707763672
-2.2800000000000002,19.79965591430664
-2.34,19.787158966064453
-2.4000000000000004,19.80210304260254
-2.46,19.860734939575195
-2.52,19.888986587524414
-2.58,19.93568229675293
-2.64,19.960437774658203
-2.7,19.975601196289062
-2.7600000000000002,19.986120223999023
-2.82,19.99853515625
-2.88,19.997220993041992
-2.94,19.99264907836914
-3.0,19.993467330932617
-3.06,20.000246047973633
-3.12,19.997251510620117
-3.18,19.99402618408203
-3.24,20.002233505249023
-3.3000000000000003,20.047170639038086
-3.3600000000000003,20.130842208862305
-3.42,20.161712646484375
-3.4799999999999995,20.148380279541016
-3.54,20.14727783203125
-3.5999999999999996,20.204561233520508
-3.66,20.335554122924805
-3.7199999999999998,20.372516632080078
-3.7800000000000002,20.378808975219727
-3.84,20.376379013061523
-3.9000000000000004,20.381839752197266
-3.96,20.387863159179688
-4.0200000000000005,20.40462303161621
-4.08,20.41136932373047
-4.14,20.413890838623047
-4.199999999999999,20.42598533630371
-4.26,20.434043884277344
-4.32,20.43511962890625
-4.38,20.440656661987305
-4.4399999999999995,20.450796127319336
-4.5,20.441232681274414
-4.5600000000000005,20.43657684326172
-4.62,20.433542251586914
-4.68,20.44524383544922
-4.74,20.45087242126465
-4.800000000000001,20.460552215576172
-4.86,20.466081619262695
-4.92,20.462228775024414
-4.9799999999999995,20.466615676879883
-5.04,20.47409439086914
-5.1,20.470272064208984
-5.16,20.4763126373291
-5.22,20.479236602783203
-5.28,20.484827041625977
-5.34,20.48751449584961
-5.4,20.484485626220703
-5.46,20.48927116394043
-5.5200000000000005,20.491539001464844
-5.58,20.495296478271484
-5.64,20.490480422973633
-5.699999999999999,20.49510955810547
-5.76,20.497730255126953
-5.82,20.492080688476562
-5.88,20.49381446838379
-5.9399999999999995,20.49397087097168
-6.0,20.492637634277344
0.0,20.22817039489746
-0.06,20.059675216674805
-0.12,19.921865463256836
-0.18,19.789899826049805
-0.24,19.656978607177734
-0.30000000000000004,19.53428077697754
-0.36,19.421234130859375
-0.42000000000000004,19.301673889160156
-0.48,19.082441329956055
-0.54,18.98371124267578
-0.6000000000000001,18.922008514404297
-0.66,18.77925682067871
-0.72,18.669904708862305
-0.78,18.4295597076416
-0.8400000000000001,17.99769401550293
-0.8999999999999999,17.55550765991211
-0.96,16.92011070251465
-1.02,16.225120544433594
-1.08,15.556726455688477
-1.1400000000000001,15.404335021972656
-1.2000000000000002,17.068017959594727
-1.26,19.60978889465332
-1.32,20.96363067626953
-1.3800000000000001,21.17566680908203
-1.44,20.67023277282715
-1.5,20.1956787109375
-1.56,20.01999282836914
-1.62,19.933198928833008
-1.6800000000000002,19.8104190826416
-1.7399999999999998,19.771644592285156
-1.7999999999999998,19.777334213256836
-1.8599999999999999,19.721101760864258
