"Iteration","Cl Monitor: Cl Monitor"
1.0,98.3246323609943
2.0,70.16351299830478
3.0,14.40757442894806
4.0,5.62676418298901
5.0,1.425891013789724
6.0,0.6029529352083189
7.0,-1.9334062204112346
8.0,-2.526377359163315
9.0,-2.611245244007914
10.0,-1.9479202831767952
11.0,-0.1804729730736445
12.0,2.1864011184053647
13.0,2.30321532113225
14.0,3.3442710352995317
15.0,3.6391328327943704
16.0,3.715518452959682
17.0,3.6552909966919485
18.0,3.263076015555886
19.0,3.1794778857934145
20.0,2.6288628776825353
21.0,2.570700090744256
22.0,2.2728035003746827
23.0,2.24686908655688
24.0,2.2150818786610658
25.0,2.2187174472430913
26.0,2.2332011875901623
27.0,2.2571541707386626
28.0,2.2894241171983927
29.0,2.361312228484491
30.0,2.394092065323855
31.0,2.4269377656751137
32.0,2.48358958867788
33.0,2.508574091251182
34.0,2.5267490912030937
35.0,2.5543092256120667
36.0,2.560131729342364
37.0,2.562518032094303
38.0,2.558429467177717
39.0,2.5483927197600593
40.0,2.5240791483374814
41.0,2.5102266624681135
42.0,2.4951803302885196
43.0,2.479999025875025
44.0,2.4644140183918597
45.0,2.443568294813372
46.0,2.430260595649628
47.0,2.4172369755066705
48.0,2.406076188958624
49.0,2.390664924194307
50.0,2.3832272831266863
51.0,2.3781347410251983
52.0,2.3770340418951057
53.0,2.380798306402583
54.0,2.3842613628598173
55.0,2.3895293800005635
56.0,2.3967921719031877
57.0,2.4048721305518685
58.0,2.4139435628425305
59.0,2.4226011042109024
60.0,2.4309929166747253
61.0,2.441756200564836
62.0,2.447524599845314
63.0,2.451545717751875
64.0,2.454080843186577
65.0,2.4570459769041935
66.0,2.4571713940427817
67.0,2.457236518245898
68.0,2.4561598431003184
69.0,2.4541167407861586
70.0,2.4518231857044066
71.0,2.4490089376406514
72.0,2.4467290596524927
73.0,2.44470932816817
74.0,2.442823762531079
75.0,2.4410706479993194
76.0,2.439613059993214
77.0,2.4385230658479413
78.0,2.4381877968272248
79.0,2.4385351449367922
80.0,2.442361903511504
81.0,2.4472470098383385
82.0,2.4547523738180534
83.0,2.4627272801048106
84.0,2.4680626043954303
85.0,2.474570999117816
86.0,2.479431645007565
87.0,2.4857740335746352
88.0,2.490907725743047
89.0,2.4983185326166955
90.0,2.504154424521799
91.0,2.5129788303491183
92.0,2.5229464154257144
93.0,2.5329895768366586
94.0,2.5459782821475256
95.0,2.558659919231551
96.0,2.570221399372935
97.0,2.5814883077180864
98.0,2.5936222938623055
99.0,2.6126234420057375
100.0,2.633560003149657
101.0,2.6504273462004053
102.0,2.688468146780497
103.0,2.703262715370932
104.0,2.744832835667593
105.0,2.76060525894458
106.0,2.801323013052353
107.0,2.827398743040547
108.0,2.8540535262727764
109.0,2.8954439893013255
110.0,2.9112102143422915
111.0,2.941690019216574
112.0,2.9597763651327993
113.0,2.992456311184207
