Results_Name,VSPAERO_Wrapper
Results_Timestamp,1745681520
Results_Date,4,26,2025
Results_Time,17,32,0
Analysis_Duration_Sec,9.318999999999999159e-03
ResultsVec,VSPAERO_History,VSPAERO_Polar,VSPAERO_Load,VSPAERO_Comp_Load,CpSlice_Wrapper
Results_Name,VSPAERO_History
Results_Timestamp,1745681519
Results_Date,4,26,2025
Results_Time,17,31,59
Alpha,0.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00
CDi,1.424182909299999931e-02
CDo,1.263301982000000073e-02
CDt,1.407993085400000011e-02
CDtot,2.687484891299999831e-02
CDtott,2.671295067499999953e-02
CFx,2.687484891299999831e-02
CFxi,1.424182909299999931e-02
CFxo,1.263301982000000073e-02
CFy,-2.529890000000000163e-07
CFyi,-4.289760000000000158e-07
CFyo,1.759869999999999995e-07
CFz,-4.532917968579999735e-01
CFzi,-4.536778634879999883e-01
CFzo,3.860666299999999896e-04
CL,-4.532917968579999735e-01
CLi,-4.536778634879999883e-01
CLo,3.860666299999999896e-04
CMx,6.215318900000000311e-05
CMxi,6.218144500000000381e-05
CMxo,-2.825599999999999838e-08
CMy,1.126969612550000055e-01
CMyi,1.124300763280000059e-01
CMyo,2.668849259999999876e-04
CMz,-1.774921799999999863e-05
CMzi,-1.786746600000000163e-05
CMzo,1.182490000000000023e-07
CS,-2.529890000000000163e-07
CSi,-4.289760000000000158e-07
CSo,1.759869999999999995e-07
E,1.132364516618999950e+00
FC_AoA_,0.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.300000000000000044e+00
FC_Cref_,3.200000000000000067e-01
FC_Mach_,1.000000000000000021e-03
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,4.000000000000000000e+06
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,4.159999999999999809e-01
FC_Vinf_,1.944999999999999929e+01
FC_Xcg_,2.954149999999999832e-01
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,3.058170000000000055e-01
L/D,-1.688113168388699847e+01
Mach,1.000000000000000021e-03
T/QS,0.000000000000000000e+00
WakeIter,1
Results_Name,VSPAERO_Polar
Results_Timestamp,1745681519
Results_Date,4,26,2025
Results_Time,17,31,59
Alpha,0.000000000000000000e+00
Beta,0.000000000000000000e+00
CDi,1.424182909299999931e-02
CDo,1.263301982000000073e-02
CDt,1.407993085400000011e-02
CDtot,2.687484891299999831e-02
CDtott,2.671295067499999953e-02
CFx,2.687484891299999831e-02
CFy,-2.529890000000000163e-07
CFz,-4.532917968579999735e-01
CL,-4.532917968579999735e-01
CMl,-6.215318900000000311e-05
CMm,1.126969612550000055e-01
CMn,1.774921799999999863e-05
CMx,6.215318900000000311e-05
CMy,1.126969612550000055e-01
CMz,-1.774921799999999863e-05
CS,-2.529890000000000163e-07
E,5.990547717090000113e-01
Fopt,0.000000000000000000e+00
L_D,-1.686676633316499974e+01
Mach,0.000000000000000000e+00
Re_1e6,4.000000000000000000e+00
Results_Name,VSPAERO_Load
Results_Timestamp,1745681519
Results_Date,4,26,2025
Results_Time,17,31,59
AnalysisMethod,0
Chord,3.201100000000000056e-01,3.203300000000000036e-01,3.205600000000000116e-01,3.207800000000000096e-01,3.210000000000000075e-01,3.201100000000000056e-01,3.203300000000000036e-01,3.205600000000000116e-01,3.207800000000000096e-01,3.210000000000000075e-01,1.300000000000000044e-01,1.300000000000000044e-01,1.300000000000000044e-01,1.300000000000000044e-01,1.300000000000000044e-01,1.300000000000000044e-01,1.300000000000000044e-01,1.300000000000000044e-01,1.300000000000000044e-01,1.300000000000000044e-01
FC_AoA_,0.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.300000000000000044e+00
FC_Cref_,3.200000000000000067e-01
FC_Mach_,1.000000000000000021e-03
