"Iteration","CpT_flap1 Monitor: CpT_flap1 Monitor"
1.0,1.707133843643172
2.0,1.4486693740576038
3.0,0.5007001299185905
4.0,-0.4027410435008482
5.0,-0.45698785103266004
6.0,-0.5485022761986798
7.0,-0.5810691046546356
8.0,-0.7244966436287841
9.0,-0.7480744280768332
10.0,-0.9848803960176081
11.0,-0.9871061909146827
12.0,-0.8627902563814648
13.0,-0.8435916225101248
14.0,-0.6160718541374625
15.0,-0.4105384051021523
16.0,-0.29031852844359285
17.0,-0.2703916767045086
18.0,-0.21684605948661428
19.0,-0.2156308944230187
20.0,-0.25999207238100536
21.0,-0.27370818082766984
22.0,-0.29117643407028726
23.0,-0.4279650637130223
24.0,-0.44636942604312024
25.0,-0.46097287066260717
26.0,-0.4704860415713347
27.0,-0.4845531873784582
28.0,-0.5009282385570104
29.0,-0.5028227691121702
30.0,-0.49984013383274356
31.0,-0.49274473923255174
32.0,-0.4729575712466956
33.0,-0.46127725235785433
34.0,-0.4361833975405176
35.0,-0.4113409273145552
36.0,-0.3703528551205431
37.0,-0.36127559525436814
38.0,-0.3531861268525106
39.0,-0.34144553357262486
40.0,-0.3375720686717911
41.0,-0.3353955792528113
42.0,-0.33597260052415523
43.0,-0.34065880230291756
44.0,-0.34867965927763506
45.0,-0.3596289479490925
46.0,-0.37087101867851224
47.0,-0.3827140233485543
48.0,-0.3891065440332688
49.0,-0.3996291463214034
50.0,-0.40456246691188524
51.0,-0.40868468543430875
52.0,-0.4117051857349209
53.0,-0.41404535760833766
54.0,-0.4155308022278555
55.0,-0.41605878276470093
56.0,-0.41600687011792103
57.0,-0.4150897232648433
58.0,-0.41338016892803964
59.0,-0.410980794811088
60.0,-0.4080909280996285
61.0,-0.40493016515744723
62.0,-0.4013614280298002
63.0,-0.3949544576392573
64.0,-0.39206120522918936
65.0,-0.3871938024597096
66.0,-0.38409148323868325
67.0,-0.3809709625488814
68.0,-0.37934693939232933
69.0,-0.3784582212539563
70.0,-0.378149906414832
71.0,-0.37857548285463505
72.0,-0.37953656349217013
73.0,-0.3811834471623243
74.0,-0.38312884347846116
75.0,-0.3863137695118328
76.0,-0.3897485048759822
77.0,-0.39294756697187055
78.0,-0.39576323785326367
79.0,-0.398290996437954
80.0,-0.4000213441392468
81.0,-0.4018373204252462
82.0,-0.4022822457121824
83.0,-0.40007925492124535
84.0,-0.3986914643329016
85.0,-0.3931037860513941
86.0,-0.3913195911366999
87.0,-0.3871702667731667
88.0,-0.38613221649760354
89.0,-0.3838775308870186
90.0,-0.3842546274684951
91.0,-0.38569908585167834
92.0,-0.3870882539821941
93.0,-0.39044041782811173
94.0,-0.3915650326626536
95.0,-0.3938700937089327
96.0,-0.39646734690193924
97.0,-0.39824531117014805
98.0,-0.40160383062789307
99.0,-0.40376581165811853
100.0,-0.4069819616489088
101.0,-0.4102753180677179
