     Alpha       T1_Re0.400_M0.00_N9.0    
            0       0.008307589  
          0.2       0.008155846  
          0.3        0.00798613  
          0.5       0.007389166  
          0.6       0.007423992  
          0.7       0.007447611  
          0.8       0.007463413  
          0.9       0.007476358  
            1       0.007495771  
          1.1       0.007531129  
          1.2       0.007556252  
          1.3       0.007575243  
          1.4        0.00759388  
          1.5       0.007624633  
          1.6       0.007658217  
          1.7       0.007684226  
          1.8       0.007706924  
          1.9       0.007734015  
            2        0.00777215  
          2.1       0.007804399  
          2.2       0.007832337  
          2.3        0.00786165  
          2.4       0.007900358  
          2.5        0.00793723  
          2.6       0.007969939  
          2.7       0.008003048  
          2.8        0.00804503  
          2.9       0.008084717  
            3       0.008121227  
          3.1       0.008159379  
          3.2       0.008205562  
          3.3       0.008246775  
          3.4       0.008286832  
          3.5       0.008332394  
          3.6       0.008380726  
          3.7       0.008422355  
          3.8       0.008462532  
          3.9       0.008492693  
            4       0.008533352  
          4.1       0.008591287  
          4.2       0.008660121  
          4.3       0.008733185  
          4.4       0.008820027  
          4.5       0.008923016  
          4.6       0.009006461  
          4.7       0.009115076  
          4.8       0.009240901  
          4.9       0.009360422  
            5       0.009500237  
          5.1       0.009660608  
          5.2       0.009843095  
          5.3        0.01005294  
          5.4        0.01029901  
          5.5        0.01057217  
          5.6        0.01090894  
          5.7        0.01130143  
          5.8        0.01177815  
          5.9        0.01232416  
            6        0.01296173  
          6.1        0.01367768  
          6.2        0.01442054  
          6.4        0.01596431  
          6.5        0.01668705  
          6.7        0.01782137  
          6.8        0.01827326  
          6.9        0.01865711  
            7        0.01904235  
          7.1        0.01940491  
          7.2        0.01980978  
          7.3        0.02012994  
          7.4        0.02052415  
          7.5        0.02103478  
          7.6        0.02135176  
          7.7        0.02170298  
          7.8        0.02208558  
          7.9        0.02261665  
            8        0.02316749  
          8.1        0.02347832  
          8.2        0.02383845  
          8.3        0.02422431  
          8.4        0.02466885  
          8.5        0.02523446  
          8.6        0.02602239  
          8.7        0.02661178  
          8.8        0.02704134  
          8.9           0.02752  
            9        0.02802273  
          9.1        0.02853992  
          9.2        0.02906536  
          9.3        0.02959853  
          9.4        0.03014613  
          9.5        0.03072529  
          9.6        0.03137164  
          9.7        0.03214564  
          9.8        0.03322006  
          9.9        0.03374389  
           10        0.03419408  

