     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.7517782  
          0.2         0.7712643  
          0.3         0.7813555  
          0.5         0.8031459  
          0.6         0.8130174  
          0.7         0.8236429  
          0.8         0.8348216  
          0.9         0.8463872  
            1         0.8580868  
          1.1         0.8679036  
          1.2         0.8785579  
          1.3          0.889705  
          1.4         0.9012323  
          1.5         0.9121638  
          1.6          0.922265  
          1.7         0.9330081  
          1.8          0.944179  
          1.9         0.9558292  
            2         0.9658167  
          2.1           0.97618  
          2.2         0.9870398  
          2.3         0.9983585  
          2.4          1.009022  
          2.5          1.019079  
          2.6          1.029685  
          2.7          1.040761  
          2.8          1.051723  
          2.9          1.061575  
            3          1.071994  
          3.1          1.082926  
          3.2          1.093723  
          3.3          1.103515  
          3.4          1.113846  
          3.5          1.124769  
          3.6          1.134943  
          3.7          1.144754  
          3.8          1.154996  
          3.9          1.163671  
            4          1.172357  
          4.1          1.180639  
          4.2          1.188692  
          4.3          1.197057  
          4.4          1.205808  
          4.5          1.214628  
          4.6          1.223526  
          4.7          1.232206  
          4.8          1.240518  
          4.9          1.248794  
            5          1.256774  
          5.1          1.264364  
          5.2          1.271528  
          5.3          1.278168  
          5.4          1.284165  
          5.5          1.289719  
          5.6          1.294136  
          5.7          1.297736  
          5.8          1.300072  
          5.9          1.301595  
            6          1.302019  
          6.1          1.301623  
          6.2          1.300437  
          6.4          1.297777  
          6.5          1.297425  
          6.7            1.3014  
          6.8          1.305106  
          6.9          1.309799  
            7          1.314455  
          7.1          1.319415  
          7.2          1.323808  
          7.3          1.329378  
          7.4          1.333867  
          7.5          1.336743  
          7.6          1.342407  
          7.7          1.347551  
          7.8          1.352226  
          7.9          1.354846  
            8          1.357297  
          8.1          1.363158  
          8.2          1.368294  
          8.3          1.373083  
          8.4          1.377102  
          8.5           1.37959  
          8.6          1.379366  
          8.7          1.381951  
          8.8          1.386588  
          8.9          1.390666  
            9          1.394542  
          9.1           1.39832  
          9.2          1.402087  
          9.3          1.405834  
          9.4          1.409482  
          9.5          1.412886  
          9.6          1.415721  
          9.7          1.417719  
          9.8           1.41881  
          9.9          1.423651  
           10          1.428801  

