"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[i] (m/s)"
-1.7999999999999998,19.96677017211914
-1.8599999999999999,19.96669578552246
-1.92,19.965803146362305
-1.98,19.965085983276367
-2.04,19.966096878051758
-2.0999999999999996,19.968406677246094
-2.16,19.968019485473633
-2.2199999999999998,19.96925926208496
-2.2800000000000002,19.969058990478516
-2.34,19.97174072265625
-2.4000000000000004,19.97275733947754
-2.46,19.98163414001465
-2.52,19.979780197143555
-2.58,19.986682891845703
-2.64,19.988698959350586
-2.7,19.995424270629883
-2.7600000000000002,20.003507614135742
-2.82,20.0064754486084
-2.88,20.009092330932617
-2.94,20.019134521484375
-3.0,20.022411346435547
-3.06,20.026161193847656
-3.12,20.02994728088379
-3.18,20.041748046875
-3.24,20.045881271362305
-3.3000000000000003,20.050395965576172
-3.3600000000000003,20.053165435791016
-3.42,20.057836532592773
-3.4799999999999995,20.06464195251465
-3.54,20.070913314819336
-3.5999999999999996,20.075420379638672
-3.66,20.076133728027344
-3.7199999999999998,20.080644607543945
-3.7800000000000002,20.08827781677246
-3.84,20.096633911132812
-3.9000000000000004,20.097118377685547
-3.96,20.1057186126709
-4.0200000000000005,20.114004135131836
-4.08,20.114524841308594
-4.14,20.123126983642578
-4.199999999999999,20.131540298461914
-4.26,20.13253402709961
-4.32,20.141273498535156
-4.38,20.14182472229004
-4.4399999999999995,20.149673461914062
-4.5,20.15713119506836
-4.5600000000000005,20.156131744384766
-4.62,20.16251564025879
-4.68,20.168485641479492
-4.74,20.16782569885254
-4.800000000000001,20.17483901977539
-4.86,20.181692123413086
-4.92,20.18122100830078
-4.9799999999999995,20.18878173828125
-5.04,20.19014549255371
-5.1,20.19957160949707
-5.16,20.200693130493164
-5.22,20.201852798461914
-5.28,20.202884674072266
-5.34,20.21210479736328
-5.4,20.214075088500977
-5.46,20.214839935302734
-5.5200000000000005,20.216005325317383
-5.58,20.216440200805664
-5.64,20.224145889282227
-5.699999999999999,20.223949432373047
-5.76,20.2236270904541
-5.82,20.222551345825195
-5.88,20.22783088684082
-5.9399999999999995,20.223052978515625
-6.0,20.219240188598633
0.0,19.851316452026367
-0.06,19.789247512817383
-0.12,19.72576141357422
-0.18,19.673830032348633
-0.24,19.640186309814453
-0.30000000000000004,19.584991455078125
-0.36,19.517131805419922
-0.42000000000000004,19.41301155090332
-0.48,19.373762130737305
-0.54,19.36421775817871
-0.6000000000000001,19.335111618041992
-0.66,19.005517959594727
-0.72,17.30683708190918
-0.78,15.683048248291016
-0.8400000000000001,15.52143383026123
-0.8999999999999999,17.05792808532715
-0.96,19.24766731262207
-1.02,20.0760440826416
-1.08,20.094327926635742
-1.1400000000000001,20.077226638793945
-1.2000000000000002,20.067907333374023
-1.26,20.05453109741211
-1.32,20.041152954101562
-1.3800000000000001,20.018321990966797
-1.44,20.006052017211914
-1.5,19.98584747314453
-1.56,19.97047233581543
-1.62,19.964553833007812
-1.6800000000000002,19.963096618652344
-1.7399999999999998,19.96161460876465
