Profilo_1,Profilo_2,Angolo_deviazione_deg,Angolo_attacco_deg
s1223.dat,naca6408.dat,-65.80130706403084,-2.96
s1223.dat,naca6508.dat,-67.71043878823119,-2.96
s1223.dat,s1210.dat,-85.92423524155183,-2.96
s1223.dat,s1223.dat,87.93840338870953,-2.96
s1223.dat,s4083.dat,-59.51452257731031,-2.96
s1223.dat,sd7037.dat,-56.242757714105146,-2.96
s4083.dat,be092_075.dat,-39.96408699510689,-2.07
s4083.dat,be122_125.dat,-52.67198478223564,-2.07
s4083.dat,be122_155.dat,-60.78731792554942,-2.07
s4083.dat,naca45008.dat,-26.98664327043543,-2.07
s4083.dat,naca5406.dat,-36.549196585268106,-2.07
s4083.dat,naca6408.dat,-40.23517958010179,-2.07
s4083.dat,naca6508.dat,-42.144311304293645,-2.07
s4083.dat,s1210.dat,-60.35810775763537,-2.07
s4083.dat,s1223.dat,-65.22344031534818,-2.07
s4083.dat,s4083.dat,-33.948395093405836,-2.07
s4083.dat,sd7037.dat,-30.676630230190145,-2.07
sd7037.dat,be092_075.dat,-31.696863940108443,-1.96
sd7037.dat,be122_125.dat,-44.40476172724154,-1.96
sd7037.dat,be122_155.dat,-52.52009487051772,-1.96
sd7037.dat,naca45008.dat,-18.71942021536232,-1.96
sd7037.dat,naca5406.dat,-28.281973530278023,-1.96
sd7037.dat,naca6408.dat,-31.967956525101638,-1.96
sd7037.dat,naca6508.dat,-33.877088249410825,-1.96
sd7037.dat,s1210.dat,-52.09088470264226,-1.96
sd7037.dat,s1223.dat,-56.95621726034594,-1.96
sd7037.dat,s4083.dat,-25.681172038402945,-1.96
sd7037.dat,sd7037.dat,-22.409407175195067,-1.96
