"Iteration","CpT_flap2 Monitor: CpT_flap2 Monitor"
1.0,5.85393300529446
2.0,4.077341240119289
3.0,1.390873322116694
4.0,-0.8047880187223421
5.0,-0.7577152967120185
6.0,-0.7010913651590768
7.0,-0.8189290394620778
8.0,-0.9338185662939311
9.0,-1.1026411627429797
10.0,-1.317542187160965
11.0,-1.3222591941082416
12.0,-1.2080033078902086
13.0,-1.1082821283054423
14.0,-0.7394641583170445
15.0,-0.6951718369712425
16.0,-0.15508721236454043
17.0,-0.12489186799212273
18.0,-0.07192597986925145
19.0,-0.008436608852328472
20.0,-0.014403094561159492
21.0,-0.04483891692990402
22.0,-0.15841924469519372
23.0,-0.3485962802757536
24.0,-0.3639217791442429
25.0,-0.37555574434660904
26.0,-0.4281990381490186
27.0,-0.44011663330705497
28.0,-0.4442497151186939
29.0,-0.4407867720332342
30.0,-0.42769300615033373
31.0,-0.4195072553102779
32.0,-0.4070841737323327
33.0,-0.37826384398840307
34.0,-0.36302401903254605
35.0,-0.33143706815478446
36.0,-0.31485044989333333
37.0,-0.2843609817639764
38.0,-0.27029584374332777
39.0,-0.24577240508101306
40.0,-0.23584270527713
41.0,-0.2248800843972883
42.0,-0.2198625950678516
43.0,-0.2175751641838975
44.0,-0.2184602514011237
45.0,-0.22144551021292208
46.0,-0.22649051503798392
47.0,-0.23223905046201102
48.0,-0.24638755789698866
49.0,-0.25434192404861194
50.0,-0.26145480568295776
51.0,-0.2730731638357296
52.0,-0.27809155887958714
53.0,-0.2819016432615831
54.0,-0.28485085986460756
55.0,-0.28557610102047437
56.0,-0.28461371187190226
57.0,-0.2821538203410355
58.0,-0.27856161177647465
59.0,-0.27377315048037987
60.0,-0.26759455653628655
61.0,-0.255493723348657
62.0,-0.24880220346168921
63.0,-0.24169260035680235
64.0,-0.23439736704997188
65.0,-0.22575534342336706
66.0,-0.21807551983858775
67.0,-0.2136440953598693
68.0,-0.210630645706
69.0,-0.20909235330523998
70.0,-0.20861206140444857
71.0,-0.20981275022909376
72.0,-0.21204446912997243
73.0,-0.21454517031710157
74.0,-0.2170485831887927
75.0,-0.21931460532975688
76.0,-0.22220329443942433
77.0,-0.2247178382697739
78.0,-0.23050132564238343
79.0,-0.23520463405314615
80.0,-0.2391067210784106
81.0,-0.2427233014158406
82.0,-0.24412610849576213
83.0,-0.24510915425689447
84.0,-0.24569254282471398
85.0,-0.2446887948985473
86.0,-0.23970375908349792
87.0,-0.23409037624003962
88.0,-0.21545091592603127
89.0,-0.208058299282657
90.0,-0.18453886286400306
91.0,-0.17692243049677323
92.0,-0.14934121869569714
93.0,-0.14651046313890057
94.0,-0.14018516335463796
95.0,-0.13864017071763368
96.0,-0.1375126473991896
97.0,-0.13845503349922872
98.0,-0.14215126136443815
99.0,-0.14932648966787967
100.0,-0.15584789495769943
101.0,-0.16217528251976518
102.0,-0.16891787370965017
103.0,-0.1744668644918171
104.0,-0.1821952274981196
105.0,-0.18949312389963135
106.0,-0.1990277097661073
107.0,-0.20345119612297996
108.0,-0.21043944657938124
109.0,-0.21322908063277263
110.0,-0.21811973413481361
111.0,-0.2210419041952887
112.0,-0.2225276817005173
113.0,-0.22288258172182354
114.0,-0.2233550881357413
115.0,-0.22390862327468286
116.0,-0.22538125438069542
117.0,-0.22619143941223438
118.0,-0.22773337241191544
119.0,-0.22851875921411016
