     Alpha       be092         Alpha       naca45008         Alpha       naca5406         Alpha       naca6408         Alpha       naca6508         Alpha       s1210         Alpha       s1223         Alpha       s4083         Alpha       sd7037    
            0       0.009141883              0        0.01136868              0       0.006089534            0.1       0.008495263              0       0.008307589              0        0.01188146              0        0.01503219            0.1       0.006933983              0       0.005997106  
          0.1       0.009144776            0.1         0.0113227            0.1       0.006111631            0.2        0.00846016            0.2       0.008155846            0.1        0.01190165            0.1        0.01509352            0.2       0.006998471            0.1        0.00601367  
          0.2       0.009158433            0.2         0.0112321            0.2         0.0061351            0.3       0.008411049            0.3        0.00798613            0.2        0.01192737            0.2        0.01517795            0.3       0.007043786            0.2       0.006035531  
          0.3       0.009171119            0.3        0.01119299            0.3       0.006162959            0.4       0.008303567            0.5       0.007389166            0.3        0.01195759            0.3        0.01528454            0.4       0.007104533            0.3       0.006060113  
          0.4       0.009181319            0.4        0.01111368            0.4       0.006188198            0.5       0.007354115            0.6       0.007423992            0.4         0.0119926            0.5        0.01507698            0.5       0.007181381            0.4       0.006088505  
          0.5       0.009201585            0.5        0.01107552            0.5       0.006222029            0.6       0.007146857            0.7       0.007447611            0.5        0.01203481            0.6        0.01514935            0.6       0.007269565            0.5       0.006121495  
          0.6       0.009212958            0.6        0.01102315            0.6       0.006249244            0.7       0.007190168            0.8       0.007463413            0.6        0.01208449            0.7        0.01523386            0.7       0.007340763            0.6       0.006156066  
          0.7       0.009227233            0.7         0.0110155            0.7       0.006285026            0.8       0.007250107            0.9       0.007476358            0.7        0.01214109            0.8        0.01526696            0.8       0.007376086            0.7       0.006196835  
          0.8       0.009252282            0.8         0.0109886            0.8       0.006318627            0.9       0.007295376              1       0.007495771            0.8        0.01220505            0.9        0.01532435            0.9       0.007423837            0.8       0.006237187  
          0.9       0.009260534            0.9        0.01095125            0.9       0.006356161              1       0.007348593            1.1       0.007531129            0.9        0.01224915              1        0.01540619              1       0.007483931            0.9       0.006284318  
            1       0.009295349              1        0.01089946              1       0.006396771            1.1       0.007416338            1.2       0.007556252              1         0.0122779            1.1        0.01549893            1.1       0.007555724              1       0.006330123  
          1.1       0.009301743            1.1        0.01086399            1.1       0.006435685            1.2       0.007460245            1.3       0.007575243            1.1        0.01233585            1.2        0.01559207            1.2       0.007638807            1.1       0.006381815  
          1.2       0.009331178            1.2        0.01084318            1.2       0.006483972            1.3       0.007522773            1.4        0.00759388            1.2        0.01241543            1.3        0.01562711            1.3       0.007741174            1.2       0.006432893  
          1.3       0.009350678            1.3        0.01083673            1.3       0.006523708            1.4       0.007588075            1.5       0.007624633            1.3        0.01251543            1.4        0.01567304            1.4       0.007775976            1.3       0.006488027  
          1.4       0.009373994            1.4        0.01081235            1.4       0.006580411            1.5       0.007640471            1.6       0.007658217            1.4        0.01263966            1.5        0.01573322            1.5       0.007811882            1.4       0.006544207  
          1.5       0.009405918            1.5        0.01071435            1.5       0.006620519            1.6       0.007712095            1.7       0.007684226            1.5        0.01272746            1.6            0.0158            1.6        0.00785948            1.5       0.006601716  
          1.6       0.009423126            1.6       0.009369825            1.6       0.006680884            1.7       0.007775023            1.8       0.007706924            1.6        0.01275054            1.7        0.01587322            1.7       0.007918309            1.6       0.006663978  
