     Alpha       be092         Alpha       naca45008         Alpha       naca5406         Alpha       naca6408         Alpha       naca6508         Alpha       s1210         Alpha       s1223         Alpha       s4083         Alpha       sd7037    
          1.2         0.9078697            1.2         0.4732841            1.2         0.7031425            1.3         0.8216024            1.4         0.9012323            1.2          1.205597            1.3          1.328997            1.3          0.561422            1.2         0.5072179  
          1.3         0.9187562            1.3         0.4838051            1.3          0.713639            1.4         0.8320104            1.5         0.9121638            1.3          1.217402            1.4          1.341117            1.4         0.5721634            1.3          0.517626  
          1.4         0.9296262            1.4         0.4943393            1.4         0.7241723            1.5         0.8424004            1.6          0.922265            1.4          1.229486            1.5          1.352758            1.5         0.5828597            1.4         0.5280237  
          1.5          0.940482            1.5         0.5049589            1.5         0.7346461            1.6         0.8527268            1.7         0.9330081            1.5          1.241387            1.6          1.364128            1.6         0.5934431            1.5         0.5384535  
          1.6         0.9513206            1.6         0.5065653            1.6         0.7451098            1.7         0.8631191            1.8          0.944179            1.6          1.252595            1.7          1.375282            1.7         0.6038994            1.6         0.5488245  
          1.7         0.9621256            1.7         0.5557079            1.7         0.7555769            1.8         0.8734877            1.9         0.9558292            1.7          1.263675            1.8          1.386214            1.8          0.614219            1.7          0.559271  
          1.8         0.9729396            1.8         0.5658239            1.8         0.7659951            1.9         0.8837854              2         0.9658167            1.8          1.274679            1.9          1.397089            1.9         0.6244154            1.8         0.5696356  
          1.9         0.9837006            1.9         0.5758696            1.9          0.776453              2         0.8941872            2.1           0.97618            1.9          1.285621              2          1.407611              2         0.6345372            1.9         0.5801087  
            2         0.9944743              2         0.5859967              2         0.7868363            2.1         0.9045562            2.2         0.9870398              2          1.296485            2.1          1.419387            2.1         0.6450136              2         0.5904264  
          2.1          1.005201            2.1         0.5963232            2.1         0.7972576            2.2         0.9148362            2.3         0.9983585            2.1          1.308283            2.2          1.430805            2.2         0.6558072            2.1         0.6009195  
          2.2          1.015919            2.2         0.6066041            2.2         0.8076189            2.3         0.9252098            2.4          1.009022            2.2          1.319787            2.3          1.441937            2.3         0.6665152            2.2         0.6112144  
          2.3          1.026604            2.3         0.6168493            2.3         0.8180027            2.4         0.9355978            2.5          1.019079            2.3          1.331052            2.4          1.453007            2.4          0.677142            2.3         0.6217341  
          2.4           1.03727            2.4         0.6270464            2.4         0.8283806            2.5         0.9458881            2.6          1.029685            2.4           1.34216            2.5          1.464093            2.5         0.6876974            2.4         0.6319692  
          2.5          1.047903            2.5         0.6371827            2.5         0.8387014            2.6         0.9561808            2.7          1.040761            2.5          1.353138            2.6          1.476521            2.6         0.6981682            2.5         0.6424963  
          2.6          1.058523            2.6         0.6472564            2.6         0.8491031            2.7         0.9666458            2.8          1.051723            2.6           1.36396            2.7          1.489337            2.7         0.7085412            2.6         0.6527696  
          2.7          1.069088            2.7         0.6573102            2.7         0.8593641            2.8         0.9769945            2.9          1.061575            2.8          1.386406            2.8          1.502417            2.8          0.718799            2.7         0.6632483  
          2.8          1.079655            2.8         0.6676694            2.8         0.8698065            2.9         0.9872589              3          1.071994            2.9          1.397794            2.9          1.516454            2.9         0.7289498            2.8         0.6735403  
          2.9          1.090147            2.9         0.6779891            2.9         0.8801033              3         0.9976376            3.1          1.082926              3          1.409045              3          1.530092              3         0.7392756            2.9         0.6839359  
            3           1.10066              3         0.6882785              3         0.8904635            3.1           1.00808            3.2          1.093723            3.1          1.420332            3.1          1.540998            3.1         0.7500481              3          0.694264  
          3.1          1.111052            3.1         0.6985399            3.1         0.9008338            3.2          1.018426            3.3          1.103515            3.2          1.431996            3.2          1.551985            3.2         0.7607966            3.1         0.7045841  
          3.2          1.121533            3.2         0.7087588            3.3         0.9215413            3.3          1.028704            3.4          1.113846            3.3          1.443994            3.3          1.563341            3.3         0.7714642            3.2         0.7149403  
          3.3          1.131858            3.3         0.7189272            3.4         0.9318552            3.4          1.039071            3.5          1.124769            3.4          1.454895            3.4          1.574146            3.4         0.7820488            3.3         0.7251648  
          3.4          1.142226            3.4         0.7290328            3.5         0.9421561            3.5          1.049538            3.6          1.134943            3.5          1.465558            3.5           1.58572            3.5         0.7925647            3.4         0.7355573  
          3.5          1.152554            3.5         0.7392719            3.6         0.9526125            3.6          1.059904            3.7          1.144754            3.6           1.47629            3.6          1.596729            3.6         0.8029842            3.5          0.745688  
          3.7          1.173051            3.6         0.7496701            3.7         0.9628334            3.7          1.070206            3.8          1.154996            3.7          1.487429            3.7          1.608319            3.7         0.8132871            3.6         0.7561126  
          3.8           1.18325            3.7         0.7600357            3.8         0.9728846            3.8            1.0805            3.9          1.163671            3.8          1.498348            3.8          1.619553            3.8         0.8234607            3.7           0.76619  
            4          1.203514            3.8         0.7703734              4         0.9919427            3.9          1.090948              4          1.172357            3.9          1.509098            3.9           1.63084            3.9         0.8335114            3.8          0.776575  
          4.1          1.213618            3.9         0.7806833            4.1          1.001391              4          1.101366            4.1          1.180639              4          1.520182              4          1.642041              4         0.8437309            3.9         0.7867076  
          4.2          1.223584              4         0.7909489            4.2          1.010837            4.1          1.111704            4.2          1.188692            4.1          1.530943            4.1          1.652765            4.1         0.8544513              4         0.7969645  
          4.3           1.23359            4.1         0.8011628            4.3           1.02012            4.2          1.121997            4.3          1.197057            4.2          1.541417            4.2          1.662113            4.2         0.8651259            4.1         0.8071457  
          4.4          1.243536            4.2           0.81131            4.4          1.029342            4.3          1.132292            4.4          1.205808            4.3          1.552144            4.3          1.663378            4.3         0.8757295            4.2         0.8172345  
          4.6          1.262884            4.3         0.8216481            4.5           1.03856            4.4          1.142692            4.5          1.214628            4.4          1.562483            4.4          1.670416            4.4          0.886221            4.3         0.8274773  
          4.7          1.271809            4.4         0.8320837            4.6          1.047665            4.5           1.15307            4.6          1.223526            4.5          1.572789            4.5          1.680748            4.5         0.8966163            4.5         0.8477182  
          4.8          1.278811            4.5         0.8424865            4.7          1.056715            4.6          1.163383            4.7          1.232206            4.6          1.583258            4.6          1.691034            4.6         0.9068245            4.6         0.8576413  
          4.9          1.288204            4.6         0.8528592            4.8           1.06572            4.7          1.173639            4.8          1.240518            4.7          1.594089            4.7          1.701196            4.7         0.9166621            4.7         0.8678103  
            5          1.297457            4.7         0.8632026            4.9          1.074588            4.8          1.183892            4.9          1.248794            4.8          1.605355            4.8          1.711195            4.8         0.9260909            4.8         0.8778092  
                                           4.8         0.8734996              5          1.082596            4.9           1.19422              5          1.256774            4.9          1.615723            4.9          1.721047            4.9         0.9368829            4.9         0.8877854  
                                           4.9         0.8837357                                               5          1.204325                                               5          1.625553              5          1.730769              5         0.9471261              5         0.8978696  
                                             5         0.8938949                                                                                                                                                                                                                                         

