     Alpha       be092         Alpha       naca45008         Alpha       naca5406         Alpha       naca6408         Alpha       naca6508         Alpha       s1210         Alpha       s1223         Alpha       s4083         Alpha       sd7037    
            0         0.7330515              0          0.461954              0         0.8216303            0.1         0.7379193              0          0.832949              0         0.5455615              0         0.4278274            0.1         0.5842862              0         0.7985312  
          0.1         0.7286977            0.1          0.458737            0.1         0.8164699            0.2         0.7327742            0.2         0.8271274            0.1         0.5439165            0.1          0.424972            0.2         0.5764346            0.1         0.7913484  
          0.2         0.7250224            0.2         0.4558294            0.2          0.811214            0.3         0.7280376            0.3         0.8248144            0.2         0.5420591            0.2         0.4218243            0.3         0.5695312            0.2         0.7842731  
          0.3         0.7212447            0.3         0.4528217            0.3         0.8063491            0.4         0.7225165            0.5         0.8211793            0.3         0.5400405            0.3         0.4184657            0.4         0.5620874            0.3         0.7770613  
          0.4         0.7170674            0.4         0.4498009            0.4         0.8005689            0.5         0.7178673            0.6         0.8180541            0.4         0.5378793            0.5         0.4159342            0.5         0.5545484            0.4         0.7695267  
          0.5         0.7136429            0.5         0.4468702            0.5         0.7956826            0.6         0.7128048            0.7          0.815208            0.5         0.5355656            0.6         0.4151222            0.6         0.5467254            0.5         0.7621891  
          0.6         0.7092535            0.6         0.4441162            0.6         0.7896962            0.7         0.7071108            0.8         0.8127294            0.6         0.5331595            0.7         0.4142322            0.7         0.5399899            0.6         0.7542334  
          0.7         0.7053368            0.7         0.4414925            0.7         0.7842724            0.8         0.7020087            0.9         0.8105653            0.7         0.5307315            0.8         0.4132226            0.8         0.5351351            0.7         0.7467065  
          0.8         0.7014945            0.8         0.4389131            0.8         0.7784397            0.9         0.6964409              1         0.8085494            0.8         0.5283201            0.9         0.4121513            0.9         0.5295752            0.8         0.7385334  
          0.9         0.6971202            0.9         0.4361638            0.9         0.7725026              1         0.6908508            1.1          0.805232            0.9         0.5259372              1         0.4110524              1         0.5236954            0.9         0.7307772  
            1         0.6935358              1          0.433381              1         0.7667195            1.1         0.6859074            1.2         0.8023162              1         0.5235902            1.1         0.4099218            1.1         0.5177217              1         0.7224584  
          1.1         0.6889419            1.1         0.4306947            1.1         0.7603901            1.2         0.6801416            1.3         0.7997468            1.1          0.521214            1.2         0.4087619            1.2         0.5114674            1.1         0.7146159  
          1.2         0.6849194            1.2         0.4281938            1.2         0.7546291            1.3         0.6747798            1.4         0.7975145            1.2         0.5186643            1.3         0.4075348            1.3         0.5043105            1.2         0.7062001  
          1.3         0.6807212            1.3         0.4258601            1.3         0.7480143            1.4         0.6696944            1.5         0.7948899            1.3          0.515907            1.4         0.4063006            1.4         0.5005136            1.3         0.6981703  
          1.4         0.6762897            1.4         0.4236154            1.4         0.7421921            1.5         0.6640021            1.6         0.7915952            1.4         0.5129146            1.5         0.4050537            1.5         0.4963737            1.4         0.6898059  
          1.5         0.6723744            1.5         0.4213291            1.5         0.7353073            1.6         0.6588243            1.7         0.7886266            1.5         0.5108515            1.6         0.4037584            1.6         0.4916012            1.5         0.6816989  
          1.6         0.6675847            1.6         0.4196142            1.6         0.7291622            1.7         0.6536743            1.8          0.786027            1.6         0.5098893            1.7         0.4024021            1.7         0.4864299            1.6         0.6731867  
          1.7         0.6635893            1.7         0.4147465            1.7         0.7222589            1.8          0.648229            1.9         0.7837886            1.7         0.5086553            1.8         0.4010094            1.8         0.4810446            1.7         0.6648749  
          1.8          0.658735            1.8         0.4124915            1.8         0.7158751            1.9          0.643343              2         0.7804196            1.8         0.5071471            1.9          0.399586            1.9         0.4754038            1.8         0.6565678  
          1.9          0.654391            1.9         0.4103044            1.9         0.7091343              2         0.6384099            2.1         0.7770859            1.9         0.5054113              2         0.3981432              2         0.4691739            1.9         0.6482085  
            2         0.6496669              2         0.4081387              2         0.7025025            2.1         0.6332479            2.2         0.7741357              2         0.5034871            2.1         0.3966332            2.1         0.4643669              2         0.6398174  
          2.1         0.6450068            2.1         0.4059462            2.1         0.6958333            2.2         0.6285518            2.3          0.771579            2.1         0.5014069            2.2         0.3951008            2.2         0.4614479            2.1         0.6312585  
          2.2         0.6403068            2.2         0.4037048            2.2         0.6889902            2.3         0.6239579            2.4         0.7685162            2.2         0.4992927            2.3         0.3935462            2.3         0.4579615            2.2         0.6230902  
          2.3         0.6353723            2.3         0.4015415            2.3         0.6825271            2.4         0.6190277            2.5         0.7649097            2.3         0.4971236            2.4         0.3919778            2.4          0.454274            2.3         0.6144655  
          2.4         0.6305747            2.4         0.3994351            2.4         0.6756841            2.5          0.614482            2.6         0.7616424            2.4         0.4949215            2.5         0.3904033            2.5         0.4503992            2.4         0.6062352  
          2.5         0.6254171            2.5         0.3973908            2.5         0.6694818            2.6         0.6104506            2.7          0.758771            2.5         0.4927318            2.6         0.3886975            2.6         0.4464658            2.5         0.5973476  
          2.6         0.6204149            2.6         0.3953842            2.6         0.6625403            2.7         0.6058647            2.8         0.7558245            2.6         0.4906005            2.7         0.3868924            2.7         0.4423723            2.6         0.5891786  
          2.7         0.6150659            2.7         0.3933203            2.7         0.6564428            2.8         0.6014919            2.9         0.7519367            2.8         0.4867044            2.8         0.3850094            2.8         0.4378842            2.7         0.5803442  
          2.8         0.6097774            2.8         0.3913159            2.8         0.6498403            2.9         0.5975776              3         0.7483653            2.9          0.484742            2.9         0.3830341            2.9         0.4326533            2.8         0.5720412  
          2.9         0.6042926            2.9         0.3891555            2.9         0.6436103              3         0.5937409            3.1          0.745238              3         0.4825664              3         0.3818222              3         0.4275641            2.9         0.5630709  
            3         0.5986011              3         0.3870009              3         0.6375952            3.1         0.5895582            3.2         0.7419901            3.1         0.4800048            3.1         0.3814597            3.1         0.4253616              3         0.5547002  
          3.1         0.5930822            3.1         0.3849495            3.1         0.6313136            3.2         0.5856553            3.3         0.7378233            3.2         0.4768717            3.2         0.3810536            3.2         0.4227745            3.1         0.5458614  
          3.2         0.5869022            3.2         0.3830318            3.3         0.6198144            3.3         0.5821486            3.4          0.734008            3.3         0.4745157            3.3         0.3805987            3.3          0.419686            3.2         0.5373229  
          3.3         0.5811176            3.3         0.3811776            3.4         0.6140829            3.4         0.5787606            3.5         0.7306474            3.4         0.4734552            3.4          0.380104            3.4         0.4163594            3.3         0.5285661  
          3.4         0.5747077            3.4         0.3792866            3.5         0.6089233            3.5         0.5749637            3.6         0.7266494            3.5         0.4721063            3.5         0.3795521            3.5         0.4129509            3.4         0.5198647  
          3.5         0.5683803            3.5         0.3773993            3.6         0.6032397            3.6         0.5713102            3.7         0.7220238            3.6         0.4704809            3.6         0.3789627            3.6         0.4092942            3.5         0.5113123  
          3.7         0.5551839            3.6         0.3754265            3.7          0.597611            3.7         0.5679982            3.8         0.7165555            3.7         0.4686714            3.7         0.3783218            3.7         0.4053662            3.6         0.5023972  
          3.8         0.5485177            3.7         0.3733332            3.8         0.5897819            3.8         0.5649966            3.9         0.7079011            3.8          0.466812            3.8          0.377645            3.8         0.4010124            3.7         0.4938319  
            4         0.5344101            3.8         0.3712461              4         0.5674123            3.9         0.5617241              4         0.6973334            3.9         0.4649248            3.9         0.3769302            3.9         0.3958934            3.8         0.4847122  
          4.1         0.5272866            3.9         0.3692536            4.1         0.5549465              4         0.5583129            4.1            0.6852              4         0.4627534              4         0.3761835              4         0.3908631            3.9         0.4761382  
          4.2         0.5201585              4         0.3673828            4.2         0.5433143            4.1         0.5550591            4.2         0.6725744            4.1          0.460324            4.1         0.3754182            4.1         0.3887779              4          0.467067  
          4.3         0.5125119            4.1         0.3655971            4.3         0.5311457            4.2         0.5520711            4.3          0.661002            4.2         0.4576963            4.2         0.3746573            4.2         0.3861343            4.1         0.4583848  
          4.4         0.5042908            4.2         0.3637451            4.4         0.5172246            4.3          0.549266            4.4         0.6509453            4.3         0.4549131            4.3         0.3740435            4.3          0.382969            4.2         0.4492231  
          4.6         0.4863393            4.3          0.361939            4.5         0.5023532            4.4         0.5462646            4.5         0.6417603            4.4         0.4519823            4.4         0.3732914            4.4         0.3793572            4.3         0.4403263  
          4.7         0.4766274            4.4         0.3599899            4.6         0.4868018            4.5         0.5431101            4.6         0.6319519            4.5         0.4489008            4.5         0.3724678            4.5         0.3756144            4.5         0.4223964  
          4.8         0.4668692            4.5         0.3579371            4.7         0.4707225            4.6         0.5400406            4.7         0.6221647            4.6         0.4456959            4.6         0.3716353            4.6         0.3710538            4.6          0.413612  
