     Alpha       be092         Alpha       naca45008         Alpha       naca5406         Alpha       naca6408         Alpha       naca6508         Alpha       s1210         Alpha       s1223         Alpha       s4083         Alpha       sd7037    
            0         0.2417418              0        0.05217076              0                 1            0.1         0.2840531              0         0.5118367              0         0.3318498              0        0.03904636            0.1                 1              0                 1  
          0.1         0.2463233            0.1        0.05449314            0.1                 1            0.2         0.3078939            0.2         0.5920642            0.1         0.3335065            0.1        0.03970762            0.2                 1            0.1                 1  
          0.2         0.2510368            0.2        0.05689871            0.2                 1            0.3         0.3382512            0.3         0.6610364            0.2         0.3351685            0.2        0.04083179            0.3                 1            0.2                 1  
          0.3         0.2554936            0.3        0.06016802            0.3                 1            0.4         0.3852097            0.5                 1            0.3         0.3368017            0.3        0.04289936            0.4                 1            0.3                 1  
          0.4         0.2602387            0.4        0.06351097            0.4                 1            0.5         0.8031718            0.6                 1            0.4         0.3383961            0.5         0.2599366            0.5                 1            0.4                 1  
          0.5         0.2646113            0.5        0.06703576            0.5                 1            0.6                 1            0.7                 1            0.5          0.339908            0.6         0.2709449            0.6                 1            0.5                 1  
          0.6         0.2696324            0.6        0.07069151            0.6                 1            0.7                 1            0.8                 1            0.6         0.3412999            0.7         0.2762232            0.7                 1            0.6                 1  
          0.7         0.2740973            0.7        0.07504675            0.7                 1            0.8                 1            0.9                 1            0.7         0.3425383            0.8         0.2873393            0.8                 1            0.7                 1  
          0.8         0.2792048            0.8        0.07997795            0.8                 1            0.9                 1              1                 1            0.8         0.3436004            0.9         0.2967396            0.9                 1            0.8                 1  
          0.9         0.2836104            0.9        0.08568931            0.9                 1              1                 1            1.1                 1            0.9         0.3461008              1         0.3063272              1                 1            0.9                 1  
            1         0.2887717              1        0.09182804              1                 1            1.1                 1            1.2                 1              1         0.3510449            1.1         0.3132986            1.1                 1              1                 1  
          1.1         0.2932988            1.1         0.0990858            1.1                 1            1.2                 1            1.3                 1            1.1         0.3554266            1.2         0.3169365            1.2                 1            1.1                 1  
          1.2         0.2985604            1.2         0.1079698            1.2                 1            1.3                 1            1.4                 1            1.2         0.3593393            1.3         0.3239522            1.3                 1            1.2                 1  
          1.3         0.3032612            1.3         0.1190092            1.3                 1            1.4                 1            1.5                 1            1.3         0.3630094            1.4         0.3308304            1.4                 1            1.3                 1  
          1.4         0.3084568            1.4         0.1340667            1.4                 1            1.5                 1            1.6                 1            1.4         0.3665969            1.5         0.3361909            1.5                 1            1.4                 1  
          1.5         0.3133457            1.5         0.1631736            1.5                 1            1.6                 1            1.7                 1            1.5         0.3703036            1.6         0.3412777            1.6                 1            1.5                 1  
          1.6         0.3185508            1.6         0.6908658            1.6                 1            1.7                 1            1.8                 1            1.6         0.3738971            1.7         0.3464417            1.7                 1            1.6                 1  
          1.7         0.3237482            1.7                 1            1.7                 1            1.8                 1            1.9                 1            1.7         0.3773691            1.8         0.3514548            1.8                 1            1.7                 1  
          1.8         0.3288924            1.8                 1            1.8                 1            1.9                 1              2                 1            1.8          0.380629            1.9          0.356499            1.9                 1            1.8                 1  
          1.9         0.3344115            1.9                 1            1.9                 1              2                 1            2.1                 1            1.9          0.383477              2         0.3599506              2                 1            1.9                 1  
            2         0.3395118              2                 1              2                 1            2.1                 1            2.2                 1              2         0.3857331            2.1         0.3702385            2.1                 1              2                 1  
          2.1         0.3454991            2.1                 1            2.1                 1            2.2                 1            2.3                 1            2.1         0.3941667            2.2         0.3796332            2.2                 1            2.1                 1  
          2.2         0.3505368            2.2                 1            2.2                 1            2.3                 1            2.4                 1            2.2         0.4013308            2.3         0.3883431            2.3                 1            2.2                 1  
          2.3         0.3564393            2.3                 1            2.3                 1            2.4                 1            2.5                 1            2.3         0.4076598            2.4         0.3967654            2.4                 1            2.3                 1  
          2.4         0.3620576            2.4                 1            2.4                 1            2.5                 1            2.6                 1            2.4         0.4139049            2.5         0.4037251            2.5                 1            2.4                 1  
          2.5         0.3678142            2.5                 1            2.5                 1            2.6                 1            2.7                 1            2.5         0.4199787            2.6         0.4171374            2.6                 1            2.5                 1  
          2.6         0.3742203            2.6                 1            2.6                 1            2.7                 1            2.8                 1            2.6          0.425275            2.7          0.430675            2.7                 1            2.6                 1  
          2.7         0.3798257            2.7                 1            2.7                 1            2.8                 1            2.9                 1            2.8         0.4411244            2.8         0.4434961            2.8                 1            2.7                 1  
          2.8         0.3861881            2.8                 1            2.8                 1            2.9                 1              3                 1            2.9         0.4505902            2.9         0.4566893            2.9                 1            2.8                 1  
          2.9         0.3928237            2.9                 1            2.9                 1              3                 1            3.1                 1              3         0.4597671              3          0.474917              3                 1            2.9                 1  
            3         0.3990314              3                 1              3                 1            3.1                 1            3.2                 1            3.1         0.4682927            3.1         0.4905591            3.1                 1              3                 1  
          3.1         0.4058252            3.1                 1            3.1                 1            3.2                 1            3.3                 1            3.2         0.4766207            3.2         0.5066712            3.2                 1            3.1                 1  
          3.2         0.4131788            3.2                 1            3.3                 1            3.3                 1            3.4                 1            3.3         0.4903177            3.3         0.5269814            3.3                 1            3.2                 1  
          3.3         0.4200317            3.3                 1            3.4                 1            3.4                 1            3.5                 1            3.4         0.5022749            3.4         0.5455572            3.4                 1            3.3                 1  
          3.4         0.4273925            3.4                 1            3.5                 1            3.5                 1            3.6                 1            3.5         0.5132308            3.5         0.5701713            3.5                 1            3.4                 1  
          3.5         0.4352004            3.5                 1            3.6                 1            3.6                 1            3.7                 1            3.6         0.5243161            3.6         0.5935168            3.6                 1            3.5                 1  
          3.7         0.4522469            3.6                 1            3.7                 1            3.7                 1            3.8                 1            3.7         0.5388823            3.7          0.622152            3.7                 1            3.6                 1  
          3.8         0.4612977            3.7                 1            3.8                 1            3.8                 1            3.9                 1            3.8         0.5525482            3.8         0.6504632            3.8                 1            3.7                 1  
            4         0.4814183            3.8                 1              4                 1            3.9                 1              4                 1            3.9         0.5643443            3.9         0.6835843            3.9                 1            3.8                 1  
          4.1         0.4927469            3.9                 1            4.1                 1              4                 1            4.1                 1              4         0.5804207              4         0.7201639              4                 1            3.9                 1  
          4.2         0.5054716              4                 1            4.2                 1            4.1                 1            4.2                 1            4.1         0.5964916            4.1         0.7625051            4.1                 1              4                 1  
          4.3         0.5203109            4.1                 1            4.3                 1            4.2                 1            4.3                 1            4.2         0.6108399            4.2         0.8161131            4.2                 1            4.1                 1  
          4.4         0.5376029            4.2                 1            4.4                 1            4.3                 1            4.4                 1            4.3         0.6292627            4.3         0.9160877            4.3                 1            4.2                 1  
          4.6         0.5936848            4.3                 1            4.5                 1            4.4                 1            4.5                 1            4.4         0.6477477            4.4                 1            4.4                 1            4.3                 1  
          4.7         0.7035472            4.4                 1            4.6                 1            4.5                 1            4.6                 1            4.5         0.6660505            4.5                 1            4.5                 1            4.5                 1  
          4.8                 1            4.5                 1            4.7                 1            4.6                 1            4.7                 1            4.6           0.68781            4.6                 1            4.6                 1            4.6                 1  
          4.9                 1            4.6                 1            4.8                 1            4.7                 1            4.8                 1            4.7         0.7093727            4.7                 1            4.7                 1            4.7                 1  
            5                 1            4.7                 1            4.9                 1            4.8                 1            4.9                 1            4.8         0.7353387            4.8                 1            4.8                 1            4.8                 1  
                                           4.8                 1              5                 1            4.9                 1              5                 1            4.9         0.7625836            4.9                 1            4.9                 1            4.9                 1  
                                           4.9                 1                                               5                 1                                               5         0.7939576              5                 1              5                 1              5                 1  
                                             5                 1                                                                                                                                                                                                                                         

