     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.7940221  
          0.1          0.786417  
          0.2         0.7794223  
          0.3         0.7726178  
          0.4         0.7649064  
          0.5         0.7570691  
          0.6         0.7493225  
          0.7         0.7407959  
          0.8         0.7342395  
          0.9         0.7267996  
            1         0.7181203  
          1.1         0.7088834  
          1.2         0.6992843  
          1.3         0.6910351  
          1.4         0.6850355  
          1.5         0.6778231  
          1.6         0.6695078  
          1.7           0.66034  
          1.8         0.6500074  
          1.9         0.6420351  
            2         0.6347218  
          2.1         0.6260945  
          2.2         0.6170984  
          2.3         0.6080651  
          2.4         0.5981005  
          2.5         0.5923932  
          2.6         0.5856868  
          2.7         0.5772534  
          2.8         0.5675699  
          2.9         0.5567278  
            3         0.5459291  
          3.1         0.5397967  
          3.2         0.5332806  
          3.3         0.5253026  
          3.4         0.5166295  
          3.5         0.5070463  
          3.6          0.496714  
          3.7         0.4915954  
          3.8         0.4841868  
          3.9         0.4749107  
            4         0.4641603  
          4.1          0.450276  
          4.2         0.4416513  
          4.3         0.4308102  
          4.4         0.4170918  
          4.5         0.3999371  
          4.6          0.389656  
          4.7          0.374812  
          4.8         0.3557755  
          4.9          0.342315  
            5         0.3252917  
          5.1         0.3048747  
          5.2         0.2932283  
          5.3         0.2784662  
          5.4         0.2644808  
          5.5         0.2579825  
          5.6         0.2519895  
          5.7         0.2445347  
          5.8          0.236025  
          5.9         0.2264253  
            6         0.2180957  
          6.1         0.2113499  
          6.2         0.2016409  
          6.3         0.1898082  
          6.4         0.1795723  
          6.5         0.1729305  
          6.6         0.1647697  
          6.7         0.1552593  
          6.8         0.1455412  
          6.9         0.1741121  
            7           0.17268  
          7.1         0.1693792  
          7.2         0.1641648  
          7.3         0.1573717  
          7.4         0.1491443  
          7.5         0.1443199  
          7.6         0.1403244  
          7.7          0.134802  
          7.8         0.1282151  
          7.9         0.1204963  
            8         0.1134449  
          8.1         0.1099064  
          8.2         0.1046283  
          8.3        0.09814488  
          8.4        0.09048367  
          8.5        0.08447779  
          8.6        0.07885784  
          8.7        0.06992751  
          8.8         0.0549657  
          8.9        0.01169151  
            9        0.01129775  
          9.1        0.01103846  
          9.2        0.01085908  
          9.3        0.01073201  
          9.4         0.0106425  
          9.5        0.01058114  
          9.6         0.0105415  
          9.7        0.01051884  
          9.8        0.01050976  
          9.9        0.01051116  
           10        0.01052087  

