     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.3816107  
          0.1         0.3918354  
          0.2         0.4021658  
          0.3          0.412519  
          0.4         0.4228988  
          0.5         0.4333037  
          0.6         0.4437027  
          0.7          0.454032  
          0.8         0.4646368  
          0.9          0.475218  
            1         0.4856939  
          1.1         0.4960495  
          1.2         0.5062461  
          1.3         0.5167246  
          1.4         0.5275154  
          1.5         0.5382076  
          1.6         0.5487443  
          1.7         0.5590727  
          1.8         0.5691558  
          1.9         0.5797363  
            2         0.5904714  
          2.1         0.6010402  
          2.2         0.6114429  
          2.3         0.6216653  
          2.4         0.6317986  
          2.5         0.6426374  
          2.6         0.6534185  
          2.7         0.6639828  
          2.8         0.6742678  
          2.9         0.6842002  
            3         0.6942912  
          3.1         0.7051201  
          3.2         0.7158707  
          3.3         0.7263754  
          3.4         0.7366438  
          3.5           0.74663  
          3.6         0.7566695  
          3.7         0.7675276  
          3.8         0.7781481  
          3.9         0.7884579  
            4         0.7983636  
          4.1         0.8077962  
          4.2         0.8182912  
          4.3         0.8285608  
          4.4         0.8381884  
          4.5         0.8472311  
          4.6          0.857581  
          4.7         0.8672595  
          4.8         0.8760432  
          4.9         0.8859749  
            5         0.8952963  
          5.1         0.9039689  
          5.2         0.9139805  
          5.3         0.9232706  
          5.4         0.9324766  
          5.5         0.9427059  
          5.6         0.9529342  
          5.7          0.962915  
          5.8         0.9725624  
          5.9         0.9819916  
            6         0.9918611  
          6.1          1.001882  
          6.2          1.011379  
          6.3          1.020244  
          6.4          1.029703  
          6.5          1.039543  
          6.6          1.049027  
          6.7          1.057959  
          6.8          1.067118  
          6.9          1.080797  
            7           1.09084  
          7.1          1.100635  
          7.2          1.110044  
          7.3          1.118985  
          7.4          1.127897  
          7.5          1.137477  
          7.6          1.147158  
          7.7          1.156458  
          7.8          1.165227  
          7.9          1.173599  
            8          1.182441  
          8.1          1.191908  
          8.2          1.200945  
          8.3          1.209395  
          8.4          1.217342  
          8.5          1.226016  
          8.6          1.234694  
          8.7          1.242177  
          8.8          1.248678  
          8.9          1.241189  
            9          1.248184  
          9.1          1.254821  
          9.2          1.261056  
          9.3           1.26693  
          9.4          1.272382  
          9.5          1.277355  
          9.6          1.281792  
          9.7          1.285697  
          9.8          1.288895  
          9.9          1.291143  
           10          1.292926  

