"Iteration","Cl Monitor: Cl Monitor"
1.0,41.81420491688632
2.0,25.417867042471126
3.0,4.776207756149486
4.0,1.7600417623234916
5.0,0.5983169605381224
6.0,0.3137836942834365
7.0,0.11802864526371902
8.0,0.11700481056305151
9.0,0.5605193219138561
10.0,1.057004198625246
11.0,1.1103043869046905
12.0,1.5619982553803118
13.0,1.7049400280363067
14.0,1.7104065661118864
15.0,1.6202561170700835
16.0,1.596645747775129
17.0,1.4114232624030003
18.0,1.3911567418712734
19.0,1.349537198713714
20.0,1.3267325771397482
21.0,1.1965863175695455
22.0,1.1894948304414157
23.0,1.1775586428794493
24.0,1.1801099113621287
25.0,1.1865226447010446
26.0,1.1956989442685255
27.0,1.2183916358682017
28.0,1.230778023747954
29.0,1.2730852238577866
30.0,1.2824979228549744
31.0,1.2884047039511053
32.0,1.2949455606809162
33.0,1.2968696424432267
34.0,1.295131723460484
35.0,1.290622946125171
36.0,1.2808986231848856
37.0,1.2719991386947491
38.0,1.2647897294706976
39.0,1.2520317580470144
40.0,1.2457383362777266
41.0,1.2404542883924579
42.0,1.2333428850758996
43.0,1.2305319040160176
44.0,1.227499919484504
45.0,1.225823556740308
46.0,1.2258547773816544
47.0,1.2268808213201225
48.0,1.2287748201431687
49.0,1.231346100945979
50.0,1.233392850230545
51.0,1.2361561152701233
52.0,1.2374290680721538
53.0,1.2390806838365689
54.0,1.2405506387277867
55.0,1.2419550040570142
56.0,1.2438025043655574
57.0,1.2464409449785379
58.0,1.2491184570287472
59.0,1.2517745025024958
60.0,1.2545535415653775
61.0,1.2567563603443497
62.0,1.2597437484311143
63.0,1.2618345117410976
64.0,1.2644747988720362
65.0,1.2668442714628843
66.0,1.2685504090721709
67.0,1.2709175788191533
68.0,1.2726700294220896
69.0,1.2743550767900649
70.0,1.2765979562937462
71.0,1.279626346888281
72.0,1.28131360940873
73.0,1.2848990264296116
74.0,1.2884933007314034
75.0,1.2923644467937814
76.0,1.2970139034103925
77.0,1.3050280836484973
78.0,1.3102891667972283
79.0,1.3255698968034033
80.0,1.3323244772377671
81.0,1.3476767284950932
82.0,1.3603904477042394
83.0,1.3735890336310062
84.0,1.3875290849704338
85.0,1.4014928324044011
86.0,1.4091027702760386
87.0,1.4248645876714758
88.0,1.4284810008760331
89.0,1.4409121387192816
90.0,1.4444169112691363
91.0,1.4570095928614704
92.0,1.4602314700287178
93.0,1.464721863459525
94.0,1.4688749375393921
95.0,1.4725595389382695
96.0,1.4769568069173848
97.0,1.4786602371372792
98.0,1.4810974234533458
99.0,1.4819366137093033
100.0,1.4824717898290802
101.0,1.48223393473343
102.0,1.4815736997944833
103.0,1.4802215912954335
104.0,1.4785040668582474
105.0,1.4761602635229067
106.0,1.4748563882743377
107.0,1.4736138866426145
108.0,1.4732518858129244
109.0,1.4733098661770574
