"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[i] (m/s)"
-1.5,19.84343719482422
-1.56,19.842544555664062
-1.62,19.841196060180664
-1.6800000000000002,19.83590316772461
-1.7399999999999998,19.83073616027832
-1.7999999999999998,19.832782745361328
-1.8599999999999999,19.828327178955078
-1.92,19.8292293548584
-1.98,19.838502883911133
-2.04,19.832340240478516
-2.0999999999999996,19.841690063476562
-2.16,19.840526580810547
-2.2199999999999998,19.842912673950195
-2.2800000000000002,19.845544815063477
-2.34,19.846784591674805
-2.4000000000000004,19.850723266601562
-2.46,19.8553466796875
-2.52,19.85906982421875
-2.58,19.864524841308594
-2.64,19.86995506286621
-2.7,19.874197006225586
-2.7600000000000002,19.879972457885742
-2.82,19.885860443115234
-2.88,19.891508102416992
-2.94,19.897075653076172
-3.0,19.902929306030273
-3.06,19.90892219543457
-3.12,19.916847229003906
-3.18,19.92527961730957
-3.24,19.931198120117188
-3.3000000000000003,19.939456939697266
-3.3600000000000003,19.945297241210938
-3.42,19.953702926635742
-3.4799999999999995,19.95558738708496
-3.54,19.961660385131836
-3.5999999999999996,19.969926834106445
-3.66,19.9780216217041
-3.7199999999999998,19.98379898071289
-3.7800000000000002,19.991941452026367
-3.84,19.997976303100586
-3.9000000000000004,19.99982261657715
-3.96,20.00765609741211
-4.0200000000000005,20.013402938842773
-4.08,20.021209716796875
-4.14,20.026914596557617
-4.199999999999999,20.0345401763916
-4.26,20.040029525756836
-4.32,20.047372817993164
-4.38,20.048871994018555
-4.4399999999999995,20.059581756591797
-4.5,20.061119079589844
-4.5600000000000005,20.068546295166016
-4.62,20.071237564086914
-4.68,20.080080032348633
-4.74,20.079357147216797
-4.800000000000001,20.086944580078125
-4.86,20.095043182373047
-4.92,20.09349250793457
-4.9799999999999995,20.10110855102539
-5.04,20.099313735961914
-5.1,20.106054306030273
-5.16,20.113344192504883
-5.22,20.11904525756836
-5.28,20.116472244262695
-5.34,20.121429443359375
-5.4,20.127355575561523
-5.46,20.12425422668457
-5.5200000000000005,20.127843856811523
-5.58,20.132722854614258
-5.64,20.135101318359375
-5.699999999999999,20.138423919677734
-5.76,20.138648986816406
-5.82,20.14072608947754
-5.88,20.133848190307617
-5.9399999999999995,20.137296676635742
-6.0,20.129043579101562
0.0,20.038484573364258
-0.06,20.025123596191406
-0.12,20.006372451782227
-0.18,19.995601654052734
-0.24,19.979351043701172
-0.30000000000000004,19.965667724609375
-0.36,19.9559268951416
-0.42000000000000004,19.936302185058594
-0.48,19.930978775024414
-0.54,19.857830047607422
-0.6000000000000001,19.107139587402344
-0.66,17.223297119140625
-0.72,16.539226531982422
-0.78,17.623720169067383
-0.8400000000000001,19.23604393005371
-0.8999999999999999,19.823949813842773
-0.96,19.91156005859375
-1.02,19.89982795715332
-1.08,19.8868350982666
-1.1400000000000001,19.877056121826172
-1.2000000000000002,19.870731353759766
-1.26,19.86486053466797
-1.32,19.858386993408203
-1.3800000000000001,19.85400390625
-1.44,19.844749450683594
