     Alpha       T1_Re0.400_M0.00_N9.0    
            0        0.01188146  
          0.1        0.01190165  
          0.2        0.01192737  
          0.3        0.01195759  
          0.4         0.0119926  
          0.5        0.01203481  
          0.6        0.01208449  
          0.7        0.01214109  
          0.8        0.01220505  
          0.9        0.01224915  
            1         0.0122779  
          1.1        0.01233585  
          1.2        0.01241543  
          1.3        0.01251543  
          1.4        0.01263966  
          1.5        0.01272746  
          1.6        0.01275054  
          1.7        0.01277525  
          1.8        0.01280349  
          1.9        0.01283775  
            2        0.01287858  
          2.1        0.01288149  
          2.2        0.01290522  
          2.3        0.01294124  
          2.4        0.01299069  
          2.5        0.01305015  
          2.6        0.01312047  
          2.8        0.01326077  
          2.9        0.01334139  
            3        0.01344108  
          3.1        0.01356505  
          3.2        0.01372027  
          3.3        0.01381172  
          3.4        0.01381674  
          3.5        0.01383203  
          3.6        0.01385122  
          3.7        0.01386616  
          3.8        0.01389861  
          3.9        0.01394267  
            4        0.01396867  
          4.1        0.01400321  
          4.2        0.01405707  
          4.3        0.01410411  
          4.4         0.0141744  
          4.5        0.01426229  
          4.6        0.01436803  
          4.7        0.01449876  
          4.8        0.01464295  
          4.9        0.01466009  
            5        0.01466117  
          5.1        0.01464602  
          5.2        0.01458124  
          5.3        0.01450914  
          5.4        0.01456798  
          5.5        0.01462898  
          5.6        0.01469381  
          5.7        0.01476907  
          5.8        0.01485384  
          5.9        0.01495028  
            6         0.0150644  
          6.1        0.01519947  
          6.2        0.01535926  
          6.3        0.01554857  
          6.4        0.01560786  
          6.5        0.01565753  
          6.6        0.01571416  
          6.7        0.01577972  
          6.8        0.01585958  
          6.9        0.01595221  
            7        0.01606099  
          7.1        0.01619047  
          7.2        0.01635098  
          7.3        0.01654413  
          7.4        0.01666381  
          7.5        0.01673823  
          7.6        0.01683915  
          7.7        0.01697461  
          7.8        0.01716038  
          7.9         0.0174106  
            8        0.01759128  
          8.1        0.01778767  
          8.2        0.01807078  
          8.3        0.01843529  
          8.4        0.01873411  
          8.5        0.01919117  
          8.6        0.01962356  
          8.7        0.02008157  
          8.8         0.0206693  
          8.9        0.02107987  
            9        0.02164135  
          9.1        0.02219051  
          9.3        0.02356798  
          9.4        0.02399145  
          9.5        0.02447728  
          9.6        0.02501839  
          9.7        0.02554386  
          9.8        0.02591801  
          9.9        0.02634092  
           10        0.02682004  

