     Alpha       T1_Re0.400_M0.00_N9.0    
            0          1.067564  
          0.1          1.079126  
          0.2          1.090676  
          0.3          1.102185  
          0.4          1.113636  
          0.5          1.125013  
          0.6          1.136306  
          0.7          1.147514  
          0.8          1.158642  
          0.9          1.170189  
            1          1.182189  
          1.1          1.193926  
          1.2          1.205597  
          1.3          1.217402  
          1.4          1.229486  
          1.5          1.241387  
          1.6          1.252595  
          1.7          1.263675  
          1.8          1.274679  
          1.9          1.285621  
            2          1.296485  
          2.1          1.308283  
          2.2          1.319787  
          2.3          1.331052  
          2.4           1.34216  
          2.5          1.353138  
          2.6           1.36396  
          2.8          1.386406  
          2.9          1.397794  
            3          1.409045  
          3.1          1.420332  
          3.2          1.431996  
          3.3          1.443994  
          3.4          1.454895  
          3.5          1.465558  
          3.6           1.47629  
          3.7          1.487429  
          3.8          1.498348  
          3.9          1.509098  
            4          1.520182  
          4.1          1.530943  
          4.2          1.541417  
          4.3          1.552144  
          4.4          1.562483  
          4.5          1.572789  
          4.6          1.583258  
          4.7          1.594089  
          4.8          1.605355  
          4.9          1.615723  
            5          1.625553  
          5.1          1.634218  
          5.2          1.639345  
          5.3          1.643497  
          5.4           1.65388  
          5.5          1.664168  
          5.6           1.67434  
          5.7          1.684346  
          5.8           1.69417  
          5.9          1.703784  
            6          1.713157  
          6.1          1.722334  
          6.2           1.73157  
          6.3          1.741337  
          6.4           1.75126  
          6.5           1.76115  
          6.6          1.771024  
          6.7          1.780811  
          6.8          1.790362  
          6.9          1.799642  
            7          1.808576  
          7.1          1.817064  
          7.2          1.824971  
          7.3          1.832413  
          7.4          1.841318  
          7.5          1.850831  
          7.6          1.859789  
          7.7          1.867865  
          7.8          1.874621  
          7.9          1.879366  
            8          1.886271  
          8.1           1.89294  
          8.2          1.897672  
          8.3           1.90078  
          8.4          1.905965  
          8.5          1.908348  
          8.6          1.911536  
          8.7          1.914598  
          8.8          1.915599  
          8.9          1.919596  
            9          1.921006  
          9.1          1.922686  
          9.3          1.922193  
          9.4          1.926002  
          9.5          1.928934  
          9.6          1.931155  
          9.7          1.933683  
          9.8          1.938333  
          9.9          1.942287  
           10          1.945503  

