     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.3318498  
          0.1         0.3335065  
          0.2         0.3351685  
          0.3         0.3368017  
          0.4         0.3383961  
          0.5          0.339908  
          0.6         0.3412999  
          0.7         0.3425383  
          0.8         0.3436004  
          0.9         0.3461008  
            1         0.3510449  
          1.1         0.3554266  
          1.2         0.3593393  
          1.3         0.3630094  
          1.4         0.3665969  
          1.5         0.3703036  
          1.6         0.3738971  
          1.7         0.3773691  
          1.8          0.380629  
          1.9          0.383477  
            2         0.3857331  
          2.1         0.3941667  
          2.2         0.4013308  
          2.3         0.4076598  
          2.4         0.4139049  
          2.5         0.4199787  
          2.6          0.425275  
          2.8         0.4411244  
          2.9         0.4505902  
            3         0.4597671  
          3.1         0.4682927  
          3.2         0.4766207  
          3.3         0.4903177  
          3.4         0.5022749  
          3.5         0.5132308  
          3.6         0.5243161  
          3.7         0.5388823  
          3.8         0.5525482  
          3.9         0.5643443  
            4         0.5804207  
          4.1         0.5964916  
          4.2         0.6108399  
          4.3         0.6292627  
          4.4         0.6477477  
          4.5         0.6660505  
          4.6           0.68781  
          4.7         0.7093727  
          4.8         0.7353387  
          4.9         0.7625836  
            5         0.7939576  
          5.1         0.8327012  
          5.2          0.889684  
          5.3                 1  
          5.4                 1  
          5.5                 1  
          5.6                 1  
          5.7                 1  
          5.8                 1  
          5.9                 1  
            6                 1  
          6.1                 1  
          6.2                 1  
          6.3                 1  
          6.4                 1  
          6.5                 1  
          6.6                 1  
          6.7                 1  
          6.8                 1  
          6.9                 1  
            7                 1  
          7.1                 1  
          7.2                 1  
          7.3                 1  
          7.4                 1  
          7.5                 1  
          7.6                 1  
          7.7                 1  
          7.8                 1  
          7.9                 1  
            8                 1  
          8.1                 1  
          8.2                 1  
          8.3                 1  
          8.4                 1  
          8.5                 1  
          8.6                 1  
          8.7                 1  
          8.8                 1  
          8.9                 1  
            9                 1  
          9.1                 1  
          9.3                 1  
          9.4                 1  
          9.5                 1  
          9.6                 1  
          9.7                 1  
          9.8                 1  
          9.9                 1  
           10                 1  

