"Line Probe: Direction [0,1,0] (m)","Line Probe: Velocity[i] (m/s)"
0.0,20.03597068786621
-0.06,20.02492332458496
-0.12,20.013898849487305
-0.18,20.000186920166016
-0.24,19.992568969726562
-0.30000000000000004,19.97944450378418
-0.36,19.97030258178711
-0.42000000000000004,19.95152473449707
-0.48,19.54440689086914
-0.54,18.2164306640625
-0.6000000000000001,17.176660537719727
-0.66,18.006404876708984
-0.72,19.553125381469727
-0.78,19.907350540161133
-0.8400000000000001,19.92369270324707
-0.8999999999999999,19.90735626220703
-0.96,19.90372085571289
-1.02,19.894737243652344
-1.08,19.886327743530273
-1.1400000000000001,19.883634567260742
-1.2000000000000002,19.880510330200195
-1.26,19.873125076293945
-1.32,19.869604110717773
-1.3800000000000001,19.866701126098633
-1.44,19.86403465270996
-1.5,19.860807418823242
-1.56,19.854516983032227
-1.62,19.855466842651367
-1.6800000000000002,19.85584259033203
-1.7399999999999998,19.851503372192383
-1.7999999999999998,19.852148056030273
-1.8599999999999999,19.854328155517578
-1.92,19.85429573059082
-1.98,19.85503578186035
-2.04,19.853933334350586
-2.0999999999999996,19.858476638793945
-2.16,19.860301971435547
-2.2199999999999998,19.859922409057617
-2.2800000000000002,19.862354278564453
-2.34,19.86833381652832
-2.4000000000000004,19.8709659576416
-2.46,19.877429962158203
-2.52,19.880329132080078
-2.58,19.879858016967773
-2.64,19.89040184020996
-2.7,19.89015769958496
-2.7600000000000002,19.89735221862793
-2.82,19.901060104370117
-2.88,19.90857696533203
-2.94,19.912670135498047
-3.0,19.91986846923828
-3.06,19.919111251831055
-3.12,19.93050765991211
-3.18,19.933021545410156
-3.24,19.939006805419922
-3.3000000000000003,19.945581436157227
-3.3600000000000003,19.951698303222656
-3.42,19.952978134155273
-3.4799999999999995,19.959102630615234
-3.54,19.9654541015625
-3.5999999999999996,19.97205352783203
-3.66,19.977327346801758
-3.7199999999999998,19.98293113708496
-3.7800000000000002,19.98888397216797
-3.84,19.995027542114258
-3.9000000000000004,20.002357482910156
-3.96,20.0069522857666
-4.0200000000000005,20.01201820373535
-4.08,20.01746940612793
-4.14,20.023601531982422
-4.199999999999999,20.024629592895508
-4.26,20.03342056274414
-4.32,20.034332275390625
-4.38,20.039201736450195
-4.4399999999999995,20.044452667236328
-4.5,20.05035400390625
-4.5600000000000005,20.0529727935791
-4.62,20.06024742126465
-4.68,20.063066482543945
-4.74,20.06276512145996
-4.800000000000001,20.068077087402344
-4.86,20.076698303222656
-4.92,20.074270248413086
-4.9799999999999995,20.08189582824707
-5.04,20.08572006225586
-5.1,20.090681076049805
-5.16,20.095224380493164
-5.22,20.09313201904297
-5.28,20.097000122070312
-5.34,20.100339889526367
-5.4,20.101606369018555
-5.46,20.104446411132812
-5.5200000000000005,20.108604431152344
-5.58,20.105937957763672
-5.64,20.113245010375977
-5.699999999999999,20.113664627075195
-5.76,20.113462448120117
-5.82,20.1125545501709
-5.88,20.115863800048828
-5.9399999999999995,20.113351821899414
-6.0,20.107439041137695
