"Iteration","Cd Monitor: Cd Monitor"
1.0,106.10839413314123
2.0,74.29276725259646
3.0,-1.8325028420307068
4.0,-3.3997062106202924
5.0,-0.5218297062594409
6.0,0.7947231394019604
7.0,0.6702483293732241
8.0,1.1769410523787318
9.0,1.7560592091149896
10.0,1.8832698809812376
11.0,2.8719641324739724
12.0,3.770565107213991
13.0,3.795558243091309
14.0,3.5667854767068836
15.0,2.975313673152774
16.0,2.8875904276992976
17.0,2.4766991493968646
18.0,1.8246459473715557
19.0,1.7779039043675997
20.0,1.6575571679621488
21.0,1.6835334494800385
22.0,1.7938414291472202
23.0,1.8145442133112222
24.0,2.0309114556821255
25.0,2.05066688291815
26.0,2.066794630593884
27.0,2.0805990815788924
28.0,2.0886178781501528
29.0,2.0957655512123035
30.0,2.1106366747159377
31.0,2.1149987780619397
32.0,2.115940350761841
33.0,2.1125534292363417
34.0,2.09838839156775
35.0,2.088840399725926
36.0,2.075038262487733
37.0,2.0603171069966657
38.0,2.045690359832122
39.0,2.0333893273852364
40.0,2.0214437101189113
41.0,2.0110273780128205
42.0,2.0020288158877007
43.0,1.9940259551866877
44.0,1.9813845075858376
45.0,1.9761039286089803
46.0,1.9563725762217137
47.0,1.9588880840273715
48.0,1.9571244693077745
49.0,1.9511553579597383
50.0,1.9436839142072138
51.0,1.9361466793859563
52.0,1.9293095137869232
53.0,1.9231905033639083
54.0,1.9173839035751077
55.0,1.9144694081011817
56.0,1.912743672398728
57.0,1.9153560294935343
58.0,1.9198687186936527
59.0,1.9272759814353637
60.0,1.934604809949924
61.0,1.9420269886799764
62.0,1.9498746733453785
63.0,1.9579079238502202
64.0,1.9646276663115663
65.0,1.9701473606161246
66.0,1.9754999708484247
67.0,1.9814956273971618
68.0,1.9856292179183146
69.0,1.990816117219328
70.0,1.9930109429555902
71.0,1.991917293506297
72.0,1.9884187326999392
73.0,1.979599501482877
74.0,1.9691056182561455
75.0,1.957581236527124
76.0,1.945308951013747
77.0,1.9326452065592803
78.0,1.920247700244725
79.0,1.9112377663743338
80.0,1.9000043654116845
81.0,1.8922083576959339
82.0,1.8798028927546526
83.0,1.8746450859478214
84.0,1.8705265749157625
85.0,1.8673344932381268
86.0,1.8668024186869756
87.0,1.8709967292165528
88.0,1.8778893053594377
89.0,1.8892971006087527
90.0,1.913335247149034
91.0,1.9268473219948283
92.0,1.9673016554716536
93.0,1.9845389335718162
94.0,2.0208808528809543
95.0,2.0385196725909465
96.0,2.069894572379501
97.0,2.0829743664665705
98.0,2.119077117652766
99.0,2.137087721809904
100.0,2.184997094829601
101.0,2.193777965216597
102.0,2.245559857400914
103.0,2.2538313871888653
104.0,2.262157549694744
105.0,2.2784108606348483
106.0,2.2854955453120804
107.0,2.2910288532950682
