"Line Probe 4: Direction [0,1,0] (m)","Line Probe 4: Velocity[i] (m/s)"
0.0,19.902122497558594
-0.06,19.8701114654541
-0.12,19.806297302246094
-0.18,19.769840240478516
-0.24,19.72266387939453
-0.30000000000000004,19.683805465698242
-0.36,19.585493087768555
-0.42000000000000004,19.495635986328125
-0.48,19.38479232788086
-0.54,19.330543518066406
-0.6000000000000001,19.284103393554688
-0.66,19.224708557128906
-0.72,18.42664337158203
-0.78,16.25125503540039
-0.8400000000000001,15.042221069335938
-0.8999999999999999,14.530532836914062
-0.96,15.629547119140625
-1.02,18.48284912109375
-1.08,19.895095825195312
-1.1400000000000001,20.109853744506836
-1.2000000000000002,20.104759216308594
-1.26,20.084245681762695
-1.32,20.079547882080078
-1.3800000000000001,20.075889587402344
-1.44,20.054275512695312
-1.5,20.037080764770508
-1.56,20.017410278320312
-1.62,20.007490158081055
-1.6800000000000002,19.995981216430664
-1.7399999999999998,19.99785614013672
-1.7999999999999998,20.00068473815918
-1.8599999999999999,19.99228286743164
-1.92,19.99163246154785
-1.98,19.992191314697266
-2.04,19.99452018737793
-2.0999999999999996,19.998374938964844
-2.16,20.002534866333008
-2.2199999999999998,20.00401496887207
-2.2800000000000002,19.99955177307129
-2.34,20.002857208251953
-2.4000000000000004,20.00627899169922
-2.46,20.010751724243164
-2.52,20.015178680419922
-2.58,20.018083572387695
-2.64,20.024097442626953
-2.7,20.0248966217041
-2.7600000000000002,20.027854919433594
-2.82,20.032567977905273
-2.88,20.03865623474121
-2.94,20.044857025146484
-3.0,20.050989151000977
-3.06,20.060514450073242
-3.12,20.060232162475586
-3.18,20.067485809326172
-3.24,20.07735824584961
-3.3000000000000003,20.08442497253418
-3.3600000000000003,20.086902618408203
-3.42,20.096023559570312
-3.4799999999999995,20.09917640686035
-3.54,20.104461669921875
-3.5999999999999996,20.10912322998047
-3.66,20.11151885986328
-3.7199999999999998,20.1119384765625
-3.7800000000000002,20.117359161376953
-3.84,20.121816635131836
-3.9000000000000004,20.129552841186523
-3.96,20.142549514770508
-4.0200000000000005,20.145017623901367
-4.08,20.15436363220215
-4.14,20.1611328125
-4.199999999999999,20.167516708374023
-4.26,20.167007446289062
-4.32,20.172454833984375
-4.38,20.180784225463867
-4.4399999999999995,20.186344146728516
-4.5,20.191884994506836
-4.5600000000000005,20.194271087646484
-4.62,20.195650100708008
-4.68,20.203224182128906
-4.74,20.210681915283203
-4.800000000000001,20.21458625793457
-4.86,20.21074676513672
-4.92,20.217653274536133
-4.9799999999999995,20.225414276123047
-5.04,20.225557327270508
-5.1,20.23827362060547
-5.16,20.236988067626953
-5.22,20.235441207885742
-5.28,20.245880126953125
-5.34,20.249509811401367
-5.4,20.248735427856445
-5.46,20.252471923828125
-5.5200000000000005,20.256898880004883
-5.58,20.255104064941406
-5.64,20.259592056274414
-5.699999999999999,20.263338088989258
-5.76,20.268810272216797
-5.82,20.26152229309082
-5.88,20.2645320892334
-5.9399999999999995,20.260168075561523
-6.0,20.254850387573242
