"Line Probe 4: Direction [0,1,0] (m)","Line Probe 4: Velocity[j] (m/s)"
0.0,-1.9153786897659302
-0.06,-1.9140956401824951
-0.12,-1.9142903089523315
-0.18,-1.9106229543685913
-0.24,-1.9111913442611694
-0.30000000000000004,-1.9062213897705078
-0.36,-1.888498067855835
-0.42000000000000004,-1.8773012161254883
-0.48,-1.8677053451538086
-0.54,-1.8596118688583374
-0.6000000000000001,-1.8437260389328003
-0.66,-1.8406764268875122
-0.72,-1.7807137966156006
-0.78,-1.5901837348937988
-0.8400000000000001,-1.4560643434524536
-0.8999999999999999,-1.3268609046936035
-0.96,-1.3515939712524414
-1.02,-1.5943444967269897
-1.08,-1.734395980834961
-1.1400000000000001,-1.7437243461608887
-1.2000000000000002,-1.725043535232544
-1.26,-1.711777687072754
-1.32,-1.6915135383605957
-1.3800000000000001,-1.6709290742874146
-1.44,-1.6549824476242065
-1.5,-1.6322952508926392
-1.56,-1.6088634729385376
-1.62,-1.5858582258224487
-1.6800000000000002,-1.5672945976257324
-1.7399999999999998,-1.5446819067001343
-1.7999999999999998,-1.521996259689331
-1.8599999999999999,-1.502130389213562
-1.92,-1.4793484210968018
-1.98,-1.456144094467163
-2.04,-1.4325013160705566
-2.0999999999999996,-1.4083107709884644
-2.16,-1.3834865093231201
-2.2199999999999998,-1.3577028512954712
-2.2800000000000002,-1.3403823375701904
-2.34,-1.3130791187286377
-2.4000000000000004,-1.2907150983810425
-2.46,-1.267561674118042
-2.52,-1.2444735765457153
-2.58,-1.2214914560317993
-2.64,-1.1982206106185913
-2.7,-1.175087332725525
-2.7600000000000002,-1.1517753601074219
-2.82,-1.1279597282409668
-2.88,-1.103688359260559
-2.94,-1.0786993503570557
-3.0,-1.0566552877426147
-3.06,-1.0305488109588623
-3.12,-1.0117367506027222
-3.18,-0.985754668712616
-3.24,-0.9639396071434021
-3.3000000000000003,-0.9426374435424805
-3.3600000000000003,-0.917792022228241
-3.42,-0.894121527671814
-3.4799999999999995,-0.8787124156951904
-3.54,-0.8558569550514221
-3.5999999999999996,-0.8329403400421143
-3.66,-0.8101673126220703
-3.7199999999999998,-0.7898211479187012
-3.7800000000000002,-0.7678002715110779
-3.84,-0.7511225342750549
-3.9000000000000004,-0.7261154055595398
-3.96,-0.7040206789970398
-4.0200000000000005,-0.6884399652481079
-4.08,-0.6657413244247437
-4.14,-0.6449325680732727
-4.199999999999999,-0.6229642033576965
-4.26,-0.6061199903488159
-4.32,-0.5853281617164612
-4.38,-0.5657165050506592
-4.4399999999999995,-0.5444647669792175
-4.5,-0.5215863585472107
-4.5600000000000005,-0.5051671862602234
-4.62,-0.4844678044319153
-4.68,-0.4733920991420746
-4.74,-0.45021533966064453
-4.800000000000001,-0.4319669008255005
-4.86,-0.41612181067466736
-4.92,-0.3981701135635376
-4.9799999999999995,-0.3764769732952118
-5.04,-0.35668304562568665
-5.1,-0.33489561080932617
-5.16,-0.31501638889312744
-5.22,-0.30367857217788696
-5.28,-0.28345605731010437
-5.34,-0.2720383405685425
-5.4,-0.2519531548023224
-5.46,-0.23118209838867188
-5.5200000000000005,-0.20948787033557892
-5.58,-0.19837947189807892
-5.64,-0.17612436413764954
-5.699999999999999,-0.15393304824829102
-5.76,-0.14287669956684113
-5.82,-0.12074428051710129
-5.88,-0.10977211594581604
-5.9399999999999995,-0.08784980326890945
-6.0,-0.0768265351653099
