     Alpha       T1_Re0.400_M0.00_N9.0    
            0          1.162157  
          0.1          1.175627  
          0.2          1.189282  
          0.3          1.203693  
          0.5          1.242249  
          0.6          1.252508  
          0.7          1.262452  
          0.8          1.274531  
          0.9          1.285895  
            1          1.296337  
          1.1          1.306465  
          1.2          1.316681  
          1.3          1.328997  
          1.4          1.341117  
          1.5          1.352758  
          1.6          1.364128  
          1.7          1.375282  
          1.8          1.386214  
          1.9          1.397089  
            2          1.407611  
          2.1          1.419387  
          2.2          1.430805  
          2.3          1.441937  
          2.4          1.453007  
          2.5          1.464093  
          2.6          1.476521  
          2.7          1.489337  
          2.8          1.502417  
          2.9          1.516454  
            3          1.530092  
          3.1          1.540998  
          3.2          1.551985  
          3.3          1.563341  
          3.4          1.574146  
          3.5           1.58572  
          3.6          1.596729  
          3.7          1.608319  
          3.8          1.619553  
          3.9           1.63084  
            4          1.642041  
          4.1          1.652765  
          4.2          1.662113  
          4.3          1.663378  
          4.4          1.670416  
          4.5          1.680748  
          4.6          1.691034  
          4.7          1.701196  
          4.8          1.711195  
          4.9          1.721047  
            5          1.730769  
          5.1          1.740384  
          5.2          1.749925  
          5.3          1.759436  
          5.4          1.768977  
          5.5          1.778648  
          5.6          1.788389  
          5.7          1.798033  
          5.8           1.80758  
          5.9          1.817094  
            6          1.826695  
          6.1           1.83658  
          6.2          1.847046  
          6.3          1.858456  
          6.4          1.871244  
          6.5          1.886104  
          6.6          1.897744  
          6.7          1.905508  
          6.8          1.913047  
          6.9          1.920478  
            7          1.927915  
          7.1           1.93547  
          7.2           1.94319  
          7.3           1.95103  
          7.4          1.958899  
          7.5          1.966835  
          7.6          1.974864  
          7.7          1.983034  
          7.8          1.991165  
          7.9          1.999118  
            8          2.006885  
          8.1          2.014491  
          8.2          2.021951  
          8.3          2.029196  
          8.4          2.036258  
          8.5          2.043182  
          8.6          2.050022  
          8.7          2.056902  
          8.8          2.063892  
          8.9          2.070849  
            9            2.0776  
          9.1           2.08442  
          9.2          2.092051  
          9.3          2.101891  
          9.4          2.112275  
          9.5          2.116849  
          9.6          2.121567  
          9.7          2.126602  
          9.8          2.132003  
          9.9           2.13764  
           10          2.143561  

