     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.4278274  
          0.1          0.424972  
          0.2         0.4218243  
          0.3         0.4184657  
          0.5         0.4159342  
          0.6         0.4151222  
          0.7         0.4142322  
          0.8         0.4132226  
          0.9         0.4121513  
            1         0.4110524  
          1.1         0.4099218  
          1.2         0.4087619  
          1.3         0.4075348  
          1.4         0.4063006  
          1.5         0.4050537  
          1.6         0.4037584  
          1.7         0.4024021  
          1.8         0.4010094  
          1.9          0.399586  
            2         0.3981432  
          2.1         0.3966332  
          2.2         0.3951008  
          2.3         0.3935462  
          2.4         0.3919778  
          2.5         0.3904033  
          2.6         0.3886975  
          2.7         0.3868924  
          2.8         0.3850094  
          2.9         0.3830341  
            3         0.3818222  
          3.1         0.3814597  
          3.2         0.3810536  
          3.3         0.3805987  
          3.4          0.380104  
          3.5         0.3795521  
          3.6         0.3789627  
          3.7         0.3783218  
          3.8          0.377645  
          3.9         0.3769302  
            4         0.3761835  
          4.1         0.3754182  
          4.2         0.3746573  
          4.3         0.3740435  
          4.4         0.3732914  
          4.5         0.3724678  
          4.6         0.3716353  
          4.7         0.3707627  
          4.8         0.3698359  
          4.9         0.3688653  
            5         0.3678628  
          5.1         0.3668434  
          5.2         0.3658245  
          5.3         0.3648332  
          5.4         0.3638589  
          5.5         0.3629421  
          5.6         0.3620419  
          5.7         0.3610832  
          5.8         0.3600371  
          5.9         0.3588865  
            6         0.3576341  
          6.1           0.35618  
          6.2          0.354589  
          6.3         0.3528485  
          6.4         0.3509337  
          6.5          0.348806  
          6.6         0.3476389  
          6.7         0.3472772  
          6.8         0.3468393  
          6.9         0.3463208  
            7         0.3457223  
          7.1         0.3450536  
          7.2         0.3443408  
          7.3         0.3435764  
          7.4         0.3427578  
          7.5         0.3419089  
          7.6         0.3410584  
          7.7         0.3402255  
          7.8         0.3393643  
          7.9         0.3384341  
            8         0.3374319  
          8.1         0.3363649  
          8.2         0.3352399  
          8.3         0.3340393  
          8.4         0.3327812  
          8.5         0.3314962  
          8.6         0.3302098  
          8.7         0.3289213  
          8.8         0.3276097  
          8.9         0.3262455  
            9         0.3247022  
          9.1          0.322863  
          9.2          0.320602  
          9.3         0.3175513  
          9.4         0.3147624  
          9.5         0.3141949  
          9.6          0.313493  
          9.7         0.3126484  
          9.8         0.3116745  
          9.9         0.3105431  
           10         0.3093482  

