     Alpha       T1_Re0.400_M0.00_N9.0    
            0        0.03904636  
          0.1        0.03970762  
          0.2        0.04083179  
          0.3        0.04289936  
          0.5         0.2599366  
          0.6         0.2709449  
          0.7         0.2762232  
          0.8         0.2873393  
          0.9         0.2967396  
            1         0.3063272  
          1.1         0.3132986  
          1.2         0.3169365  
          1.3         0.3239522  
          1.4         0.3308304  
          1.5         0.3361909  
          1.6         0.3412777  
          1.7         0.3464417  
          1.8         0.3514548  
          1.9          0.356499  
            2         0.3599506  
          2.1         0.3702385  
          2.2         0.3796332  
          2.3         0.3883431  
          2.4         0.3967654  
          2.5         0.4037251  
          2.6         0.4171374  
          2.7          0.430675  
          2.8         0.4434961  
          2.9         0.4566893  
            3          0.474917  
          3.1         0.4905591  
          3.2         0.5066712  
          3.3         0.5269814  
          3.4         0.5455572  
          3.5         0.5701713  
          3.6         0.5935168  
          3.7          0.622152  
          3.8         0.6504632  
          3.9         0.6835843  
            4         0.7201639  
          4.1         0.7625051  
          4.2         0.8161131  
          4.3         0.9160877  
          4.4                 1  
          4.5                 1  
          4.6                 1  
          4.7                 1  
          4.8                 1  
          4.9                 1  
            5                 1  
          5.1                 1  
          5.2                 1  
          5.3                 1  
          5.4                 1  
          5.5                 1  
          5.6                 1  
          5.7                 1  
          5.8                 1  
          5.9                 1  
            6                 1  
          6.1                 1  
          6.2                 1  
          6.3                 1  
          6.4                 1  
          6.5                 1  
          6.6                 1  
          6.7                 1  
          6.8                 1  
          6.9                 1  
            7                 1  
          7.1                 1  
          7.2                 1  
          7.3                 1  
          7.4                 1  
          7.5                 1  
          7.6                 1  
          7.7                 1  
          7.8                 1  
          7.9                 1  
            8                 1  
          8.1                 1  
          8.2                 1  
          8.3                 1  
          8.4                 1  
          8.5                 1  
          8.6                 1  
          8.7                 1  
          8.8                 1  
          8.9                 1  
            9                 1  
          9.1                 1  
          9.2                 1  
          9.3                 1  
          9.4                 1  
          9.5                 1  
          9.6                 1  
          9.7                 1  
          9.8                 1  
          9.9                 1  
           10                 1  

