"Iteration","Cd Monitor: Cd Monitor"
1.0,68.90209007705583
2.0,33.63180620482142
3.0,8.808034884043519
4.0,2.5919886004110584
5.0,0.8419984385195631
6.0,0.34501557879405864
7.0,-0.14543332514013407
8.0,-0.3273986665073201
9.0,0.2938864724194705
10.0,0.9429063003208424
11.0,1.2128381494285507
12.0,1.249687635889384
13.0,1.6175518227082948
14.0,1.595888819422775
15.0,1.4910936736614815
16.0,1.3628730763457715
17.0,1.2003280415923674
18.0,1.1830150349974007
19.0,1.1514486936080603
20.0,1.0987038020626023
21.0,1.0907915224177527
22.0,1.046787179583748
23.0,1.0473978921535902
24.0,1.0471209637189351
25.0,1.0453782294962173
26.0,1.0456757966852066
27.0,1.0440004334817738
28.0,1.0443363990213166
29.0,1.0447822168567944
30.0,1.043975976115587
31.0,1.044157796583527
32.0,1.0465665380843132
33.0,1.051678289557479
34.0,1.0545921551058823
35.0,1.0598057828220628
36.0,1.0633935585026628
37.0,1.0652393006317942
38.0,1.065466484401095
39.0,1.0639668728715055
40.0,1.0595829438701037
41.0,1.0545640686863333
42.0,1.0438898302814776
43.0,1.0370237854336697
44.0,1.0231751054154128
45.0,1.0157268355676328
46.0,1.0026499813894958
47.0,0.9973798274651383
48.0,0.988735542248248
49.0,0.9854857473281061
50.0,0.9810851745715412
51.0,0.9795937913938381
52.0,0.9786964336283877
53.0,0.9778274409777955
54.0,0.9772408785915442
55.0,0.9768993208538822
56.0,0.9769690355289316
57.0,0.9771385910522068
58.0,0.9771368970928683
59.0,0.9775378909043714
60.0,0.9777327303799446
61.0,0.9782395582838233
62.0,0.9791646840997905
63.0,0.9802201866938106
64.0,0.9816455337103647
65.0,0.9851156105644547
66.0,0.9871869099068582
67.0,0.9922619777762379
68.0,0.9949202891049421
69.0,0.9980515023820593
70.0,1.0034079272098435
71.0,1.0056076006208938
72.0,1.0091373886670534
73.0,1.0109066538913687
74.0,1.0171285482540273
75.0,1.0213410940713106
76.0,1.0289088378681268
77.0,1.0379434391419122
78.0,1.046442354453881
79.0,1.0568023008265655
80.0,1.0677624018211191
81.0,1.0792741873947918
82.0,1.0917312922105118
83.0,1.1038456915673047
84.0,1.117153076410548
85.0,1.1233666737127508
86.0,1.1362930868559784
87.0,1.1393937184221845
88.0,1.1557976566581873
89.0,1.157146307321758
90.0,1.157464417533472
91.0,1.1574168005396517
92.0,1.156608955529702
93.0,1.153862015036992
94.0,1.1497799033325526
95.0,1.1450235375629403
96.0,1.1395497697566097
97.0,1.1334666086819605
98.0,1.126586153792728
99.0,1.1213643258232846
100.0,1.1146125803380988
101.0,1.1097719819963368
102.0,1.1036227320357526
103.0,1.0998740978161237
104.0,1.0958642180567697
105.0,1.0931183588819797
106.0,1.0900366158416377
107.0,1.0881196070740697
108.0,1.086418661665584
109.0,1.0857624642124595
110.0,1.0868575239308838
111.0,1.0876152287291572
112.0,1.0899324113761721
113.0,1.0942790913914964
114.0,1.0959041167687693
115.0,1.0983677109037708
116.0,1.1006505902104053
117.0,1.1014534421356115
118.0,1.1020525472484055
119.0,1.1013807897032968
120.0,1.1000444801190477
121.0,1.0978774596605134
122.0,1.0946389965406396
123.0,1.0906012277173998
124.0,1.0857883919522424
125.0,1.0801769908668497
126.0,1.0744417972585156
127.0,1.0688757095406014
128.0,1.0636717788291714
129.0,1.0581068541811192
130.0,1.0551402534484746
131.0,1.0526941738117097
132.0,1.0504113046532513
133.0,1.0488410051114407
134.0,1.0477139706320826
135.0,1.0468484070879314
136.0,1.046271544631735
137.0,1.045863082835279
138.0,1.0454247509253158
139.0,1.0449835430095136
140.0,1.0442126912958185
141.0,1.043213949475659
142.0,1.041741128463722
143.0,1.04033342207335
144.0,1.0384497755952242
145.0,1.036356306334151
146.0,1.0337322506317008
147.0,1.0314317622258091
148.0,1.02726318370699
149.0,1.0246731566178537
150.0,1.021570717846557
151.0,1.0168901308464127
152.0,1.0143452594448816
153.0,1.0111132132595795
154.0,1.0081521414596417
155.0,1.0058605898533368
156.0,1.0032406742547015
157.0,1.0012721194001768
158.0,0.9992022389182748
159.0,0.9979172721154089
160.0,0.9965079825076973
161.0,0.9955255534005524
162.0,0.994820402204038
163.0,0.9947293941780221
164.0,0.9951236333616819
165.0,0.9964625685311882
166.0,0.9967466035259818
167.0,0.9975380736989539
168.0,0.9981732075075745
169.0,0.9986808954984199
170.0,0.9989645780447225
171.0,0.9991008817279455
172.0,0.9989376398539753
173.0,0.9982833853647666
174.0,0.9976844825451906
175.0,0.9969592009367041
176.0,0.9959834748468082
177.0,0.9947821788488068
178.0,0.9937320093057397
179.0,0.9925118598362915
180.0,0.9915375070073826
181.0,0.9902291049676893
182.0,0.9894101483933256
183.0,0.9885360262946892
184.0,0.9877873442748606
185.0,0.9873660647801268
186.0,0.9867688132694757
187.0,0.9860785355039031
188.0,0.9856852592903358
189.0,0.9852010955275917
190.0,0.9850321338553903
191.0,0.9846548639950065
192.0,0.9842765309999015
193.0,0.983418814551627
194.0,0.9824860786432373
195.0,0.9814744893977504
196.0,0.9801523134552247
197.0,0.9782984530796053
198.0,0.977211987438682
199.0,0.9757959886049604
200.0,0.9739812389379908
201.0,0.9726368236700632
202.0,0.9710546636055334
203.0,0.9688046522684235
204.0,0.9678306798937786
205.0,0.9665081463930043
206.0,0.9649362775539049
207.0,0.9629288734808504
208.0,0.9616259399259346
209.0,0.9599047378470837
210.0,0.9574175649240293
211.0,0.9561804675840179
212.0,0.9545368221945241
213.0,0.9522352502760131
214.0,0.9500803996009627
215.0,0.9485755026833758
