     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.7761561  
          0.1         0.7871358  
          0.2         0.7981936  
          0.3         0.8092248  
          0.4         0.8202248  
          0.5         0.8312611  
          0.6         0.8422279  
          0.7         0.8531899  
          0.8          0.864181  
          0.9         0.8750976  
            1         0.8860702  
          1.1         0.8969594  
          1.2         0.9078697  
          1.3         0.9187562  
          1.4         0.9296262  
          1.5          0.940482  
          1.6         0.9513206  
          1.7         0.9621256  
          1.8         0.9729396  
          1.9         0.9837006  
            2         0.9944743  
          2.1          1.005201  
          2.2          1.015919  
          2.3          1.026604  
          2.4           1.03727  
          2.5          1.047903  
          2.6          1.058523  
          2.7          1.069088  
          2.8          1.079655  
          2.9          1.090147  
            3           1.10066  
          3.1          1.111052  
          3.2          1.121533  
          3.3          1.131858  
          3.4          1.142226  
          3.5          1.152554  
          3.7          1.173051  
          3.8           1.18325  
            4          1.203514  
          4.1          1.213618  
          4.2          1.223584  
          4.3           1.23359  
          4.4          1.243536  
          4.6          1.262884  
          4.7          1.271809  
          4.8          1.278811  
          4.9          1.288204  
            5          1.297457  
          5.1          1.306537  
          5.2          1.315459  
          5.3           1.32447  
          5.4          1.333474  
          5.5          1.342485  
          5.6          1.351471  
          5.7          1.360335  
          5.8          1.369064  
          5.9          1.377635  
            6           1.38615  
          6.1          1.394511  
          6.2          1.402576  
          6.3          1.410493  
          6.4          1.418441  
          6.5          1.426245  
          6.6          1.433927  
          6.7          1.441669  
          6.8          1.449229  
          6.9          1.456636  
            7           1.46392  
          7.1          1.471202  
          7.2          1.478453  
          7.3          1.485599  
          7.4          1.492639  
          7.5          1.499553  
          7.6          1.506554  
          7.7          1.513547  
          7.8          1.520262  
          7.9          1.526732  
            8          1.533377  
          8.1          1.539949  
          8.2          1.545897  
          8.3          1.552474  
          8.4          1.557904  
          8.5          1.564108  
          8.6          1.568672  
          8.7          1.573674  
          8.8          1.578106  
          8.9           1.58101  
            9           1.58613  
          9.1          1.589678  
          9.2           1.59075  
          9.3          1.595921  
          9.4          1.600048  
          9.5           1.60326  
          9.6          1.604949  
          9.7          1.604881  
          9.8          1.610101  
          9.9          1.614613  
           10          1.618719  

