     Alpha       T1_Re0.400_M0.00_N9.0    
            0       0.009141883  
          0.1       0.009144776  
          0.2       0.009158433  
          0.3       0.009171119  
          0.4       0.009181319  
          0.5       0.009201585  
          0.6       0.009212958  
          0.7       0.009227233  
          0.8       0.009252282  
          0.9       0.009260534  
            1       0.009295349  
          1.1       0.009301743  
          1.2       0.009331178  
          1.3       0.009350678  
          1.4       0.009373994  
          1.5       0.009405918  
          1.6       0.009423126  
          1.7       0.009461568  
          1.8       0.009478425  
          1.9       0.009516994  
            2       0.009539697  
          2.1       0.009580295  
          2.2       0.009606569  
          2.3       0.009643252  
          2.4       0.009678714  
          2.5       0.009712708  
          2.6       0.009757168  
          2.7       0.009790857  
          2.8       0.009832645  
          2.9       0.009879617  
            3       0.009915775  
          3.1        0.00997194  
          3.2        0.01001216  
          3.3        0.01006567  
          3.4        0.01011054  
          3.5        0.01016226  
          3.7        0.01027623  
          3.8        0.01033439  
            4         0.0104567  
          4.1        0.01051629  
          4.2        0.01058639  
          4.3        0.01064947  
          4.4        0.01070723  
          4.6        0.01081148  
          4.7        0.01070419  
          4.8        0.01050138  
          4.9        0.01065016  
            5        0.01080966  
          5.1        0.01098302  
          5.2        0.01117055  
          5.3         0.0113527  
          5.4        0.01153729  
          5.5        0.01172301  
          5.6        0.01191155  
          5.7        0.01211013  
          5.8        0.01231983  
          5.9        0.01254256  
            6        0.01277011  
          6.1        0.01301078  
          6.2        0.01327626  
          6.3         0.0135544  
          6.4        0.01382941  
          6.5         0.0141161  
          6.6        0.01441174  
          6.7        0.01470029  
          6.8        0.01500225  
          6.9        0.01531473  
            7        0.01563443  
          7.1        0.01595009  
          7.2        0.01626373  
          7.3        0.01658137  
          7.4        0.01690249  
          7.5        0.01722853  
          7.6        0.01754021  
          7.7        0.01784593  
          7.8         0.0181702  
          7.9        0.01850517  
            8        0.01881683  
          8.1        0.01912638  
          8.2        0.01947725  
          8.3        0.01976817  
          8.4        0.02013944  
          8.5        0.02042663  
          8.6        0.02079024  
          8.7        0.02110657  
          8.8        0.02144996  
          8.9        0.02189085  
            9        0.02218607  
          9.1        0.02258694  
          9.2        0.02315766  
          9.3        0.02346008  
          9.4        0.02383727  
          9.5        0.02428151  
          9.6        0.02484067  
          9.7         0.0255307  
          9.8        0.02585646  
          9.9        0.02623606  
           10        0.02665083  

