     Alpha       T1_Re0.400_M0.00_N9.0    
          -10                 1  
         -9.9                 1  
         -9.8                 1  
         -9.7                 1  
         -9.6                 1  
         -9.5                 1  
         -9.4                 1  
         -9.3                 1  
         -9.2                 1  
         -9.1                 1  
           -9                 1  
         -8.9                 1  
         -8.8                 1  
         -8.7                 1  
         -8.6                 1  
         -8.5                 1  
         -8.4                 1  
         -8.3                 1  
         -8.2                 1  
         -8.1                 1  
           -8                 1  
         -7.9                 1  
         -7.8                 1  
         -7.7                 1  
         -7.6          0.627191  
         -7.5          0.599468  
         -7.4         0.5784336  
         -7.3         0.5587323  
         -7.2         0.5449257  
         -7.1         0.5360632  
           -7         0.5286564  
         -6.9         0.5205117  
         -6.8         0.5125651  
         -6.6         0.4972642  
         -6.5         0.4910867  
         -6.4         0.4847193  
         -6.3         0.4777683  
         -6.2         0.4714971  
         -6.1         0.4647043  
           -6         0.4594197  
         -5.9          0.454431  
         -5.8         0.4492204  
         -5.7         0.4446575  
         -5.6         0.4399747  
         -5.5         0.4349768  
         -5.4         0.4306079  
         -5.3         0.4266876  
         -5.2         0.4228879  
         -5.1         0.4192128  
           -5         0.4158263  
         -4.9         0.4127012  
         -4.8          0.409382  
         -4.7         0.4057707  
         -4.6         0.4022645  
         -4.5         0.3993222  
         -4.4         0.3967736  
         -4.3         0.3939773  
         -4.2         0.3907308  
         -4.1         0.3875183  
           -4         0.3847121  
         -3.9         0.3825689  
         -3.8          0.380737  
         -3.7          0.378646  
         -3.6         0.3752426  
         -3.5         0.3719565  
         -3.4         0.3692705  
         -3.3         0.3666653  
         -3.2         0.3636905  
         -3.1         0.3606665  
           -3         0.3576185  
         -2.9         0.3546966  
         -2.8           0.35195  
         -2.7         0.3494782  
         -2.6         0.3464943  
         -2.5         0.3434686  
         -2.4         0.3406244  
         -2.3         0.3380091  
         -2.2         0.3359386  
         -2.1         0.3334396  
           -2         0.3305986  
         -1.9         0.3278922  
         -1.8         0.3258625  
         -1.7         0.3240316  
         -1.6         0.3215609  
         -1.5         0.3185045  
         -1.4         0.3154111  
         -1.3          0.312301  
         -1.2         0.3097501  
         -1.1         0.3073999  
           -1         0.3047611  
         -0.9         0.3016715  
         -0.8         0.2985048  
         -0.7         0.2960278  
         -0.6         0.2937639  
         -0.5         0.2914659  
         -0.4          0.288721  
         -0.3         0.2856725  
         -0.2         0.2831311  
         -0.1         0.2808319  
            0         0.2785993  

