"Iteration","Cl Monitor: Cl Monitor"
1.0,78.28977579786141
2.0,49.01649770344967
3.0,24.631293935973126
4.0,4.8028756431383295
5.0,3.5159559002283816
6.0,-5.023236507889649
7.0,-5.401068963011426
8.0,-5.628134848723385
9.0,-5.123670409312828
10.0,-1.9105101677215282
11.0,1.1520738403783861
12.0,1.370259792162178
13.0,3.303976543637058
14.0,3.4100791439196114
15.0,3.5659879734080775
16.0,3.6144543823924016
17.0,3.3968798564634466
18.0,3.020833421796268
19.0,2.601089747100923
20.0,2.0796609549709757
21.0,1.9891599974061396
22.0,1.5680534736003606
23.0,1.4452031336131146
24.0,1.4684792617213742
25.0,1.4910416205660237
26.0,1.7584306978851738
27.0,1.7895946753730823
28.0,1.825677937656122
29.0,1.8656253528343796
30.0,1.943994214969939
31.0,1.9777288733319842
32.0,2.1496394145658955
33.0,2.1575425974103575
34.0,2.155603769626371
35.0,2.1454538374732453
36.0,2.1134077631878116
37.0,2.092561891422726
38.0,2.0494486524286413
39.0,2.0276713019092445
40.0,1.9910010414169934
41.0,1.9745790181124077
42.0,1.9565708874447356
43.0,1.9468918981398533
44.0,1.9366849270436837
45.0,1.9335543725873146
46.0,1.9363280413369162
47.0,1.9433686307145999
48.0,1.954236969702723
49.0,1.9668763951664954
50.0,1.9771060070814852
51.0,1.9849163271842423
52.0,1.9979726261040631
53.0,2.0042378954331093
54.0,2.0096967449064733
55.0,2.0175004921309077
56.0,2.020103901921717
57.0,2.0217105093444117
58.0,2.0222652554149794
59.0,2.0219838835366337
60.0,2.0194954693458564
61.0,2.0173027094737175
62.0,2.015807499338858
63.0,2.015092685225514
64.0,2.014950369118648
65.0,2.015337615494443
66.0,2.016823813516923
67.0,2.018867722347726
68.0,2.0224844341069836
69.0,2.026512375208518
70.0,2.03104720486831
71.0,2.0363699981747616
72.0,2.042177318879108
73.0,2.048072540160751
74.0,2.053836770499666
75.0,2.059165153003812
76.0,2.0641189413918406
77.0,2.068855775226876
78.0,2.0729124470304026
79.0,2.0780411723689722
