     Alpha       T1_Re0.400_M0.00_N9.0    
            0        0.05217076  
          0.1        0.05449314  
          0.2        0.05689871  
          0.3        0.06016802  
          0.4        0.06351097  
          0.5        0.06703576  
          0.6        0.07069151  
          0.7        0.07504675  
          0.8        0.07997795  
          0.9        0.08568931  
            1        0.09182804  
          1.1         0.0990858  
          1.2         0.1079698  
          1.3         0.1190092  
          1.4         0.1340667  
          1.5         0.1631736  
          1.6         0.6908658  
          1.7                 1  
          1.8                 1  
          1.9                 1  
            2                 1  
          2.1                 1  
          2.2                 1  
          2.3                 1  
          2.4                 1  
          2.5                 1  
          2.6                 1  
          2.7                 1  
          2.8                 1  
          2.9                 1  
            3                 1  
          3.1                 1  
          3.2                 1  
          3.3                 1  
          3.4                 1  
          3.5                 1  
          3.6                 1  
          3.7                 1  
          3.8                 1  
          3.9                 1  
            4                 1  
          4.1                 1  
          4.2                 1  
          4.3                 1  
          4.4                 1  
          4.5                 1  
          4.6                 1  
          4.7                 1  
          4.8                 1  
          4.9                 1  
            5                 1  
          5.1                 1  
          5.2                 1  
          5.3                 1  
          5.4                 1  
          5.5                 1  
          5.6                 1  
          5.7                 1  
          5.8                 1  
          5.9                 1  
            6                 1  
          6.1                 1  
          6.2                 1  
          6.3                 1  
          6.4                 1  
          6.5                 1  
          6.6                 1  
          6.7                 1  
          6.8                 1  
          6.9                 1  
            7                 1  
          7.1                 1  
          7.2                 1  
          7.3                 1  
          7.4                 1  
          7.5                 1  
          7.6                 1  
          7.7                 1  
          7.8                 1  
          7.9                 1  
            8                 1  
          8.1                 1  
          8.2                 1  
          8.3                 1  
          8.4                 1  
          8.5                 1  
          8.6                 1  
          8.7                 1  
          8.8                 1  
          8.9                 1  
            9                 1  
          9.1                 1  
          9.2                 1  
          9.3                 1  
          9.4                 1  
          9.5                 1  
          9.6                 1  
          9.7                 1  
          9.9                 1  
           10                 1  

