     Alpha       T1_Re0.400_M0.00_N9.0    
            0         0.3461129  
          0.1         0.3566625  
          0.2           0.36681  
          0.3         0.3776105  
          0.4         0.3882326  
          0.5         0.3988808  
          0.6         0.4093985  
          0.7         0.4199207  
          0.8         0.4304683  
          0.9         0.4413386  
            1         0.4520397  
          1.1         0.4626861  
          1.2         0.4732841  
          1.3         0.4838051  
          1.4         0.4943393  
          1.5         0.5049589  
          1.6         0.5065653  
          1.7         0.5557079  
          1.8         0.5658239  
          1.9         0.5758696  
            2         0.5859967  
          2.1         0.5963232  
          2.2         0.6066041  
          2.3         0.6168493  
          2.4         0.6270464  
          2.5         0.6371827  
          2.6         0.6472564  
          2.7         0.6573102  
          2.8         0.6676694  
          2.9         0.6779891  
            3         0.6882785  
          3.1         0.6985399  
          3.2         0.7087588  
          3.3         0.7189272  
          3.4         0.7290328  
          3.5         0.7392719  
          3.6         0.7496701  
          3.7         0.7600357  
          3.8         0.7703734  
          3.9         0.7806833  
            4         0.7909489  
          4.1         0.8011628  
          4.2           0.81131  
          4.3         0.8216481  
          4.4         0.8320837  
          4.5         0.8424865  
          4.6         0.8528592  
          4.7         0.8632026  
          4.8         0.8734996  
          4.9         0.8837357  
            5         0.8938949  
          5.1         0.9042634  
          5.2         0.9147079  
          5.3         0.9251164  
          5.4         0.9354912  
          5.5         0.9458347  
          5.6          0.956125  
          5.7         0.9663383  
          5.8         0.9764596  
          5.9         0.9868419  
            6         0.9972564  
          6.1          1.007632  
          6.2          1.017969  
          6.3          1.028266  
          6.4          1.038485  
          6.5          1.048606  
          6.6          1.058695  
          6.7          1.069084  
          6.8          1.079427  
          6.9          1.089721  
            7          1.099968  
          7.1           1.11014  
          7.2          1.120198  
          7.3          1.130125  
          7.4          1.140403  
          7.5          1.150662  
          7.6          1.160814  
          7.7          1.170675  
          7.8           1.18039  
          7.9          1.190678  
            8          1.200289  
          8.1          1.210294  
          8.2          1.220422  
          8.3          1.230085  
          8.4          1.239831  
          8.5          1.249985  
          8.6          1.259615  
          8.7          1.269167  
          8.8           1.27912  
          8.9          1.288304  
            9          1.298051  
          9.1          1.306891  
          9.2          1.316218  
          9.3          1.324877  
          9.4          1.333002  
          9.5          1.340339  
          9.6          1.346367  
          9.7          1.349772  
          9.9          1.350411  
           10          1.352712  

