Configurazione,CL,Cd
eppler398_be092_075_si_naso,2.339048,0.303657
eppler398_s1210_si_naso,2.330011,0.297108
eppler398_be123_076_si_naso,2.294318,0.30837
naca6412_goe431_si_naso,2.463809,0.325448
eppler398_goe431_si_naso,2.342844,0.312093
be183_056_s1210_si_naso,2.222953,0.338273
be183_056_goe431_si_naso,2.230906,0.336908
be183_056_eppler61_si_naso,2.107632,0.306761
eppler398_eppler61_si_naso,2.278628,0.288115
naca6412_be092_075_si_naso,2.434876,0.312738
naca6412_eppler61_si_naso,2.412922,0.301206
be183_056_be123_076_si_naso,2.226864,0.33317
naca6412_wortmann_si_naso,2.370757,0.291115
naca6412_be123_076_si_naso,2.444749,0.318539
naca6412_s1210_si_naso,2.451494,0.327139
be183_056_wortmann_si_naso,2.085331,0.297022
eppler398_wortmann_si_naso,2.249881,0.279182
be183_056_be092_075_si_naso,2.172926,0.324454
be153-076_be092-075_naso,2.038804,0.350885
naca4412_goe431_naso,2.377692,0.278343
s1223_be092-075_naso,2.31719,0.359914
be153-076_s1210_naso,2.054082,0.36439
s1223_s1210_naso,2.294564,0.367935
s1223_be123-076_naso,2.28369,0.365334
be153-076_wortmannfx082-512_naso,1.990111,0.332592
be153-076_eppler61_naso,2.01772,0.340548
be153-076_be123-076_naso,2.09426,0.363884
be153-076_goe431_naso,2.055137,0.365361
naca4412_s1210_naso,2.450294,0.277979
s1223_goe431_naso,2.304504,0.367132
naca4412_be092-075_naso,2.103592,0.260638
naca4412_be123-076_naso,2.47598,0.275084
s1223_wortmannfx082-512_naso,2.264927,0.336986
s1223_eppler61_naso,2.310756,0.348261
naca4412_eppler61_naso,2.476482,0.256611
naca4412_wortmannfx082-512_naso,2.372053,0.249199
Be_183_105_Be_123_076_Naso,1.116166875,0.3903428634
Be_153_055_S1210_Naso,2.22688641,0.3179408146
Be_183_105_WortmannFx_082_512_Naso,1.054553787,0.3639459805
Eppler_396_S1210_Naso,2.364638076,0.3105035557
Be_153_055_GOE_431_Naso,2.223505119,0.3177791156
Be_153_055_Eppler61_Naso,2.168407,0.298664
Eppler_396_Eppler61_Naso,2.341382696,0.2885041174
Be_183_105_Eppler61_Naso,1.074703,0.37117
Be_183_105_Be_092_075_Naso,1.099209,0.381549
Be_183_105_GOE_431_Naso,1.121596,0.393909
Be_153_055_Be_092_075_Naso,2.206502203,0.3086846647
Eppler_396_GOE_431_Naso,2.365635806,0.3133186128
Eppler_396_Be_092_075_Naso,2.36837643,0.3047731766
Eppler_396_Be_123_076_Naso,2.380673487,0.3085449269
Be_153_055_WortmannFx_082_512_Naso,2.123880375,0.2848098566
Eppler_396_WortmannFx_082_512_Naso,2.284515612,0.2772292264
Be_183_105_S1210_Naso,1.120219,0.392542
Be_153_055_Be_123_076_Naso,2.22311123,0.3140009976
