Configurazione,epsilon,Cd,CL
naca4412_eppler61_naso,0.249199,0.256611,2.476482
naca4412_be123-076_naso,0.257969303030303,0.275084,2.47598
naca6412_goe431_si_naso,0.2755099090909091,0.325448,2.463809
naca6412_s1210_si_naso,0.3266700101010101,0.327139,2.451494
s1223_be092-075_naso,0.32813172727272727,0.359914,2.31719
s1223_goe431_naso,0.36028950505050505,0.367132,2.304504
s1223_s1210_naso,0.3675980909090909,0.367935,2.294564
Be_183_105_GOE_431_Naso,0.36905980808080807,0.393909,1.121596
