"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          83,      -2.349925323,      -1.867309754,      -1.659172162,     -0.4927225958,      -9.075343185
          0,           0,          84,      -2.252715811,      -1.776209664,      -1.572448423,     -0.3681950249,      -9.054863036
          0,           0,          85,      -2.350664236,      -1.831952892,      -1.650838337,     -0.4358663518,      -9.060746191
          0,           0,          86,       -2.33962063,      -1.840314943,      -1.638652336,     -0.4349211317,      -9.059115234
          0,           0,          87,      -2.361238735,      -1.852608168,      -1.637455492,     -0.4506558916,      -9.040809023
          0,           0,          88,      -2.375848354,      -1.872534566,      -1.646301141,     -0.4707912316,      -9.039838202
          0,           0,          89,      -2.407964074,      -1.910304391,      -1.654361117,     -0.4832981097,      -9.036818452
          0,           0,          90,      -2.434829584,       -1.89755112,      -1.646267465,     -0.4820190474,       -9.02829657
          0,           0,          91,      -2.344844623,      -1.892414523,      -1.598838599,     -0.4647785105,      -9.012583499
          0,           0,          92,       -2.37411163,      -1.898666916,       -1.63039215,     -0.4690019048,      -9.002210366
          0,           0,          93,      -2.409590421,      -1.905978781,      -1.659121861,     -0.4861565471,      -8.994415886
          0,           0,          94,      -2.431172026,      -1.897913613,      -1.655211141,     -0.4893933718,      -8.981949404
          0,           0,          95,      -2.284563428,      -1.880012841,      -1.524886979,     -0.4771071278,      -8.949693918
          0,           0,          96,      -2.368294376,      -1.903180386,      -1.600881543,     -0.4900290396,      -8.952160354
          0,           0,          97,       -2.36092826,      -1.859136983,      -1.520325925,     -0.4841884229,      -8.897755142
          0,           0,          98,      -2.193474162,      -1.809219245,      -1.558798498,     -0.4866709415,      -8.900867177
          0,           0,          99,      -2.243608311,       -1.88775255,      -1.610319641,     -0.4887092196,      -8.958267962
          0,           0,         100,      -2.256664493,      -1.878370457,      -1.585008874,     -0.4838892066,      -8.948322827
          0,           0,         101,      -2.291669515,      -1.870242909,      -1.595744731,     -0.4871605978,      -8.796727191
          0,           0,         102,       -2.30055416,      -1.874773835,      -1.629857087,     -0.4886812074,      -8.810492317
          0,           0,         103,      -2.290245222,      -1.831138289,      -1.618238963,     -0.4826137469,      -8.729278627
          0,           0,         104,      -2.269273275,      -1.844304848,      -1.639953821,     -0.4850337803,      -8.627645668
          0,           0,         105,      -2.260781685,      -1.836200557,      -1.637759121,     -0.4498555742,      -8.652356342
          0,           0,         106,      -2.243966311,        -1.8421178,      -1.640861975,     -0.4510859251,      -8.632562643
          0,           0,         107,       -2.22224218,      -1.816971666,      -1.581164376,     -0.4458967818,      -8.671979745
          0,           0,         108,      -2.270924841,      -1.858715242,      -1.591408253,     -0.4597002005,       -8.64951238
          0,           0,         109,      -2.319436239,      -1.835765505,      -1.570829828,     -0.4662503353,      -8.645342094
          0,           0,         110,       -2.35712407,      -1.827401077,      -1.617796653,      -0.470766294,      -8.678884629
          0,           0,         111,      -2.347086337,      -1.827872292,      -1.599561424,     -0.4488204037,      -8.729170833
          0,           0,         112,      -2.324991881,      -1.843939457,      -1.610850532,       -0.43709646,      -8.774911114
          0,           0,         113,      -2.388667436,      -1.834575912,      -1.623001376,     -0.4633160008,      -8.725585187
          0,           0,         114,      -2.327838475,      -1.841734096,      -1.606523929,     -0.4669968224,      -8.695173887
          0,           0,         115,       -2.36395998,      -1.834196083,      -1.612392084,      -0.463368762,       -8.69576323
          0,           0,         116,      -2.313138593,      -1.841832409,      -1.595976888,     -0.4717076289,       -8.71714689
          0,           0,         117,      -2.350237576,      -1.835729104,      -1.586584614,     -0.4750673814,      -8.721864196
          0,           0,         118,      -2.347506286,       -1.83816685,      -1.596413191,     -0.4750753938,      -8.723641646
