"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         271,      -1.584503543,     -0.4640939428,     -0.2882985926,       1.965797099,      -7.551592286
          0,           0,         272,       -1.61516415,     -0.4405758631,     -0.3456503968,       1.885555994,      -7.542301583
          0,           0,         273,      -1.613197457,     -0.4475993618,     -0.3237638059,       2.023972204,      -7.533870395
          0,           0,         274,      -1.567454721,     -0.3609606741,     -0.2936897592,       1.901403038,      -7.525713712
          0,           0,         275,      -1.524909544,     -0.3069573058,     -0.2710797025,       1.993966249,      -7.506860233
          0,           0,         276,      -1.518402628,      -0.237830689,     -0.2161355119,       2.067331958,      -7.487463542
          0,           0,         277,      -1.519960793,     -0.1711685967,     -0.1629507621,       2.138524636,      -7.462772434
          0,           0,         278,      -1.492409096,    -0.08986798246,    -0.07473977483,       2.308720579,       -7.44064185
          0,           0,         279,      -1.484284017,    -0.01604638673,   -0.006582634174,       2.340395117,      -7.415946081
          0,           0,         280,       -1.40638758,      0.1040873021,     0.09967968675,       2.432141939,       -7.37987573
          0,           0,         281,      -1.418930348,      0.1836017844,      0.2102964384,       2.664691314,      -7.336925532
          0,           0,         282,      -1.348734676,      0.3248130032,      0.3440773938,       2.994487876,      -7.300544545
          0,           0,         283,      -1.307543089,      0.4307006258,      0.4370227762,       3.252056978,      -7.271188406
          0,           0,         284,      -1.110347959,      0.4322059782,      0.4225926906,       3.090304825,      -7.269319087
          0,           0,         285,      -1.318904182,      0.4303260623,      0.4745200455,       3.385064817,       -7.26597775
          0,           0,         286,      -1.278859117,      0.5210538025,      0.5566242424,       3.629245615,      -7.252569908
          0,           0,         287,      -1.312748423,      0.5828656218,      0.6415745833,       3.823330981,       -7.24124911
          0,           0,         288,      -1.262716859,      0.6742218769,      0.6865281836,       3.990104052,      -7.244406888
          0,           0,         289,      -1.286613649,      0.7029132735,      0.6625822458,       4.124342243,      -7.221476358
          0,           0,         290,      -1.301054533,      0.7957326831,      0.7363796057,       4.266442281,      -7.205970819
          0,           0,         291,      -1.312162402,      0.8914393191,      0.8282045339,       4.396584816,      -7.201818155
          0,           0,         292,      -1.197531889,      0.8336444518,      0.8515695316,       4.308868026,       -7.19333536
          0,           0,         293,      -1.268824313,      0.9225613577,      0.9122583744,       4.434599618,      -7.190080959
          0,           0,         294,      -1.264694601,      0.8667512947,      0.9078595104,       4.342478752,      -7.198868631
          0,           0,         295,      -1.261926865,      0.9662010499,       1.027275406,       4.473296609,      -7.206784325
          0,           0,         296,      -1.255017569,      0.9187804695,       1.021541326,        4.38979096,        -7.2192191
          0,           0,         297,      -1.252717626,       1.007131815,       1.100560328,       4.505547976,      -7.228796052
          0,           0,         298,      -1.264583799,       1.092892603,       1.191839638,       4.611844159,      -7.227954171
          0,           0,         299,      -1.200706144,       1.051444691,       1.180917545,       4.534332002,      -7.237734045
          0,           0,         300,      -1.189558386,       1.004827723,       1.163754972,       4.452501222,      -7.218529307
          0,           0,         301,      -1.187370049,       1.093990994,       1.242029101,       4.561441846,      -7.234002422
          0,           0,         302,      -1.190785709,       1.048237572,       1.218632476,       4.481917816,       -7.22149781
          0,           0,         303,        -1.1645846,       1.135397362,       1.296884771,       4.587423054,      -7.207716788
          0,           0,         304,     -0.8764835212,       1.090506356,       1.270028773,       4.509685834,      -7.227251486
          0,           0,         305,      -1.118185318,       1.176226242,       1.347246529,       4.612366723,       -7.22061127
          0,           0,         306,      -1.124152457,       1.144256856,       1.315562865,       4.536482602,      -7.222774975
          0,           0,         307,      -1.108870362,       1.225503996,       1.405738622,       4.642226727,      -7.185848815
          0,           0,         308,      -1.127970506,       1.192623533,       1.384140079,       4.568976192,      -7.149807631
          0,           0,         309,     -0.8125789881,        1.25377337,       1.456408742,       4.665562633,      -7.131576393
          0,           0,         310,      -1.117925618,       1.223714479,       1.424775138,       4.595068453,      -7.122540571
