"Line Probe 2: Direction [0,1,0] (m)","Line Probe 2: Velocity[i] (m/s)"
-1.6800000000000002,19.319988250732422
-1.7399999999999998,19.404863357543945
-1.7999999999999998,19.479154586791992
-1.8599999999999999,19.520387649536133
-1.92,19.579320907592773
-1.98,19.63028907775879
-2.04,19.65993309020996
-2.0999999999999996,19.688655853271484
-2.16,19.72525978088379
-2.2199999999999998,19.759607315063477
-2.2800000000000002,19.78761863708496
-2.34,19.811298370361328
-2.4000000000000004,19.828096389770508
-2.46,19.850069046020508
-2.52,19.869792938232422
-2.58,19.89995765686035
-2.64,19.91909408569336
-2.7,19.9281063079834
-2.7600000000000002,19.93837547302246
-2.82,19.952259063720703
-2.88,19.95688247680664
-2.94,19.966838836669922
-3.0,19.97681999206543
-3.06,19.98782730102539
-3.12,20.001890182495117
-3.18,20.01319694519043
-3.24,20.023883819580078
-3.3000000000000003,20.030784606933594
-3.3600000000000003,20.040767669677734
-3.42,20.046627044677734
-3.4799999999999995,20.052791595458984
-3.54,20.08070945739746
-3.5999999999999996,20.117034912109375
-3.66,20.126001358032227
-3.7199999999999998,20.128082275390625
-3.7800000000000002,20.130849838256836
-3.84,20.139860153198242
-3.9000000000000004,20.14655113220215
-3.96,20.155689239501953
-4.0200000000000005,20.163131713867188
-4.08,20.173019409179688
-4.14,20.17876434326172
-4.199999999999999,20.184284210205078
-4.26,20.187847137451172
-4.32,20.192689895629883
-4.38,20.195444107055664
-4.4399999999999995,20.201356887817383
-4.5,20.208946228027344
-4.5600000000000005,20.218332290649414
-4.62,20.233678817749023
-4.68,20.23682403564453
-4.74,20.24386978149414
-4.800000000000001,20.25033187866211
-4.86,20.256019592285156
-4.92,20.263141632080078
-4.9799999999999995,20.268787384033203
-5.04,20.274137496948242
-5.1,20.28094482421875
-5.16,20.28728485107422
-5.22,20.288476943969727
-5.28,20.29452133178711
-5.34,20.299785614013672
-5.4,20.30613899230957
-5.46,20.30760383605957
-5.5200000000000005,20.307283401489258
-5.58,20.30405044555664
-5.64,20.30827522277832
-5.699999999999999,20.308731079101562
-5.76,20.307477951049805
-5.82,20.305105209350586
-5.88,20.305919647216797
-5.9399999999999995,20.30252456665039
-6.0,20.29668426513672
0.0,20.599750518798828
-0.06,20.656238555908203
-0.12,20.697343826293945
-0.18,20.732332229614258
-0.24,20.763017654418945
-0.30000000000000004,20.84651756286621
-0.36,20.8330020904541
-0.42000000000000004,20.91132354736328
-0.48,20.855329513549805
-0.54,20.461029052734375
-0.6000000000000001,19.869125366210938
-0.66,18.56048011779785
-0.72,17.209291458129883
-0.78,16.023883819580078
-0.8400000000000001,15.051149368286133
-0.8999999999999999,15.266915321350098
-0.96,16.23416519165039
-1.02,17.80942153930664
-1.08,18.416629791259766
-1.1400000000000001,19.0219783782959
-1.2000000000000002,18.908493041992188
-1.26,18.775978088378906
-1.32,18.963512420654297
-1.3800000000000001,18.992263793945312
-1.44,19.094945907592773
-1.5,19.180282592773438
-1.56,19.233413696289062
-1.62,19.292999267578125
