1.00000000e+00	0.00000000e-00
9.50000000e-01	1.32000000e-02
9.00000000e-01	1.98000000e-02
8.00000000e-01	1.65000000e-02
7.00000000e-01	1.00000000e-02
6.00000000e-01	1.60000000e-03
5.00000000e-01	-8.70000000e-03
4.00000000e-01	-2.85000000e-02
3.00000000e-01	-3.89000000e-02
2.00000000e-01	-4.51000000e-02
1.50000000e-01	-4.44000000e-02
1.00000000e-01	-4.05000000e-02
7.50000000e-02	-3.39000000e-02
5.00000000e-02	-3.00000000e-02
2.50000000e-02	-2.31000000e-02
1.10000000e-02	-1.50000000e-02
0.00000000e+00	-6.00000000e-03
1.25000000e-02	4.39000000e-02
2.50000000e-02	5.55000000e-02
5.00000000e-02	7.23000000e-02
7.50000000e-02	8.49000000e-02
1.00000000e-01	9.52000000e-02
1.50000000e-01	1.107000000e-01
2.00000000e-01	1.214000000e-01
3.00000000e-01	1.326000000e-01
4.00000000e-01	1.338000000e-01
5.00000000e-01	1.274000000e-01
6.00000000e-01	1.104000000e-01
7.00000000e-01	9.39000000e-02
8.00000000e-01	6.87000000e-02
9.00000000e-01	3.89000000e-02
9.50000000e-01	2.08000000e-02
1.00000000e+00	0.00000000e-00
